transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,ter Stegen,33,15.00,0,1404172800,1845936000,28,0,0,2
0,Peña,26,10.00,0,1643500800,1782777600,10,0,0,2
1,Szczesny,35,1.00,0,1727827200,1751241600,0,0,0,2
0,Cubarsí,18,70.00,1,1704067200,1877472000,19,0,0,2
0,Araujo,26,50.00,1,1601856000,1940544000,25,1,2,2
0,Christensen,29,15.00,1,1656892800,1782777600,30,2,2,2
0,García,24,15.00,1,1625097600,1782777600,32,5,0,2
0,Martínez,34,5.00,1,1688515200,1782777600,20,0,0,2
0,Balde,21,60.00,1,1656633600,1845936000,18,0,1,2
1,Martín,23,7.50,1,1719792000,1845936000,0,0,0,2
0,Koundé,26,60.00,1,1658966400,1814313600,35,1,2,2
1,Fort,18,10.00,1,1719792000,1782777600,7,0,2,2
1,Casadó,21,30.00,2,1719792000,1845936000,2,0,0,2
1,Bernal,17,5.00,2,1719792000,1782777600,0,0,0,2
0,Pedri,22,120.00,2,1567382400,1909008000,24,4,2,2
0,Gavi,20,70.00,2,1625097600,1909008000,12,1,1,2
0,de Jong,28,45.00,2,1561939200,1782777600,20,2,0,2
1,Olmo,27,60.00,2,1723161600,1909008000,0,0,0,2
0,López,22,50.00,2,1688169600,1877472000,31,8,0,2
0,Torre,22,7.50,2,1656633600,1782777600,26,0,2,2
0,Raphinha,28,80.00,3,1657670400,1845936000,28,6,9,2
0,Fati,22,5.00,3,1600819200,1814313600,3,0,0,2
0,Lamine Yamal,17,180.00,3,1688169600,1782777600,37,5,7,2
0,Torres,25,28.00,3,1640995200,1814313600,29,7,3,2
0,Lewandowski,36,15.00,3,1658188800,1782777600,35,19,8,2
1,Víctor,23,5.00,3,1721779200,1877472000,0,0,0,2
