transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Alisson,32,25.00,0,1531958400,1814313600,28,0,0,0
0,Kelleher,26,22.00,0,1561939200,1782777600,10,0,0,0
0,Jaros,23,5.00,0,1656633600,1782777600,0,0,0,0
1,Davies,21,500,0,1719792000,1751241600,0,0,0,0
0,Konaté,25,60.00,1,1625097600,1782777600,22,0,0,0
0,van Dijk,33,28.00,1,1514764800,1814313600,36,2,2,0
0,Gomez,27,25.00,1,1435708800,1814313600,32,0,1,0
0,Quansah,22,22.00,1,1688169600,1877472000,17,2,0,0
0,Tsimikas,29,20.00,1,1597017600,1814313600,13,0,3,0
0,Robertson,31,20.00,1,1500595200,1782777600,23,3,2,0
0,Alexander-Arnold,26,75.00,1,1467331200,1751241600,28,3,5,0
0,Bradley,21,25.00,1,1688169600,1877472000,11,1,3,0
0,Gravenberch,23,70.00,2,1693526400,1845936000,26,1,0,0
0,Endo,32,10.00,2,1692316800,1814313600,29,1,0,0
1,Morton,22,8.00,2,1719792000,0,0,0,0,0
0,Mac Allister,26,90.00,2,1688169600,1845936000,33,5,5,0
0,Jones,24,50.00,2,1593561600,1814313600,23,1,1,0
0,Elliott,22,35.00,2,1625097600,1814313600,34,3,9,0
0,Szoboszlai,24,80.00,2,1688256000,1845936000,33,3,3,0
0,Díaz,28,85.00,3,1643500800,1814313600,37,8,6,0
0,Gakpo,26,70.00,3,1672531200,1845936000,35,8,5,0
0,Salah,32,55.00,3,1498867200,1814313600,32,18,10,0
1,Chiesa,27,18.00,3,1724889600,1845936000,0,0,0,0
0,Núñez,25,50.00,3,1656633600,1845936000,36,11,10,0
0,Diogo Jota,28,45.00,3,1600473600,1814313600,21,10,4,0
