transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Sánchez,27,20.00,0,1691193600,1909008000,16,0,0,0
1,Jørgensen,23,20.00,0,1722297600,1940544000,0,0,0,0
0,Bettinelli,32,800,0,1627430400,1782777600,0,0,0,0
0,Bergström,22,700,0,1688169600,1751241600,0,0,0,0
0,Colwill,22,55.00,1,1656633600,1877472000,23,1,1,0
0,Fofana,24,27.00,1,1661904000,1877472000,0,0,0,0
0,Badiashile,24,25.00,1,1672876800,1909008000,18,0,1,0
1,Adarabioyo,27,20.00,1,1719792000,1845936000,20,2,0,0
0,Chalobah,25,17.00,1,1625097600,1845936000,13,1,0,0
1,Anselmino,20,8.00,1,1723075200,1940544000,0,0,0,0
0,Cucurella,26,30.00,1,1659657600,1845936000,21,0,3,0
0,Gusto,21,35.00,1,1674950400,1909008000,27,0,6,0
0,James,25,30.00,1,1561939200,1845936000,10,0,2,0
1,Acheampong,19,5.00,1,1734480000,1877472000,1,0,0,0
0,Caicedo,23,80.00,2,1691971200,1940544000,35,1,3,0
0,Lavia,21,40.00,2,1692316800,1909008000,1,0,0,0
0,Fernández,24,75.00,2,1675123200,1972166400,28,3,3,0
1,Dewsbury-Hall,26,22.00,2,1719878400,1877472000,0,0,0,0
1,Amougou,19,10.00,2,1738540800,2003702400,0,0,0,0
0,Palmer,23,130.00,2,1693526400,2003702400,34,22,11,0
1,Kellyman,19,1.50,2,1719792000,1909008000,2,0,0,0
0,Mudryk,24,30.00,3,1673740800,1940544000,31,5,4,0
1,Sancho,25,30.00,3,1724976000,1751241600,3,0,0,0
1,George,19,3.50,3,1734480000,1814313600,0,0,0,0
1,Neto,25,50.00,3,1723334400,1940544000,20,2,12,0
0,Madueke,23,40.00,3,1674172800,1909008000,23,5,3,0
0,Jackson,23,55.00,3,1688169600,2003702400,35,14,5,0
0,Nkunku,27,45.00,3,1688169600,1877472000,11,3,0,0
0,Fofana,22,8.50,3,1672531200,1877472000,15,4,1,0
1,Guiu,19,8.00,3,1719792000,1877472000,0,0,0,0
