transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Remiro,30,25.00,0,1561939200,1814313600,37,0,0,6
0,Marrero,23,600,0,1688169600,1814313600,2,0,0,6
1,Aguerd,29,25.00,1,1724976000,1751241600,0,0,0,6
0,Zubeldia,28,18.00,1,1498867200,1877472000,30,0,2,6
0,Pacheco,24,7.50,1,1656633600,1909008000,23,1,1,6
0,Elustondo,31,4.00,1,1451865600,1782777600,15,0,2,6
1,Martín,19,2.00,1,1719792000,1909008000,1,0,0,6
1,López,23,7.50,1,1721520000,1909008000,32,1,3,6
0,Muñoz,27,5.00,1,1561939200,1814313600,21,0,1,6
1,Aramburu,22,12.00,1,1719792000,1909008000,11,0,0,6
0,Traoré,33,3.00,1,1688169600,1782777600,31,0,2,6
0,Odriozola,29,1.20,1,1693526400,1877472000,9,0,0,6
0,Zubimendi,26,60.00,2,1599696000,1814313600,31,4,1,6
1,Sucic,22,18.00,2,1722556800,1877472000,0,0,0,6
0,Turrientes,23,16.00,2,1659830400,1909008000,29,0,1,6
