transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Simón,27,28.00,0,1530403200,1877472000,36,0,0,5
0,Agirrezabala,24,15.00,0,1656633600,1814313600,4,0,0,5
0,Vivian,25,40.00,1,1596240000,1972166400,33,0,0,5
0,Paredes,25,22.00,1,1656633600,1877472000,34,1,0,5
0,Álvarez,30,7.50,1,1467331200,1782777600,19,0,0,5
1,Núñez,28,3.00,1,1724803200,1751241600,34,1,0,5
1,Boiro,22,2.50,1,1719792000,1877472000,0,0,0,5
0,Berchiche,35,1.50,1,1530489600,1782777600,27,3,2,5
1,Gorosabel,28,5.00,1,1719792000,1845936000,36,1,0,5
0,Lekue,32,2.50,1,1467331200,1782777600,27,0,3,5
0,de Marcos,36,1.50,1,1246406400,1751241600,28,1,5,5
0,Vesga,32,3.00,2,1467331200,1814313600,27,3,1,5
1,Jauregizar,21,20.00,2,1719792000,1814313600,7,0,0,5
0,Prados,24,18.00,2,1656633600,1940544000,26,0,0,5
0,Ruiz de Galarreta,31,4.00,2,1688169600,1814313600,29,1,1,5
0,Sancet,25,60.00,2,1596499200,1972166400,30,4,5,5
0,Gómez,22,6.00,2,1688169600,1845936000,25,2,0,5
0,Canales,20,500,2,1688169600,1814313600,0,0,0,5
0,Williams,22,70.00,3,1625097600,1814313600,31,5,13,5
0,Berenguer,29,12.00,3,1601596800,1814313600,35,7,3,5
1,Djaló,25,8.00,3,1719792000,1877472000,0,0,0,5
0,Williams,30,20.00,3,1435708800,1845936000,34,12,3,5
0,Guruzeta,28,12.00,3,1656806400,1845936000,32,14,5,5
1,Sannadi,24,5.00,3,1738368000,1877472000,0,0,0,5
