transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Pope,33,10.00,0,1656633600,1782777600,15,0,0,7
1,Vlachodimos,31,7.00,0,1719792000,0,5,0,0,7
0,Dúbravka,36,1.00,0,1530403200,1782777600,23,0,0,7
0,Gillespie,33,300,0,1593734400,1751241600,0,0,0,7
1,Ruddy,38,200,0,1719792000,1751241600,0,0,0,7
0,Botman,25,45.00,1,1656633600,1814313600,17,2,2,7
0,Schär,33,9.00,1,1532563200,1782777600,36,4,3,7
0,Burn,33,7.00,1,1643587200,1782777600,33,2,2,7
0,Lascelles,31,6.00,1,1407542400,1751241600,16,1,0,7
1,Hall,20,30.00,1,1719792000,0,18,1,0,7
0,Targett,29,8.00,1,1656633600,1782777600,3,0,0,7
0,Lewis,27,3.00,1,1599523200,1751241600,0,0,0,7
0,Livramento,22,35.00,1,1691452800,1845936000,26,1,0,7
0,Trippier,34,5.00,1,1641513600,1782777600,28,1,10,7
0,Krafth,30,2.50,1,1565222400,1782777600,17,0,0,7
0,Guimarães,27,80.00,2,1643500800,1845936000,37,7,8,7
0,Tonali,25,45.00,2,1688342400,1845936000,8,1,0,7
0,Joelinton,28,40.00,2,1563840000,1845936000,20,2,1,7
0,Willock,25,28.00,2,1628812800,1814313600,9,1,0,7
0,Longstaff,27,22.00,2,1546300800,1782777600,35,6,2,7
0,Miley,19,22.00,2,1688169600,1877472000,17,1,3,7
0,Gordon,24,65.00,3,1674950400,0,35,11,15,7
0,Barnes,27,30.00,3,1690070400,1845936000,21,5,3,7
0,Murphy,30,16.00,3,1500422400,1814313600,21,3,8,7
0,Isak,25,100.00,3,1661472000,1845936000,30,21,2,7
0,Wilson,33,11.00,3,1599436800,1751241600,20,9,1,7
1,Osula,21,7.00,3,1723075200,1877472000,21,0,0,7
