transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Martínez,32,25.00,0,1600214400,1877472000,34,0,0,4
0,Olsen,35,1.50,0,1656633600,1751241600,5,0,0,4
0,Torres,28,40.00,1,1689120000,1845936000,29,2,0,4
0,Konsa,27,35.00,1,1562803200,1845936000,35,1,1,4
0,Mings,32,6.00,1,1562544000,1782777600,1,0,0,4
0,Hause,29,2.00,1,1561939200,1751241600,0,0,0,4
1,Maatsen,23,28.00,1,1719792000,1909008000,12,0,0,4
0,Digne,31,12.00,1,1642032000,1782777600,33,1,3,4
0,Cash,27,28.00,1,1599091200,1814313600,29,2,2,4
1,Disasi,27,25.00,1,1738540800,1751241600,31,2,0,4
1,García,22,7.00,1,1737417600,0,0,0,0,4
1,Onana,23,55.00,2,1721606400,1877472000,30,2,0,4
0,Kamara,25,38.00,2,1656633600,1814313600,20,0,1,4
1,Bogarde,21,5.00,2,1719792000,0,0,0,0,4
0,Tielemans,28,35.00,2,1688169600,1814313600,32,2,7,4
0,McGinn,30,18.00,2,1533686400,1814313600,35,6,5,4
1,Barkley,31,8.00,2,1719792000,1782777600,32,5,5,4
0,Ramsey,23,32.00,2,1593561600,1814313600,16,1,1,4
0,Rogers,22,50.00,2,1706745600,1909008000,11,3,1,4
1,Asensio,29,20.00,2,1738540800,1751241600,0,0,0,4
1,Rashford,27,50.00,3,1738454400,1751241600,33,7,3,4
0,Bailey,27,32.00,3,1628035200,1814313600,35,10,9,4
1,Malen,26,25.00,3,1736812800,0,0,0,0,4
0,Watkins,29,50.00,3,1599609600,1845936000,37,19,15,4
