transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Mamardashvili,24,30.00,0,1724803200,1751241600,37,0,0,9
1,Dimitrievski,31,3.00,0,1719792000,1782777600,37,0,0,9
0,Doménech,34,600,0,1435708800,1751241600,2,0,0,9
0,Mosquera,20,30.00,1,1672531200,1782777600,36,0,0,9
0,Gasiorowski,20,12.00,1,1696118400,1814313600,14,0,0,9
0,Tárrega,23,6.00,1,1705536000,1845936000,1,0,0,9
0,Diakhaby,28,2.00,1,1530403200,1814313600,14,1,0,9
0,Gayà,30,15.00,1,1404172800,1814313600,24,1,2,9
0,Vázquez,22,3.00,1,1640995200,1782777600,20,1,0,9
1,Aarons,25,12.00,1,1736726400,1751241600,0,0,0,9
