transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Verbruggen,22,25.00,0,1688342400,1845936000,21,0,0,11
0,Rushworth,23,3.00,0,1688169600,1814313600,0,0,0,11
0,Steele,34,2.00,0,1530403200,1782777600,17,0,0,11
0,McGill,25,600,0,1659052800,1814313600,0,0,0,11
0,van Hecke,24,32.00,1,1599696000,1814313600,28,0,0,11
0,Igor,27,22.00,1,1690329600,1814313600,24,0,0,11
0,Webster,30,12.00,1,1564790400,1782777600,15,0,0,11
0,Dunk,33,8.00,1,1272585600,1782777600,33,3,1,11
1,Cashin,23,8.00,1,1738281600,1909008000,0,0,0,11
1,Kadıoğlu,25,30.00,1,1724457600,1845936000,0,0,0,11
0,Estupiñán,27,30.00,1,1660608000,1814313600,19,2,3,11
0,Lamptey,24,12.00,1,1580428800,1751241600,19,0,3,11
0,Veltman,33,7.00,1,1595980800,1782777600,27,1,1,11
0,Baleba,21,35.00,2,1693267200,1845936000,27,0,0,11
1,Wieffer,25,27.00,2,1720137600,1877472000,0,0,0,11
0,Hinshelwood,20,24.00,2,1688169600,1845936000,12,3,0,11
1,O'Riley,24,22.00,2,1724630400,1877472000,0,0,0,11
0,Ayari,21,17.00,2,1675036800,1814313600,0,0,0,11
1,Gómez,22,13.00,2,1735689600,0,0,0,0,11
0,Milner,39,1.00,2,1688169600,1751241600,15,0,2,11
0,Mitoma,28,45.00,3,1628553600,1814313600,19,3,6,11
0,Adingra,23,30.00,3,1656633600,1782777600,31,6,1,11
1,Minteh,20,30.00,3,1719792000,1877472000,0,0,0,11
1,Gruda,20,25.00,3,1723593600,1845936000,0,0,0,11
0,March,30,8.00,3,1372636800,1782777600,7,3,1,11
0,João Pedro,23,50.00,3,1688169600,1845936000,31,9,3,11
1,Rutter,23,32.00,3,1724025600,1845936000,0,0,0,11
0,Welbeck,34,5.00,3,1602979200,1782777600,29,5,3,11
