transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Henderson,28,15.00,0,1693440000,1845936000,18,0,0,10
1,Turner,30,4.00,0,1724976000,1751241600,17,0,0,10
0,Matthews,31,500,0,1626048000,1751241600,1,0,0,10
0,Guéhi,24,45.00,1,1626566400,1782777600,25,0,1,10
1,Lacroix,25,22.00,1,1724976000,1877472000,0,0,0,10
1,Riad,21,15.00,1,1719878400,1877472000,0,0,0,10
0,Richards,25,12.00,1,1658880000,1814313600,26,1,1,10
0,Mitchell,25,25.00,1,1593561600,1751241600,37,2,3,10
1,Chilwell,28,18.00,1,1738540800,1751241600,13,0,1,10
0,Muñoz,28,25.00,1,1706572800,1845936000,16,0,4,10
0,Clyne,34,1.50,1,1602633600,1751241600,19,0,0,10
1,Kporha,18,1.00,1,1719792000,1877472000,0,0,0,10
0,Ward,35,600,1,1341100800,1751241600,26,0,1,10
0,Wharton,21,35.00,2,1706745600,1877472000,16,0,3,10
0,Doucouré,25,30.00,2,1657497600,1877472000,11,0,0,10
0,Lerma,30,12.00,2,1688169600,1782777600,28,1,1,10
1,Rodney,20,200,2,1719792000,0,0,0,0,10
0,Hughes,30,9.00,2,1630108800,1814313600,30,0,2,10
1,Devenny,21,3.00,2,1719792000,1814313600,0,0,0,10
0,Eze,26,55.00,2,1598572800,1814313600,27,11,4,10
1,Sarr,27,22.00,2,1722470400,1877472000,0,0,0,10
1,Kamada,28,15.00,2,1719792000,1782777600,0,0,0,10
0,Matheus França,21,10.00,2,1691193600,1845936000,10,0,2,10
1,Esse,20,12.00,3,1737158400,1909008000,0,0,0,10
0,Ebiowei,21,1.20,3,1656633600,1814313600,0,0,0,10
0,Mateta,27,30.00,3,1643587200,1782777600,35,16,6,10
1,Nketiah,25,22.00,3,1724976000,1877472000,27,5,4,10
