transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Sá,32,8.00,0,1626307200,1814313600,35,0,0,14
1,Johnstone,32,8.00,0,1724976000,1845936000,20,0,0,14
0,Bentley,31,2.00,0,1674604800,1814313600,5,0,0,14
0,King,30,200,0,1688342400,1814313600,0,0,0,14
0,Toti,26,25.00,1,1599004800,1877472000,35,1,3,14
1,Agbadou,27,17.00,1,1736380800,1877472000,0,0,0,14
1,Djiga,22,10.00,1,1738540800,1909008000,0,0,0,14
0,Bueno,26,8.00,1,1693440000,1845936000,12,0,0,14
0,Mosquera,24,8.00,1,1625097600,1909008000,0,0,0,14
1,Meupiyou,19,2.50,1,1724889600,1877472000,0,0,0,14
0,Dawson,35,2.00,1,1674345600,1751241600,25,1,1,14
0,Aït-Nouri,23,35.00,1,1625788800,1782777600,33,2,3,14
0,Semedo,31,10.00,1,1600819200,1751241600,36,0,2,14
1,Pedro Lima,18,5.00,1,1719792000,1877472000,0,0,0,14
0,Doherty,33,2.50,1,1689811200,1782777600,30,1,0,14
1,André,23,25.00,2,1724976000,1877472000,0,0,0,14
0,Traoré,23,6.00,2,1688169600,1814313600,24,0,0,14
0,Gomes,24,40.00,2,1675036800,1909008000,34,2,1,14
0,Bellegarde,26,18.00,2,1693526400,1845936000,22,2,1,14
1,Munetsi,28,15.00,2,1738540800,1845936000,0,0,0,14
1,Doyle,23,10.00,2,1719792000,1845936000,26,0,0,14
1,Gomes,21,15.00,2,1719792000,1877472000,0,0,0,14
0,Guedes,28,13.00,3,1659916800,1814313600,0,0,0,14
1,Forbs,21,8.00,3,1724976000,1751241600,0,0,0,14
0,González,20,4.00,3,1693440000,1877472000,1,0,0,14
0,Sarabia,33,7.00,3,1673913600,1751241600,30,4,7,14
0,Cunha,25,55.00,3,1688169600,1877472000,32,12,7,14
1,Larsen,25,27.00,3,1719878400,1751241600,0,0,0,14
0,Hwang,29,17.00,3,1656633600,1845936000,29,12,3,14
0,Kalajdzic,27,5.00,3,1661904000,1814313600,11,2,0,14
0,Fraser,20,600,3,1704067200,1845936000,7,0,0,14
