transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Pickford,31,20.00,0,1498867200,1814313600,38,0,0,0
0,Virgínia,25,800,0,1593561600,1751241600,0,0,0,0
1,Begovic,37,300,0,1724371200,1751241600,0,0,0,0
0,Branthwaite,22,50.00,1,1578873600,1814313600,35,3,1,0
0,Tarkowski,32,10.00,1,1656720000,1782777600,38,1,1,0
0,Keane,32,6.00,1,1499040000,1751241600,9,1,0,0
0,Mykolenko,25,28.00,1,1640995200,1782777600,28,2,0,0
0,Patterson,23,15.00,1,1641254400,1814313600,20,0,2,0
1,O'Brien,24,15.00,1,1722297600,1845936000,0,0,0,0
0,Young,39,500,1,1689206400,1751241600,31,0,1,0
0,Coleman,36,500,1,1230768000,1751241600,12,0,0,0
1,Mangala,27,20.00,2,1724976000,1751241600,20,1,0,0
0,Garner,24,20.00,2,1661990400,1782777600,37,1,2,0
0,Gueye,35,2.00,2,1661990400,1751241600,25,4,0,0
1,Alcaraz,22,14.00,2,1738540800,1751241600,0,0,0,0
1,Iroegbunam,21,10.00,2,1719792000,1814313600,9,0,0,0
0,Doucouré,32,8.00,2,1599523200,1751241600,32,7,2,0
0,McNeil,25,25.00,3,1658966400,1814313600,35,3,6,0
1,Ndiaye,25,22.00,3,1719964800,1877472000,0,0,0,0
1,Lindstrøm,25,20.00,3,1721952000,1751241600,0,0,0,0
0,Harrison,28,16.00,3,1691971200,1751241600,29,3,3,0
0,Calvert-Lewin,28,20.00,3,1472601600,1751241600,32,7,2,0
0,Beto,27,20.00,3,1693267200,1814313600,30,3,0,0
1,Broja,23,13.00,3,1724976000,1751241600,21,1,2,0
0,Chermiti,20,9.00,3,1691712000,1814313600,18,0,0,0
