transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Muric,26,6.00,0,1721174400,1845936000,10,0,0,0
0,Walton,29,1.50,0,1642550400,1782777600,0,0,0,0
1,Palmer,28,1.20,0,1738540800,1845936000,0,0,0,0
0,Slicker,22,300,0,1688774400,1845936000,0,0,0,0
1,Greaves,24,20.00,1,1720742400,1877472000,0,0,0,0
1,O'Shea,26,14.00,1,1724544000,1877472000,33,3,4,0
1,Godfrey,27,8.00,1,1736035200,1751241600,15,0,0,0
0,Burgess,29,2.50,1,1628985600,1751241600,0,0,0,0
0,Woolfenden,26,2.00,1,1498867200,1814313600,0,0,0,0
0,Davis,25,25.00,1,1658707200,1845936000,0,0,0,0
1,Townsend,32,1.20,1,1722470400,1782777600,0,0,0,0
1,Johnson,25,9.00,1,1719792000,1845936000,14,0,0,0
0,Tuanzebe,27,5.00,1,1694131200,1751241600,0,0,0,0
1,Phillips,29,15.00,2,1723766400,1751241600,12,0,0,0
1,Cajuste,25,12.00,2,1724025600,1751241600,0,0,0,0
0,Taylor,26,3.00,2,1688169600,1782777600,0,0,0,0
0,Morsy,33,900,2,1630368000,1782777600,0,0,0,0
0,Luongo,32,500,2,1672876800,1751241600,0,0,0,0
1,Enciso,21,22.00,2,1737590400,1751241600,12,0,2,0
1,Hutchinson,21,22.00,2,1719792000,1877472000,0,0,0,0
1,Szmodics,29,12.00,2,1723766400,1845936000,0,0,0,0
1,Philogene,23,18.00,3,1736899200,1877472000,1,0,0,0
1,Clarke,24,15.00,3,1724457600,1877472000,0,0,0,0
0,Broadhead,27,5.00,3,1673222400,1782777600,0,0,0,0
1,Ogbene,28,8.00,3,1724803200,1845936000,30,4,3,0
0,Burns,30,2.50,3,1625097600,1782777600,0,0,0,0
0,Chaplin,28,8.00,3,1627344000,1782777600,0,0,0,0
1,Delap,22,35.00,3,1720828800,1877472000,0,0,0,0
0,Hirst,26,5.00,3,1689206400,1814313600,0,0,0,0
