transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Ramsdale,27,16.00,0,1724976000,1845936000,6,0,0,0
0,Bazunu,23,11.00,0,1656633600,1814313600,0,0,0,0
0,Lumley,30,600,0,1691366400,1751241600,0,0,0,0
0,McCarthy,35,500,0,1470009600,1782777600,0,0,0,0
1,Harwood-Bellis,23,25.00,1,1719792000,1845936000,0,0,0,0
0,Bella-Kotchap,23,12.00,1,1656633600,1782777600,0,0,0,0
0,Bednarek,29,11.00,1,1498867200,1814313600,0,0,0,0
1,Wood,22,3.80,1,1720137600,1845936000,0,0,0,0
0,Stephens,31,2.00,1,1372636800,1751241600,0,0,0,0
1,Kayi Sanda,18,1.50,1,1736380800,1877472000,0,0,0,0
0,Larios,21,4.50,1,1661990400,1814313600,0,0,0,0
0,Manning,28,3.50,1,1689033600,1814313600,0,0,0,0
1,Welington,24,3.50,1,1735689600,0,0,0,0,0
1,Taylor,31,2.80,1,1719792000,1782777600,28,1,1,0
0,Walker-Peters,28,18.00,1,1597104000,1751241600,0,0,0,0
1,Sugawara,24,12.00,1,1720915200,1845936000,0,0,0,0
0,Bree,27,2.50,1,1674691200,1782777600,0,0,0,0
1,Ugochukwu,21,20.00,2,1723766400,1751241600,12,0,0,0
1,Downes,26,15.00,2,1721088000,1845936000,0,0,0,0
1,Fernandes,20,15.00,2,1724112000,1877472000,0,0,0,0
