transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Ederson,31,25.00,0,1498867200,1782777600,33,0,0,1
0,Ortega,32,9.00,0,1656633600,1782777600,9,0,0,1
0,Carson,39,200,0,1626739200,1751241600,0,0,0,1
0,Dias,28,70.00,1,1601337600,1814313600,30,0,0,1
1,Khusanov,21,35.00,1,1737331200,1877472000,0,0,0,1
0,Aké,30,32.00,1,1596585600,1814313600,29,2,2,1
0,Akanji,29,32.00,1,1661990400,1814313600,30,2,0,1
0,Stones,30,30.00,1,1470700800,1782777600,16,1,0,1
1,Vitor Reis,19,30.00,1,1737417600,1877472000,0,0,0,1
0,Gvardiol,23,75.00,1,1691193600,1845936000,28,4,2,1
0,Lewis,20,40.00,1,1656633600,1845936000,16,2,0,1
0,Rodri,28,130.00,2,1562198400,1814313600,34,8,10,1
1,González,23,40.00,2,1738540800,1877472000,0,0,0,1
0,Nunes,26,35.00,2,1693526400,1845936000,19,0,2,1
0,Kovacic,31,25.00,2,1688169600,1814313600,30,1,0,1
1,Gündoğan,34,7.00,2,1724371200,1782777600,0,0,0,1
0,Silva,30,45.00,2,1498867200,1782777600,33,6,9,1
0,De Bruyne,33,27.00,2,1440892800,1751241600,18,4,10,1
0,Echeverri,19,18.00,2,1706140800,1845936000,0,0,0,1
0,McAtee,22,18.00,2,1688169600,1782777600,31,3,3,1
1,O'Reilly,20,7.00,2,1719792000,1845936000,0,0,0,1
0,Doku,22,55.00,3,1692835200,1845936000,29,3,10,1
0,Grealish,29,35.00,3,1628121600,1814313600,20,3,1,1
0,Foden,24,130.00,3,1498867200,1814313600,35,19,8,1
1,Savinho,21,55.00,3,1721260800,1877472000,0,0,0,1
0,Bobb,21,25.00,3,1688169600,1877472000,14,1,1,1
0,Haaland,24,200.00,3,1656633600,2035238400,31,27,6,1
1,Marmoush,26,75.00,3,1737590400,1877472000,0,0,0,1
