transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Courtois,33,25.00,0,1533772800,1782777600,4,0,0,1
0,Lunin,26,20.00,0,1530403200,1909008000,21,0,0,1
1,González,19,400,0,1719792000,1782777600,0,0,0,1
0,Militão,27,40.00,1,1561939200,1845936000,10,0,0,1
1,Asencio,22,30.00,1,1719792000,1782777600,0,0,0,1
0,Rüdiger,32,24.00,1,1656633600,1782777600,33,1,1,1
0,Alaba,32,10.00,1,1625097600,1782777600,14,0,1,1
0,Vallejo,28,1.00,1,1438300800,1751241600,3,0,0,1
0,Mendy,29,18.00,1,1561939200,1845936000,23,0,0,1
0,García,25,15.00,1,1688169600,1814313600,25,1,5,1
0,Carvajal,33,10.00,1,1372636800,1782777600,28,4,3,1
0,Vázquez,33,3.50,1,1435795200,1751241600,29,3,7,1
0,Tchouaméni,25,80.00,2,1656633600,1845936000,27,3,1,1
0,Valverde,26,130.00,2,1530403200,1877472000,37,2,7,1
0,Camavinga,22,70.00,2,1630368000,1877472000,31,0,2,1
0,Ceballos,28,10.00,2,1499990400,1814313600,20,0,2,1
0,Modrić,39,5.00,2,1346025600,1751241600,32,2,6,1
0,Bellingham,21,180.00,2,1688169600,1877472000,28,19,6,1
0,Vinicius Junior,24,200.00,3,1531353600,1814313600,26,15,6,1
0,Rodrygo,24,100.00,3,1561939200,1845936000,34,10,5,1
0,Güler,20,45.00,3,1688601600,1877472000,10,6,0,1
0,Díaz,25,45.00,3,1546732800,1814313600,31,8,7,1
1,Mbappé,26,170.00,3,1719792000,1877472000,0,0,0,1
1,Endrick,18,40.00,3,1721520000,1909008000,0,0,0,1
