transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Oblak,32,25.00,0,1405468800,1845936000,38,0,0,4
1,Musso,31,4.00,0,1724716800,1751241600,0,0,0,4
1,Le Normand,28,40.00,1,1722038400,1877472000,29,2,0,4
0,Giménez,30,20.00,1,1366848000,1845936000,22,0,0,4
1,Lenglet,29,7.50,1,1724630400,1751241600,0,0,0,4
0,Witsel,36,2.50,1,1657065600,1751241600,35,2,0,4
0,Azpilicueta,35,1.80,1,1688601600,1751241600,25,0,2,4
0,Mandava,31,8.00,1,1643587200,1753920000,16,2,1,4
0,Galán,30,4.00,1,1688342400,1782777600,19,0,1,4
0,Molina,27,25.00,1,1658966400,1814313600,30,2,3,4
0,Barrios,21,50.00,2,1674432000,1909008000,24,0,1,4
1,Gallagher,25,40.00,2,1724198400,1877472000,0,0,0,4
0,De Paul,31,25.00,2,1626048000,1782777600,34,3,5,4
0,Koke,33,10.00,2,1293840000,1751241600,35,0,4,4
0,Llorente,30,28.00,2,1561939200,1814313600,37,6,4,4
0,Lemar,29,5.00,2,1530403200,1814313600,3,0,0,4
0,Lino,25,25.00,3,1657238400,1814313600,34,4,5,4
0,Riquelme,25,18.00,3,1593561600,1845936000,34,3,5,4
0,Simeone,22,25.00,3,1656633600,1845936000,14,1,2,4
0,Correa,30,15.00,3,1420070400,1782777600,32,9,2,4
1,Alvarez,25,90.00,3,1723420800,1909008000,0,0,0,4
1,Sørloth,29,25.00,3,1722643200,1845936000,34,23,6,4
0,Griezmann,34,22.00,3,1688169600,1782777600,33,16,6,4
