transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Vicario,28,35.00,0,1688169600,1845936000,38,0,0,5
1,Kinský,22,15.00,0,1736035200,1940544000,0,0,0,5
0,Forster,37,1.20,0,1656633600,1751241600,0,0,0,5
0,Austin,26,600,0,1627776000,1877472000,0,0,0,5
0,Whiteman,26,500,0,1561939200,1751241600,0,0,0,5
0,Romero,27,55.00,1,1661817600,1814313600,33,5,0,5
0,van de Ven,24,55.00,1,1691452800,1877472000,27,3,0,5
1,Danso,26,25.00,1,1738454400,1751241600,0,0,0,5
0,Drăgușin,23,25.00,1,1704931200,1909008000,9,0,0,5
0,Davies,32,8.00,1,1406073600,1751241600,17,1,2,5
0,Udogie,22,45.00,1,1660608000,1909008000,28,2,3,5
0,Spence,24,15.00,1,1658188800,1845936000,0,0,0,5
0,Reguilón,28,8.00,1,1600473600,1751241600,25,0,4,5
0,Porro,25,45.00,1,1688169600,1845936000,35,3,8,5
1,Gray,19,35.00,1,1719878400,1909008000,0,0,0,5
0,Bentancur,27,30.00,2,1643587200,1782777600,23,1,1,5
0,Bissouma,28,28.00,2,1656633600,1782777600,28,0,0,5
0,Sarr,22,40.00,2,1630022400,1909008000,34,3,3,5
1,Bergvall,19,25.00,2,1719792000,1940544000,0,0,0,5
0,Kulusevski,25,60.00,2,1688169600,1845936000,36,8,3,5
0,Maddison,28,50.00,2,1688169600,1845936000,28,4,10,5
0,Son,32,30.00,3,1440720000,1782777600,35,17,10,5
1,Moore,17,15.00,3,1719792000,1814313600,2,0,0,5
0,Werner,29,10.00,3,1704758400,1751241600,13,2,4,5
0,Johnson,23,50.00,3,1693526400,1845936000,35,5,11,5
1,Odobert,20,18.00,3,1723766400,1877472000,29,3,3,5
1,Solanke,27,45.00,3,1723248000,1909008000,38,19,3,5
1,Tel,20,40.00,3,1738540800,1751241600,0,0,0,5
0,Richarlison,28,25.00,3,1656633600,1814313600,28,11,4,5
0,Scarlett,21,1.80,3,1688169600,1814313600,4,0,0,5
