transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Onana,29,32.00,0,1689811200,1845936000,38,0,0,8
0,Bayındır,27,10.00,0,1693526400,1814313600,0,0,0,8
0,Heaton,39,250,0,1625184000,1751241600,0,0,0,8
1,Yoro,19,55.00,1,1721260800,1877472000,0,0,0,8
0,Martínez,27,45.00,1,1658880000,1814313600,11,0,1,8
1,de Ligt,25,40.00,1,1723507200,1877472000,0,0,0,8
0,Maguire,32,15.00,1,1564963200,1782777600,22,2,3,8
0,Lindelöf,30,10.00,1,1498867200,1751241600,19,1,1,8
1,Heaven,18,1.50,1,1738368000,1877472000,0,0,0,8
0,Evans,37,1.50,1,1689638400,1751241600,23,0,1,8
1,Dorgu,20,25.00,1,1738454400,1909008000,0,0,0,8
0,Shaw,29,16.00,1,1404172800,1814313600,12,0,0,8
1,Amass,18,,1,1719792000,1814313600,0,0,0,8
0,Dalot,26,35.00,1,1530403200,1845936000,36,2,3,8
1,Mazraoui,27,32.00,1,1723507200,1845936000,0,0,0,8
1,Ugarte,24,50.00,2,1724976000,1877472000,0,0,0,8
0,Casemiro,33,12.00,2,1661126400,1782777600,25,1,2,8
1,Collyer,21,5.00,2,1719792000,1814313600,0,0,0,8
0,Mainoo,20,55.00,2,1672531200,1814313600,24,3,1,8
0,Eriksen,33,6.00,2,1657843200,1751241600,22,1,2,8
0,Fernandes,30,55.00,2,1580256000,1814313600,35,10,8,8
0,Garnacho,20,45.00,2,1656633600,1845936000,36,7,6,8
0,Mount,26,28.00,2,1688515200,1845936000,14,1,0,8
0,Diallo,22,40.00,3,1609545600,1909008000,9,1,1,8
0,Højlund,22,45.00,3,1691193600,1845936000,30,10,2,8
1,Zirkzee,23,35.00,3,1720915200,1877472000,0,0,0,8
1,Obi,17,5.00,3,1728086400,0,0,0,0,8
