transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Conde,26,10.00,0,1719878400,1877472000,0,0,0,8
1,Luiz Júnior,24,5.00,0,1724112000,1909008000,0,0,0,8
0,Álvarez,23,800,0,1625097600,1782777600,0,0,0,8
1,Costa,24,15.00,1,1724284800,1909008000,0,0,0,8
1,Kambwala,20,4.00,1,1721001600,1877472000,0,0,0,8
0,Bailly,31,2.50,1,1704067200,1751241600,10,0,0,8
0,Albiol,39,1.30,1,1562198400,1751241600,26,0,1,8
1,Navarro,20,1.00,1,1730419200,1909008000,0,0,0,8
1,Cardona,25,8.00,1,1721260800,1814313600,35,1,2,8
0,Pedraza,29,2.50,1,1467331200,1782777600,19,1,3,8
0,Foyth,27,10.00,1,1625097600,1782777600,12,1,1,8
0,Femenía,34,1.20,1,1658966400,1751241600,23,0,0,8
1,Gueye,26,10.00,2,1720137600,1845936000,0,0,0,8
0,Comesaña,28,8.00,2,1688169600,1845936000,27,2,0,8
0,Parejo,36,2.00,2,1597190400,1782777600,33,3,5,8
0,Suárez,31,1.30,2,1688169600,1782777600,4,0,0,8
0,Baena,23,50.00,3,1596240000,1845936000,34,2,14,8
0,Pino,22,30.00,3,1596240000,1814313600,7,0,0,8
0,Akhomach,21,15.00,3,1688342400,1782777600,31,2,2,8
1,Buchanan,26,6.00,3,1738368000,1751241600,0,0,0,8
1,Pépé,29,6.00,3,1722729600,1782777600,0,0,0,8
1,Barry,22,14.00,3,1724198400,1877472000,0,0,0,8
1,Pérez,31,10.00,3,1723507200,1845936000,31,9,1,8
0,Moreno,33,5.00,3,1530403200,1814313600,30,10,6,8
