transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Areola,32,10.00,0,1656633600,1814313600,31,0,0,9
1,Foderingham,34,900,0,1719792000,1782777600,30,0,0,9
0,Fabianski,40,700,0,1530403200,1751241600,10,0,0,9
1,Kilman,27,30.00,1,1720224000,1940544000,38,2,0,9
1,Todibo,25,28.00,1,1723248000,1751241600,0,0,0,9
0,Mavropanos,27,17.00,1,1692662400,1845936000,19,1,0,9
0,Casey,20,1.00,1,1688169600,1814313600,1,0,0,9
0,Emerson,30,12.00,1,1661212800,1782777600,36,1,3,9
1,Scarles,19,4.00,1,1735689600,1845936000,0,0,0,9
0,Cresswell,35,700,1,1404345600,1751241600,11,0,0,9
1,Wan-Bissaka,27,22.00,1,1723507200,1940544000,22,0,2,9
0,Coufal,32,7.00,1,1601596800,1751241600,36,0,7,9
0,Álvarez,27,30.00,2,1691625600,1845936000,31,1,1,9
0,Soucek,30,22.00,2,1595808000,1814313600,37,7,2,9
1,Rodríguez,31,12.00,2,1722902400,1814313600,0,0,0,9
1,Soler,28,20.00,2,1724976000,1751241600,0,0,0,9
0,Ward-Prowse,30,10.00,2,1691971200,1814313600,37,7,7,9
0,Irving,25,5.00,2,1693440000,1782777600,0,0,0,9
0,Lucas Paquetá,27,35.00,2,1661731200,1814313600,31,4,6,9
1,Summerville,23,22.00,3,1722643200,1877472000,0,0,0,9
0,Kudus,24,50.00,3,1693094400,1845936000,33,8,9,9
0,Bowen,28,45.00,3,1580428800,1909008000,34,16,6,9
1,Luis Guilherme,19,18.00,3,1719792000,1877472000,0,0,0,9
1,Ferguson,20,32.00,3,1738540800,1751241600,27,6,1,9
1,Füllkrug,32,12.00,3,1722816000,1845936000,0,0,0,9
0,Ings,32,7.00,3,1674172800,1751241600,20,1,1,9
0,Antonio,35,1.00,3,1441065600,1751241600,26,6,2,9
