transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Sels,33,7.00,0,1706745600,1814313600,16,0,0,17
1,Carlos Miguel,26,4.00,0,1720483200,1845936000,0,0,0,17
1,Hennessey,38,175,0,1736726400,1751241600,0,0,0,17
0,Murillo,22,55.00,1,1693440000,1877472000,32,0,2,17
1,Milenković,27,28.00,1,1721260800,1877472000,0,0,0,17
1,Morato,23,15.00,1,1724976000,1877472000,0,0,0,17
0,Boly,34,2.00,1,1661990400,1751241600,20,2,1,17
1,Moreno,31,11.00,1,1724198400,1751241600,21,2,0,17
0,Toffolo,29,4.00,1,1658275200,1751241600,23,1,3,17
0,Williams,24,20.00,1,1657411200,1782777600,26,0,1,17
0,Aina,28,20.00,1,1689984000,1751241600,22,1,1,17
0,Sangaré,27,28.00,2,1693526400,1845936000,17,0,0,17
0,Danilo,24,28.00,2,1673827200,1877472000,29,2,2,17
1,Anderson,22,30.00,2,1719792000,1877472000,21,0,2,17
0,Domínguez,26,17.00,2,1693526400,1845936000,26,2,2,17
0,Yates,27,13.00,2,1467331200,1845936000,35,1,1,17
1,da Silva Moreira,19,1.00,2,1719792000,1845936000,0,0,0,17
0,Gibbs-White,25,50.00,2,1660867200,1814313600,37,5,10,17
0,Hudson-Odoi,24,24.00,3,1693526400,1782777600,29,8,2,17
1,Sosa,25,13.00,3,1723766400,1877472000,0,0,0,17
0,Elanga,23,35.00,3,1690243200,1845936000,36,5,9,17
1,Jota Silva,25,14.00,3,1722470400,1845936000,0,0,0,17
0,Awoniyi,27,18.00,3,1656633600,1814313600,20,6,3,17
0,Wood,33,10.00,3,1688169600,1814313600,31,14,1,17
