transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Arrizabalaga,30,11.00,0,1724889600,1751241600,0,0,0,12
0,Dennis,24,350,0,1625097600,1845936000,0,0,0,12
1,Huijsen,20,42.00,1,1722297600,1909008000,0,0,0,12
0,Zabarnyi,22,40.00,1,1675123200,1877472000,37,1,0,12
0,Senesi,28,24.00,1,1659916800,1782777600,31,4,5,12
0,Hill,23,2.00,1,1641340800,1782777600,5,0,0,12
1,Akinmboni,18,1.00,1,1735862400,0,0,0,0,12
0,Kinsey,20,,1,1688169600,0,0,0,0,12
0,Kerkez,21,35.00,1,1689811200,1845936000,28,0,2,12
1,Soler,20,8.00,1,1736208000,0,0,0,0,12
1,Araujo,23,10.00,1,1723507200,1877472000,0,0,0,12
0,Smith,34,1.00,1,1390867200,1782777600,28,0,3,12
0,Adams,26,18.00,2,1692489600,1845936000,3,0,0,12
0,Christie,30,12.00,2,1630368000,1814313600,37,0,5,12
0,Scott,21,20.00,2,1691625600,1845936000,23,1,1,12
0,Cook,28,15.00,2,1467936000,1845936000,33,0,3,12
0,Kluivert,26,35.00,2,1688169600,1845936000,32,7,1,12
0,Semenyo,25,35.00,3,1674777600,1877472000,33,8,3,12
0,Ouattara,23,25.00,3,1674086400,1845936000,30,1,2,12
0,Tavernier,26,20.00,3,1659312000,1845936000,30,3,4,12
1,Sinisterra,25,17.00,3,1719792000,0,20,2,2,12
0,Brooks,27,12.00,3,1530403200,1782777600,13,1,1,12
1,Evanilson,25,35.00,3,1723766400,0,0,0,0,12
1,Ünal,28,13.00,3,1719792000,1845936000,16,2,3,12
1,Jebbison,21,4.00,3,1720569600,1845936000,1,0,0,12
