transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Flekken,31,10.00,0,1688169600,1814313600,37,0,0,0
0,Valdimarsson,23,2.50,0,1706227200,1845936000,0,0,0,0
0,Collins,24,28.00,1,1688428800,1877472000,32,1,1,0
1,van den Berg,23,20.00,1,1724284800,1877472000,0,0,0,0
0,Ajer,27,18.00,1,1626825600,1845936000,28,2,1,0
0,Pinnock,31,8.00,1,1562025600,1814313600,29,2,0,0
0,Mee,35,900,1,1658448000,1751241600,16,2,0,0
1,Kim,20,600,1,1719792000,1814313600,0,0,0,0
0,Lewis-Potter,24,23.00,1,1657584000,1940544000,30,3,1,0
0,Henry,27,17.00,1,1472601600,1782777600,5,0,1,0
0,Hickey,22,18.00,1,1657324800,1845936000,9,0,0,0
1,Kayode,20,18.00,1,1737676800,1751241600,0,0,0,0
0,Janelt,27,22.00,2,1601683200,1782777600,38,1,4,0
0,Nørgaard,31,12.00,2,1561939200,1814313600,31,2,1,0
0,Konak,19,4.50,2,1704931200,1877472000,0,0,0,0
0,Jensen,29,16.00,2,1562716800,1782777600,32,3,4,0
0,Yarmolyuk,21,12.00,2,1688169600,1845936000,27,0,0,0
0,Dasilva,26,7.00,2,1534809600,1751241600,3,0,0,0
0,Maghoma,24,600,2,1656633600,1814313600,0,0,0,0
0,Damsgaard,24,25.00,2,1660089600,1909008000,23,0,3,0
1,Carvalho,22,15.00,2,1723420800,1877472000,0,0,0,0
0,Schade,23,27.00,3,1688169600,1845936000,11,2,1,0
1,Nunes,19,10.00,3,1724803200,1909008000,0,0,0,0
0,Mbeumo,25,50.00,3,1564963200,1782777600,25,9,7,0
0,Wissa,28,30.00,3,1628553600,1782777600,34,12,4,0
1,Thiago,23,22.00,3,1719792000,1877472000,0,0,0,0
