transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
0,Leno,33,11.00,0,1659398400,1814313600,38,0,0,0
0,Benda,26,1.00,0,1693353600,1782777600,0,0,0,0
1,Andersen,28,32.00,1,1724371200,1877472000,38,2,3,0
0,Bassey,25,25.00,1,1690502400,1814313600,29,1,0,0
0,Diop,28,16.00,1,1660089600,1814313600,18,0,0,0
1,Cuenca,25,6.00,1,1722643200,1845936000,0,0,0,0
0,Robinson,27,35.00,1,1597881600,1845936000,37,0,6,0
1,Sessegnon,25,9.00,1,1721952000,1782777600,0,0,0,0
0,Tete,29,15.00,1,1599696000,1751241600,14,1,0,0
0,Castagne,29,15.00,1,1693267200,1814313600,34,1,3,0
1,Berge,27,25.00,2,1724284800,1877472000,37,1,2,0
0,Lukić,28,10.00,2,1675123200,1814313600,24,1,0,0
0,Reed,30,7.00,2,1598745600,1814313600,27,0,2,0
0,Cairney,34,2.00,2,1435708800,1751241600,34,1,6,0
1,King,18,1.00,2,1719792000,0,0,0,0,0
1,Smith Rowe,24,32.00,2,1722556800,1877472000,13,0,2,0
0,Iwobi,29,25.00,2,1693526400,1845936000,32,5,2,0
0,Pereira,29,20.00,2,1657497600,1782777600,37,3,7,0
1,Willian,36,1.00,3,1738800000,1751241600,31,4,2,0
1,Godo,22,600,3,1735689600,1845936000,0,0,0,0
1,Nelson,25,18.00,3,1724976000,1751241600,15,0,0,0
0,Wilson,28,17.00,3,1627084800,1782777600,35,4,7,0
0,Traoré,29,10.00,3,1691798400,1782777600,17,2,3,0
0,Rodrigo Muniz,24,20.00,3,1629417600,1782777600,26,9,1,0
0,Jiménez,34,5.00,3,1690243200,1782777600,24,7,0,0
0,Carlos Vinícius,30,4.00,3,1661990400,1751241600,13,2,0,0
