Player,Birth,Market Value,Citizenship,Foot,Contract,Joined,Transfer
Chang-geun Lee,"Aug 30, 1993 (31)",€600k,"Korea, South",N/A,-,"Jan 11, 2022",0
Jun-seo Lee,"Mar 7, 1998 (27)",€150k,"Korea, South",N/A,-,"Jan 28, 2021",0
San Jeong,"Feb 10, 1989 (36)",€100k,"Korea, South",right,-,"Jan 7, 2022",0
Min-soo Kim,"Jul 8, 2005 (19)",€50k,"Korea, South",N/A,-,"Feb 15, 2024",0
Chang-rae Ha,"Oct 16, 1994 (30)",€850k,"Korea, South",right,"Dec 31, 2025","Jan 17, 2025",1
Anton Kryvotsiuk,"Aug 20, 1998 (26)",€550k,"Azerbaijan
  Ukraine",left,"Dec 31, 2027","Feb 21, 2023",0
Hyun-woo Kim,"Mar 7, 1999 (26)",€400k,"Korea, South",N/A,-,"Jan 5, 2023",0
Deok-geun Lim,"Feb 25, 2000 (25)",€350k,"Korea, South",N/A,-,"Feb 2, 2021",0
Aaron Calver,"Jan 12, 1996 (29)",€325k,Australia,right,-,"Jan 18, 2024",1
Jung-taek Lee,"May 23, 1998 (26)",€275k,"Korea, South",right,"Dec 31, 2026","Feb 26, 2024",0
Jong-eun Lim,"Jun 18, 1990 (34)",€200k,"Korea, South",right,"Dec 31, 2026","Jan 17, 2025",0
Yoo-seok Lim,"Jan 15, 2001 (24)",€75k,"Korea, South",left,-,"Jan 10, 2023",0
Hyun-woo Cho,"Jan 1, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Kyu-hyun Park,"Apr 14, 2001 (23)",€250k,"Korea, South",left,-,"Jan 17, 2025",0
Seo-joon Bae,"Dec 11, 2003 (21)",€225k,"Korea, South",N/A,-,"Jan 12, 2022",0
Jin-seong Park,"May 15, 2001 (23)",€200k,"Korea, South",N/A,"Dec 31, 2026","Jan 9, 2024",1
Min-woo Kim,"Mar 16, 2002 (23)",€175k,"Korea, South",left,"Dec 31, 2026","Jul 2, 2024",1
Moon-hwan Kim,"Aug 1, 1995 (29)",€850k,"Korea, South",right,"Dec 31, 2027","Jun 20, 2024",1
Yun-sung Kang,"Jul 1, 1997 (27)",€375k,"Korea, South",right,-,"Jun 28, 2023",0
Jae-suk Oh,"Jan 4, 1990 (35)",€175k,"Korea, South",right,-,"Jan 3, 2023",0
Bobsin,"Jan 12, 2000 (25)",€650k,"Brazil
  Spain",left,-,"Jan 17, 2025",1
Jin-woo Jeong,"Sep 24, 2004 (20)",€75k,"Korea, South",N/A,"Dec 31, 2027","Feb 10, 2023",0
Soon-min Lee,"May 22, 1994 (30)",€600k,"Korea, South",right,"Dec 31, 2027","Jan 19, 2024",1
Jun-beom Kim,"Jan 14, 1998 (27)",€300k,"Korea, South",right,-,"Jan 8, 2024",0
Han-seo Kim,"Feb 14, 2003 (22)",€150k,"Korea, South",N/A,-,"Jan 10, 2024",0
Jun-gyu Lee,"Aug 4, 2003 (21)",€150k,"Korea, South",right,"Dec 31, 2026","Feb 14, 2024",0
In-gyun Kim,"Jul 23, 1998 (26)",€450k,"Korea, South",left,"Dec 31, 2026","Jan 10, 2022",0
Geon-joo Choi,"Jun 26, 1999 (25)",€400k,"Korea, South",right,-,"Jul 5, 2024",0
Woo-bin Jung,"May 8, 2001 (23)",€75k,"Korea, South",left,-,"Mar 3, 2023",0
Hyeon-ug Kim,"Jun 22, 1995 (29)",€500k,"Korea, South",left,-,"Jul 17, 2024",0
Jae-hee Jeong,"Apr 28, 1994 (30)",€375k,"Korea, South",N/A,-,"Jan 17, 2025",0
Kelvin,"Aug 18, 1997 (27)",€350k,Brazil,right,-,"Jul 25, 2024",1
Do-young Yun,"Oct 28, 2006 (18)",€350k,"Korea, South",left,-,"Jan 11, 2024",0
Sang-eun Shin,"Aug 20, 1999 (25)",€175k,"Korea, South",right,-,"Jan 28, 2021",0
Masatoshi Ishida,"May 4, 1995 (29)",€500k,Japan,right,-,"Jun 27, 2024",1
Min-kyu Joo,"Apr 13, 1990 (34)",€800k,"Korea, South",right,-,"Jan 17, 2025",0
Vladislavs Gutkovskis,"Apr 2, 1995 (29)",€600k,Latvia,N/A,"Dec 31, 2026","Jul 10, 2023",0
Seung-dae Kim,"Apr 1, 1991 (33)",€350k,"Korea, South",right,"Dec 31, 2025","Jan 5, 2024",1
Seong-hoon Cheon,"Sep 21, 2000 (24)",€275k,"Korea, South",N/A,-,"Jun 21, 2024",0
Hyeon-oh Kim,"Sep 12, 2007 (17)",N/A,"Korea, South",N/A,"Dec 31, 2025","Feb 19, 2025",0
