Player,Birth,Market Value
Kwang-yeon Lee,"Sep 11, 1999 (25)",€400k
Cheong-hyo Park,"Feb 13, 1990 (35)",€200k
Yoo-sung Kim,"Nov 16, 2005 (19)",€75k
Min-kyu Cho,"Apr 30, 2003 (21)",€50k
Su-hwan Park,"Apr 27, 2006 (18)",N/A
Marko Tuci,"Dec 4, 1998 (26)",€500k
Gi-hyuk Lee,"Jul 7, 2000 (24)",€450k
Min-ha Shin,"Sep 15, 2005 (19)",€175k
Hyun-tae Jo,"Oct 27, 2004 (20)",€75k
Ho-yeong Park,"Apr 7, 1999 (25)",N/A
Seung-bin Jung,"Jul 3, 2006 (18)",N/A
Chul Hong,"Sep 17, 1990 (34)",€350k
Jun-seok Song,"Feb 6, 2001 (24)",€275k
Joon-hyuck Kang,"Oct 20, 1999 (25)",€275k
You-hyeon Lee,"Feb 8, 1997 (28)",€375k
Seok-joo Kwon,"Jun 12, 2003 (21)",N/A
Jeong-hoon Choi,"Mar 9, 1999 (26)",N/A
Dong-hyeon Kim,"Jun 11, 1997 (27)",€800k
Han-sol Choi,"Mar 16, 1997 (28)",€275k
Dong-jin Lee,"Dec 17, 2000 (24)",€50k
Tae-hwan Kim,"May 29, 2006 (18)",N/A
Eun-chong Hwang,"Jan 10, 2006 (19)",N/A
Ki-wan Sung,"Jan 1, 2004 (21)",N/A
Kang-gook Kim,"Jan 7, 1997 (28)",€400k
Yi-seok Kim,"Jun 19, 1998 (26)",€350k
Dae-woo Kim,"Dec 2, 2000 (24)",€250k
Hee-do Won,"Aug 1, 2005 (19)",N/A
Jun-jin Yu,"Feb 22, 2006 (19)",N/A
Sang-heon Lee,"Feb 26, 1998 (27)",€900k
Yun-gu Kang,"Apr 8, 2002 (22)",€300k
Mario Cuze,"Apr 24, 1999 (25)",€800k
Il-lok Yun,"Mar 7, 1992 (33)",€450k
Romário Baldé,"Dec 25, 1996 (28)",€350k
Jin-hyuk Cho,"Aug 10, 2000 (24)",€200k
Min-jun Kim,"Feb 12, 2000 (25)",€500k
Byeong-chan Choe,"Apr 4, 1996 (28)",€250k
Do-hyun Kim,"May 12, 2004 (20)",€100k
Hyeong-jin Kim,"Nov 19, 2006 (18)",N/A
Vitor Gabriel,"Jan 20, 2000 (25)",€600k
Franko Kovacevic,"Aug 8, 1999 (25)",€550k
Kyeong-min Kim,"Jan 22, 1997 (28)",€175k
Jun-seo Jin,"Feb 21, 2005 (20)",€125k
Byung-heon Yoo,"Feb 1, 2006 (19)",N/A
Ji-ho Lee,"Apr 16, 2002 (22)",N/A
