Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Dong-heon Kim,"Mar 3, 1997 (28)",€500k,N/A,N/A,"Jun 17, 2025","Jan 1, 2024"
Tae-hoon Kim,"Apr 24, 1997 (27)",€125k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Ju-hyeon Lee,"Dec 6, 1998 (26)",€100k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Myung-jae Joung,"Jun 30, 2002 (22)",€100k,"Korea, South",N/A,"Jun 3, 2025","Jan 1, 2024"
Seung-wook Park,"May 7, 1997 (27)",€1.00m,"Korea, South",right,"Jun 3, 2025","Jan 1, 2024"
Min-duk Kim,"Jul 8, 1996 (28)",€600k,"Korea, South",right,"Jul 2, 2025","Jan 2, 2024"
Chan-yong Park,"Jan 27, 1996 (29)",€600k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Kang-san Kim,"Sep 15, 1998 (26)",€500k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Dae-won Park,"Feb 25, 1998 (27)",€450k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Jin-woo Jo,"Nov 17, 1999 (25)",€450k,"Korea, South",right,"Jul 2, 2025","Jan 2, 2024"
Sun Yu,"Jul 24, 2004 (20)",€175k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Uk-hyeon Hong,"Jan 6, 2004 (21)",€125k,"Korea, South",N/A,"Jun 3, 2025","Jan 1, 2024"
Hyun-taek Cho,"Aug 2, 2001 (23)",€400k,"Korea, South",left,"Jun 17, 2025","Dec 18, 2023"
Ye-hoon Choi,"Aug 19, 2003 (21)",€75k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Soo-il Park,"Feb 22, 1996 (29)",€450k,"Korea, South",right,"Jun 3, 2025","Jan 1, 2024"
Min-woo Seo,"Mar 12, 1998 (27)",€600k,"Korea, South",right,"Jun 17, 2025","Jan 1, 2024"
Jin-yong Lee,"May 1, 2001 (23)",€600k,"Korea, South",right,"Jun 3, 2025","Jan 1, 2024"
Sang-min Lee,"Aug 30, 1999 (25)",€300k,"Korea, South",N/A,"Jul 2, 2025","Jan 2, 2024"
Bong-soo Kim,"Dec 26, 1999 (25)",€900k,"Korea, South",right,"Jun 3, 2025","Jan 1, 2024"
Seong-ung Maeng,"Feb 4, 1998 (27)",€450k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Jun-ho Kim,"Dec 11, 2002 (22)",€350k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Dong-gyeong Lee,"Sep 20, 1997 (27)",€1.20m,"Korea, South",left,"Oct 28, 2025","Apr 29, 2024"
Hyeon-sik Lee,"Mar 21, 1996 (28)",€550k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Seung-won Lee,"Mar 6, 2003 (22)",€200k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Dae-won Kim,"Feb 10, 1997 (28)",€900k,"Korea, South",right,"Jun 17, 2025","Jan 1, 2024"
Seung-sub Kim,"Nov 1, 1996 (28)",€325k,"Korea, South",N/A,"Oct 28, 2025","Apr 29, 2024"
Gi-yun Choi,"Apr 9, 2002 (22)",€200k,"Korea, South",left,"Jun 3, 2025","Jan 1, 2024"
Jae-hyeon Mo,"Sep 24, 1996 (28)",€450k,"Korea, South",right,"Jun 3, 2025","Jan 1, 2024"
Dong-jun Lee,"Feb 1, 1997 (28)",€400k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
In-pyo Oh,"Mar 18, 1997 (28)",€200k,"Korea, South",left,"Oct 28, 2025","Apr 29, 2024"
Sang-hun Chu,"Feb 3, 2000 (25)",€150k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Kang-hyun Yu,"Apr 27, 1996 (28)",€400k,"Korea, South",right,"Jul 2, 2025","Jan 2, 2024"
Chan Kim,"Apr 25, 2000 (24)",€350k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Ki-jong Won,"Jan 6, 1996 (29)",€350k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Kyeong-jun Kim,"Oct 1, 1996 (28)",€200k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
Sang-hyeok Park,"Jun 13, 2002 (22)",€200k,"Korea, South",right,"Oct 28, 2025","Apr 29, 2024"
