Player,Birth,Market Value
Dong-heon Kim,"Mar 3, 1997 (28)",€500k
Tae-hoon Kim,"Apr 24, 1997 (27)",€125k
Ju-hyeon Lee,"Dec 6, 1998 (26)",€100k
Myung-jae Joung,"Jun 30, 2002 (22)",€100k
Seung-wook Park,"May 7, 1997 (27)",€1.00m
Min-duk Kim,"Jul 8, 1996 (28)",€600k
Chan-yong Park,"Jan 27, 1996 (29)",€600k
Kang-san Kim,"Sep 15, 1998 (26)",€500k
Dae-won Park,"Feb 25, 1998 (27)",€450k
Jin-woo Jo,"Nov 17, 1999 (25)",€450k
Sun Yu,"Jul 24, 2004 (20)",€175k
Uk-hyeon Hong,"Jan 6, 2004 (21)",€125k
Hyun-taek Cho,"Aug 2, 2001 (23)",€400k
Ye-hoon Choi,"Aug 19, 2003 (21)",€75k
Soo-il Park,"Feb 22, 1996 (29)",€450k
Min-woo Seo,"Mar 12, 1998 (27)",€600k
Jin-yong Lee,"May 1, 2001 (23)",€600k
Sang-min Lee,"Aug 30, 1999 (25)",€300k
Bong-soo Kim,"Dec 26, 1999 (25)",€900k
Seong-ung Maeng,"Feb 4, 1998 (27)",€450k
Jun-ho Kim,"Dec 11, 2002 (22)",€350k
Dong-gyeong Lee,"Sep 20, 1997 (27)",€1.20m
Hyeon-sik Lee,"Mar 21, 1996 (28)",€550k
Seung-won Lee,"Mar 6, 2003 (22)",€200k
Dae-won Kim,"Feb 10, 1997 (28)",€900k
Seung-sub Kim,"Nov 1, 1996 (28)",€325k
Gi-yun Choi,"Apr 9, 2002 (22)",€200k
Jae-hyeon Mo,"Sep 24, 1996 (28)",€450k
Dong-jun Lee,"Feb 1, 1997 (28)",€400k
In-pyo Oh,"Mar 18, 1997 (27)",€200k
Sang-hun Chu,"Feb 3, 2000 (25)",€150k
Kang-hyun Yu,"Apr 27, 1996 (28)",€400k
Chan Kim,"Apr 25, 2000 (24)",€350k
Ki-jong Won,"Jan 6, 1996 (29)",€350k
Kyeong-jun Kim,"Oct 1, 1996 (28)",€200k
Sang-hyeok Park,"Jun 13, 2002 (22)",€200k
