Player,Birth,Market Value
Chang-geun Lee,"Aug 30, 1993 (31)",€600k
Jun-seo Lee,"Mar 7, 1998 (27)",€150k
San Jeong,"Feb 10, 1989 (36)",€100k
Min-soo Kim,"Jul 8, 2005 (19)",€50k
Chang-rae Ha,"Oct 16, 1994 (30)",€850k
Anton Kryvotsiuk,"Aug 20, 1998 (26)",€550k
Hyun-woo Kim,"Mar 7, 1999 (26)",€400k
Deok-geun Lim,"Feb 25, 2000 (25)",€350k
Aaron Calver,"Jan 12, 1996 (29)",€325k
Jung-taek Lee,"May 23, 1998 (26)",€275k
Jong-eun Lim,"Jun 18, 1990 (34)",€200k
Yoo-seok Lim,"Jan 15, 2001 (24)",€75k
Hyun-woo Cho,"Jan 1, 2005 (20)",N/A
Kyu-hyun Park,"Apr 14, 2001 (23)",€250k
Seo-joon Bae,"Dec 11, 2003 (21)",€225k
Jin-seong Park,"May 15, 2001 (23)",€200k
Min-woo Kim,"Mar 16, 2002 (23)",€175k
Moon-hwan Kim,"Aug 1, 1995 (29)",€850k
Yun-sung Kang,"Jul 1, 1997 (27)",€375k
Jae-suk Oh,"Jan 4, 1990 (35)",€175k
Bobsin,"Jan 12, 2000 (25)",€650k
Jin-woo Jeong,"Sep 24, 2004 (20)",€75k
Soon-min Lee,"May 22, 1994 (30)",€600k
Jun-beom Kim,"Jan 14, 1998 (27)",€300k
Han-seo Kim,"Feb 14, 2003 (22)",€150k
Jun-gyu Lee,"Aug 4, 2003 (21)",€150k
In-gyun Kim,"Jul 23, 1998 (26)",€450k
Geon-joo Choi,"Jun 26, 1999 (25)",€400k
Woo-bin Jung,"May 8, 2001 (23)",€75k
Hyeon-ug Kim,"Jun 22, 1995 (29)",€500k
Jae-hee Jeong,"Apr 28, 1994 (30)",€375k
Kelvin,"Aug 18, 1997 (27)",€350k
Do-young Yun,"Oct 28, 2006 (18)",€350k
Sang-eun Shin,"Aug 20, 1999 (25)",€175k
Masatoshi Ishida,"May 4, 1995 (29)",€500k
Min-kyu Joo,"Apr 13, 1990 (34)",€800k
Vladislavs Gutkovskis,"Apr 2, 1995 (29)",€600k
Seung-dae Kim,"Apr 1, 1991 (33)",€350k
Seong-hoon Cheon,"Sep 21, 2000 (24)",€275k
Hyeon-oh Kim,"Sep 12, 2007 (17)",N/A
