Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Chang-geun Lee,"Aug 30, 1993 (31)",€600k,"Korea, South",N/A,N/A,"Jan 11, 2022"
Jun-seo Lee,"Mar 7, 1998 (27)",€150k,"Korea, South",N/A,N/A,"Jan 28, 2021"
San Jeong,"Feb 10, 1989 (36)",€100k,"Korea, South",right,N/A,"Jan 7, 2022"
Min-soo Kim,"Jul 8, 2005 (19)",€50k,"Korea, South",N/A,N/A,"Feb 15, 2024"
Chang-rae Ha,"Oct 16, 1994 (30)",€850k,"Korea, South",right,N/A,"Jan 17, 2025"
Anton Kryvotsiuk,"Aug 20, 1998 (26)",€550k,"Azerbaijan
  Ukraine",left,N/A,"Feb 21, 2023"
Hyun-woo Kim,"Mar 7, 1999 (26)",€400k,"Korea, South",N/A,N/A,"Jan 5, 2023"
Deok-geun Lim,"Feb 25, 2000 (25)",€350k,"Korea, South",N/A,N/A,"Feb 2, 2021"
Aaron Calver,"Jan 12, 1996 (29)",€325k,Australia,right,N/A,"Jan 18, 2024"
Jung-taek Lee,"May 23, 1998 (26)",€275k,"Korea, South",right,N/A,"Feb 26, 2024"
Jong-eun Lim,"Jun 18, 1990 (34)",€200k,"Korea, South",right,N/A,"Jan 17, 2025"
Yoo-seok Lim,"Jan 15, 2001 (24)",€75k,"Korea, South",left,N/A,"Jan 10, 2023"
Hyun-woo Cho,"Jan 1, 2005 (20)",N/A,"Korea, South",N/A,N/A,"Jan 17, 2025"
Kyu-hyun Park,"Apr 14, 2001 (23)",€250k,"Korea, South",left,N/A,"Jan 17, 2025"
Seo-joon Bae,"Dec 11, 2003 (21)",€225k,"Korea, South",N/A,N/A,"Jan 12, 2022"
Jin-seong Park,"May 15, 2001 (23)",€200k,"Korea, South",N/A,N/A,"Jan 9, 2024"
Min-woo Kim,"Mar 16, 2002 (23)",€175k,"Korea, South",left,N/A,"Jul 2, 2024"
Moon-hwan Kim,"Aug 1, 1995 (29)",€850k,"Korea, South",right,N/A,"Jun 20, 2024"
Yun-sung Kang,"Jul 1, 1997 (27)",€375k,"Korea, South",right,N/A,"Jun 28, 2023"
Jae-suk Oh,"Jan 4, 1990 (35)",€175k,"Korea, South",right,N/A,"Jan 3, 2023"
Bobsin,"Jan 12, 2000 (25)",€650k,"Brazil
  Spain",left,N/A,"Jan 17, 2025"
Jin-woo Jeong,"Sep 24, 2004 (20)",€75k,"Korea, South",N/A,N/A,"Feb 10, 2023"
Soon-min Lee,"May 22, 1994 (30)",€600k,"Korea, South",right,N/A,"Jan 19, 2024"
Jun-beom Kim,"Jan 14, 1998 (27)",€300k,"Korea, South",right,N/A,"Jan 8, 2024"
Han-seo Kim,"Feb 14, 2003 (22)",€150k,"Korea, South",N/A,N/A,"Jan 10, 2024"
Jun-gyu Lee,"Aug 4, 2003 (21)",€150k,"Korea, South",right,N/A,"Feb 14, 2024"
In-gyun Kim,"Jul 23, 1998 (26)",€450k,"Korea, South",left,N/A,"Jan 10, 2022"
Geon-joo Choi,"Jun 26, 1999 (25)",€400k,"Korea, South",right,N/A,"Jul 5, 2024"
Woo-bin Jung,"May 8, 2001 (23)",€75k,"Korea, South",left,N/A,"Mar 3, 2023"
Hyeon-ug Kim,"Jun 22, 1995 (29)",€500k,"Korea, South",left,N/A,"Jul 17, 2024"
Jae-hee Jeong,"Apr 28, 1994 (30)",€375k,"Korea, South",N/A,N/A,"Jan 17, 2025"
Kelvin,"Aug 18, 1997 (27)",€350k,Brazil,right,N/A,"Jul 25, 2024"
Do-young Yun,"Oct 28, 2006 (18)",€350k,"Korea, South",left,N/A,"Jan 11, 2024"
Sang-eun Shin,"Aug 20, 1999 (25)",€175k,"Korea, South",right,N/A,"Jan 28, 2021"
Masatoshi Ishida,"May 4, 1995 (29)",€500k,Japan,right,N/A,"Jun 27, 2024"
Min-kyu Joo,"Apr 13, 1990 (34)",€800k,"Korea, South",right,N/A,"Jan 17, 2025"
Vladislavs Gutkovskis,"Apr 2, 1995 (29)",€600k,Latvia,N/A,N/A,"Jul 10, 2023"
Seung-dae Kim,"Apr 1, 1991 (33)",€350k,"Korea, South",right,N/A,"Jan 5, 2024"
Seong-hoon Cheon,"Sep 21, 2000 (24)",€275k,"Korea, South",N/A,N/A,"Jun 21, 2024"
Hyeon-oh Kim,"Sep 12, 2007 (17)",N/A,"Korea, South",N/A,N/A,"Feb 19, 2025"
