Player,Birth,Market Value
Dong-jun Kim,"Dec 19, 1994 (30)",€600k
Chan-gi An,"Apr 6, 1998 (26)",€150k
Seong-been Cho,"Jan 5, 2001 (24)",€100k
Seung-min Joo,"Jun 13, 2006 (18)",N/A
Ji-woon Kim,"Mar 8, 2006 (19)",N/A
Min-gyu Jang,"Mar 6, 1999 (26)",€750k
Chang-woo Rim,"Feb 13, 1992 (33)",€450k
Jae-woo Kim,"Feb 6, 1998 (27)",€400k
Ju-hun Song,"Jan 13, 1994 (31)",€400k
Chae-min Lim,"Nov 18, 1990 (34)",€325k
Won-chang Choi,"May 9, 2001 (23)",N/A
In-soo Yu,"Dec 28, 1994 (30)",€350k
Woon Jeong,"Jun 30, 1989 (35)",€275k
Ryun-sung Kim,"Jun 4, 2002 (22)",€150k
In-jung Jo,"Nov 8, 2005 (19)",€50k
Tae-hwan Kim,"Mar 25, 2000 (24)",€450k
Tae-hyun An,"Mar 1, 1993 (32)",€300k
Italo,"Aug 3, 1997 (27)",€500k
Byung-wook Choi,"Apr 11, 2005 (19)",N/A
Jun-ha Kim,"Dec 2, 2005 (19)",N/A
Jin-ho Kim,"Feb 28, 2006 (19)",N/A
Chang-min Lee,"Jan 20, 1994 (31)",€500k
Geon-ung Kim,"Aug 29, 1997 (27)",€450k
Jae-hyeok Oh,"Jun 21, 2002 (22)",€250k
Jung-min Kim,"Nov 13, 1999 (25)",€200k
Jae-min Kim,"Mar 19, 2003 (21)",€100k
Tae-hee Nam,"Jul 3, 1991 (33)",€600k
Sun-ho Kwon,"Mar 13, 2003 (22)",€125k
Sang-wook Ji,"Jan 13, 2003 (22)",€175k
Hyeon-woo Kim,"Apr 23, 1999 (25)",N/A
Ju-gong Kim,"Apr 23, 1996 (28)",€350k
Denílson,"Mar 20, 2000 (24)",N/A
Jin-su Seo,"Oct 18, 2000 (24)",€400k
Yuri Jonathan,"Jun 12, 1998 (26)",€400k
Evandro,"Jan 14, 1997 (28)",€350k
Dong-jin Park,"Dec 10, 1994 (30)",€275k
Gun-hee Lee,"Feb 17, 1998 (27)",€200k
Min-jae Kang,"May 14, 2003 (21)",N/A
