Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,"Jun 30, 2021","Jul 1, 2017",14,0,0,16,'1'
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,"May 31, 2023","Jan 8, 2021",11,0,0,20,'1'
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,"Feb 2, 2022","Jul 1, 2018",3,0,0,8,'1'
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,"Jan 27, 2022","Jul 28, 2014",20,1,3,8,'1'
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jan 18, 2022","Jul 1, 2017",27,1,1,8,'1'
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Sep 1, 2021","Aug 9, 2019",40,2,0,8,'1'
Shkodran Mustafi,"Apr 17, 1992 (29)",Defender - Centre-Back,€2.50m,"Jun 30, 2021","Feb 1, 2021",22,1,0,20,'1'
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,"Jun 30, 2023","Jul 1, 2019",32,11,3,8,'1'
Martin Ødegaard,"Dec 17, 1998 (22)",Midfield - Attacking Midfield,€40.00m,"Jun 30, 2023","Jan 8, 2017",29,2,2,2,'1'
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,"Aug 30, 2021","Aug 14, 2020",46,1,9,8,'1'
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,"Jan 31, 2022","Jan 31, 2018",39,15,4,8,'1'
Bernd Leno,"Mar 4, 1992 (29)",Goalkeeper,€22.00m,"Jun 30, 2023","Jul 1, 2018",8,0,0,5,'1'
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,"Aug 9, 2022","Jul 12, 2021",9,0,0,6,'1'
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,"May 31, 2023","Jan 8, 2021",44,0,0,20,'1'
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,"Oct 17, 2022","Feb 2, 2022",15,0,0,20,'1'
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,"Sep 1, 2022","Jul 1, 2014",32,0,5,5,'1'
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,"Sep 1, 2022","Aug 30, 2021",36,1,4,20,'1'
Alexandre Lacazette,"May 28, 1991 (30)",Attack - Centre-Forward,€28.00m,"Jun 30, 2022","Jul 5, 2017",36,6,8,5,'1'
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,"Jun 30, 2025","Jan 31, 2022",38,20,3,2,'1'
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,"Jan 9, 2023","Aug 9, 2022",36,0,0,20,'1'
Rúnar Alex Rúnarsson,"Feb 18, 1995 (26)",Goalkeeper,€1.50m,"Feb 1, 2024","Sep 21, 2020",32,0,0,2,'1'
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,"Sep 1, 2023","Jul 1, 2022",22,0,0,20,'1'
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,"Feb 7, 2024","Feb 8, 2023",10,0,0,20,'1'
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,"Jun 30, 2024","Jul 22, 2016",24,2,0,2,'1'
Pablo Marí,"Aug 31, 1993 (27)",Defender - Centre-Back,€7.00m,"Jun 30, 2024","Jul 1, 2020",31,1,0,2,'1'
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jul 6, 2023","Jan 18, 2022",41,4,1,3,'1'
Joel López,"Mar 31, 2002 (19)",Defender - Left-Back,€200k,"Jun 30, 2023","Aug 5, 2022",23,0,1,20,'1'
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,"Jun 30, 2023","Sep 1, 2022",20,1,0,1,'1'
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,"Aug 7, 2023","Jul 1, 2017",27,0,1,2,'1'
Granit Xhaka,"Sep 27, 1992 (28)",Midfield - Defensive Midfield,€22.00m,"Jun 30, 2024","Jul 1, 2016",47,9,7,2,'1'
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,"Sep 8, 2023","Aug 1, 2019",28,8,0,2,'1'
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,"Jun 30, 2025","Sep 1, 2022",22,3,1,12,'1'
Folarin Balogun,"Jul 3, 2001 (19)",Attack - Centre-Forward,€4.00m,"Jun 30, 2025","Jul 1, 2022",39,22,2,20,'1'
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,"Jun 30, 2024","Jan 9, 2023",39,0,0,20,'1'
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,"Jun 30, 2024","Jan 12, 2024",0,0,0,20,'1'
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,"Jun 30, 2024","Feb 7, 2024",15,0,0,20,'1'
Arthur Okonkwo,"Sep 9, 2001 (19)",Goalkeeper,€1.2m,"Jun 30, 2024","Jul 1, 2021",40,0,0,2,'1'
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,"Jun 30, 2024","Jan 27, 2021",8,0,1,4,'1'
Pablo Marí,"Aug 31, 1993 (27)",Defender - Centre-Back,€7.00m,"Jun 30, 2025","Jul 1, 2023",35,0,0,12,'1'
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Jan 20, 2025","Sep 1, 2021",36,3,0,20,'1'
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,"Jun 30, 2024","Jul 1, 2020",6,0,0,2,'1'
Mohamed Elneny,"Jul 11, 1992 (28)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2024","Jan 14, 2016",6,0,0,2,'1'
Miguel Azeez,"Sep 20, 2002 (18)",Midfield - Central Midfield,€500k,"Aug 31, 2024","Feb 1, 2024",17,1,1,20,'1'
Ben Cottrell,"Oct 31, 2001 (19)",Midfield - Central Midfield,€200k,"Oct 30, 2024","Aug 1, 2023",12,0,0,20,'1'
James Olayinka,"Oct 5, 2000 (20)",Midfield - Central Midfield,€150k,"Jun 30, 2024","Sep 1, 2022",15,0,0,20,'1'
Emile Smith Rowe,"Jul 28, 2000 (20)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2026","Aug 1, 2020",19,0,1,2,'1'
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,"Sep 2, 2024","Sep 1, 2022",37,5,2,13,'1'
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,"Jul 18, 2024","Jul 21, 2023",51,30,11,8,'1'
Eddie Nketiah,"May 30, 1999 (22)",Attack - Centre-Forward,€16.00m,"Jun 30, 2027","Jan 1, 2019",37,6,3,2,'1'
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,"Jun 30, 2027","Aug 13, 2021",31,2,0,11,'0'
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,"Jun 30, 2029","Sep 16, 2020",37,0,0,5,'0'
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Jan 20, 2025","Sep 1, 2021",39,1,1,20,'0'
Bernd Leno,"Mar 4, 1992 (29)",Goalkeeper,€22.00m,"Jun 30, 2027","Aug 2, 2022",41,0,0,13,'0'
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,"Jun 30, 2029","Sep 16, 2020",39,0,0,8,'0'
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Jul 25, 2019",52,0,0,5,'0'
Dani Ceballos,"Aug 7, 1996 (24)",Midfield - Central Midfield,€27.00m,"Jun 30, 2027","Jul 14, 2017",18,0,1,1,'0'
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,"Jun 30, 2027","Jul 1, 2019",48,15,11,2,'0'
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,"Jun 30, 2024","Jul 1, 2020",25,0,2,8,'0'
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,"Jun 30, 2027","Jul 1, 2019",43,12,7,5,'0'
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Oct 5, 2020",16,0,0,2,'0'
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,"Jun 30, 2024","Jul 1, 2020",26,1,3,5,'0'
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,"Aug 4, 2024","Sep 8, 2023",23,6,3,8,'0'
James Olayinka,"Oct 5, 2000 (20)",Midfield - Central Midfield,€150k,"Jun 30, 2024","Sep 1, 2022",33,3,8,20,'0'
Granit Xhaka,"Sep 27, 1992 (28)",Midfield - Defensive Midfield,€22.00m,"Jun 30, 2024","Jul 1, 2016",45,1,2,8,'0'
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Jul 25, 2019",30,1,0,8,'0'
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,"Sep 8, 2023","Aug 1, 2019",47,16,5,8,'0'
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,"Jun 30, 2024","Jan 27, 2021",16,2,0,14,'0'
Bernd Leno,"Mar 4, 1992 (29)",Goalkeeper,€22.00m,"Jun 30, 2027","Aug 2, 2022",37,0,0,10,'0'
Gabriel Martinelli,"Jun 18, 2001 (20)",Attack - Left Winger,€22.00m,"Jun 30, 2027","Jul 2, 2019",46,15,6,2,'0'
Emile Smith Rowe,"Jul 28, 2000 (20)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2026","Aug 1, 2020",37,7,7,8,'0'
Reiss Nelson,"Dec 10, 1999 (21)",Attack - Right Winger,€9.00m,"Jun 30, 2025","Jul 1, 2019",18,3,3,2,'0'
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jun 30, 2025","Jul 6, 2023",43,1,1,4,'0'
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jul 6, 2023","Jan 18, 2022",22,0,1,2,'0'
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,"Jun 30, 2025","Aug 8, 2019",25,1,3,5,'0'
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Oct 5, 2020",36,0,3,8,'0'
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,"Sep 2, 2024","Sep 1,2022",30,5,5,10,'0'
Alexandre Lacazette,"May 28, 1991 (30)",Attack - Centre-Forward,€28.00m,"Jun 30, 2025","Jul 1, 2022",39,31,6,7,'0'
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Jan 20, 2025","Sep 1, 2021",47,0,1,20,'0'
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,"Jun 30, 2026","Sep 1, 2023",1,0,0,20,'0'
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,"Aug 7, 2023","Jul 1, 2017",36,0,1,8,'0'
Eddie Nketiah,"May 30, 1999 (22)",Attack - Centre-Forward,€16.00m,"Jun 30, 2027","Jan 1, 2019",39,9,2,2,'0'
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,"Jun 30, 2024","Jul 22, 2016",39,0,0,8,'0'
Emile Smith Rowe,"Jul 28, 2000 (20)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2026","Aug 1, 2020",37,11,2,5,'0'
Eddie Nketiah,"May 30, 1999 (22)",Attack - Centre-Forward,€16.00m,"Jun 30, 2027","Jan 1, 2019",28,10,1,5,'0'
Gabriel Martinelli,"Jun 18, 2001 (20)",Attack - Left Winger,€22.00m,"Jun 30, 2027","Jul 2, 2019",23,2,2,8,'0'
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,"Sep 8, 2023","Aug 1, 2019",23,3,6,5,'0'
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,"Aug 7, 2023","Jul 1, 2017",23,0,1,5,'0'
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,"Jun 30, 2025","Aug 8, 2019",38,2,4,8,'0'
Joel López,"Mar 31, 2002 (19)",Defender - Left-Back,€200k,"Jun 30 , 2027","Jul 20, 2023",33,0,0,20,'0'
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,"Jun 30, 2024","Jul 22, 2016",21,1,0,5,'0'
Reiss Nelson,"Dec 10, 1999 (21)",Attack - Right Winger,€9.00m,"Jun 30, 2025","Jul 1, 2019",15,3,1,8,'0'
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Jul 25, 2019",50,2,1,2,'0'
Gabriel Magalhães,"Dec 19, 1997 (23)",Defender - Centre-Back,€25.00m,"Jun 30, 2027","Sep 1, 2020",39,5,0,5,'0'
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Jul 25, 2019",33,3,1,2,'0'
Mohamed Elneny,"Jul 11, 1992 (28)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2024","Jan 14, 2016",41,3,0,8,'0'
Arthur Okonkwo,"Sep 9, 2001 (19)",Goalkeeper,€1.2m,"Jun 30, 2024","Jul 1, 2021",7,0,0,5,'0'
Gabriel Magalhães,"Dec 19, 1997 (23)",Defender - Centre-Back,€25.00m,"Jun 30, 2027","Sep 1, 2020",32,3,1,8,'0'
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,"Jun 30, 2027","Jul 1, 2019",46,7,7,8,'0'
Mohamed Elneny,"Jul 11, 1992 (28)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2024","Jan 14, 2016",17,0,2,5,'0'
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,"Sep 1, 2022","Jul 1, 2014",35,1,3,8,'0'
Rúnar Alex Rúnarsson,"Feb 18, 1995 (26)",Goalkeeper,€1.50m,"Jun 30, 2027","Feb 1, 2024",9,0,0,20,'0'
Pablo Marí,"Aug 31, 1993 (27)",Defender - Centre-Back,€7.00m,"Jun 30, 2024","Jul 1, 2020",18,1,0,8,'0'
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,"Jun 30, 2027","Jul 1, 2019",47,20,14,2,'0'
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Oct 5, 2020",26,2,1,5,'0'
Martin Ødegaard,"Dec 17, 1998 (22)",Midfield - Attacking Midfield,€40.00m,"Jun 30, 2028","Aug 20, 2021",48,11,11,2,'0'
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,"Jun 30, 2025","Aug 8, 2019",36,1,2,2,'0'
Folarin Balogun,"Jul 3, 2001 (19)",Attack - Centre-Forward,€4.00m,"Jun 30, 2028","Aug 30, 2023",32,8,5,2,'0'
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,"Jun 30, 2024","Jan 27, 2021",17,0,0,7,'0'
