Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,"Jun 30, 2029","Sep 16, 2020",37,0,0,5,0
Bernd Leno,"Mar 4, 1992 (29)",Goalkeeper,€22.00m,"Jun 30, 2023","Jul 1, 2018",8,0,0,5,1
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,"Aug 9, 2022","Jul 12, 2021",9,0,0,6,1
Rúnar Alex Rúnarsson,"Feb 18, 1995 (26)",Goalkeeper,€1.50m,"Feb 1, 2024","Sep 21, 2020",20,0,0,5,0
***Karl Hein,"Apr 13, 2002 (19)",Goalkeeper,€450k,N/A,N/A
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,"May 31, 2023","Jan 8, 2021",44,0,0,20,1
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,"Oct 17, 2022","Feb 2, 2022",15,0,0,20,1
***James Hillson,"Jan 14, 2001 (20)",Goalkeeper,N/A,N/A,N/A
Arthur Okonkwo,"Sep 9, 2001 (19)",Goalkeeper,€1.2m,"Jun 30, 2024","Jul 1, 2021",7,0,0,5,0
Gabriel Magalhães,"Dec 19, 1997 (23)",Defender - Centre-Back,€25.00m,"Jun 30, 2027","Sep 1, 2020",39,5,0,5,0
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,"Jun 30, 2027","Jul 25, 2019",52,0,0,5,0
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,"Jun 30, 2024","Jul 22, 2016",21,1,0,5,0
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,"Jun 30, 2024","Jan 27, 2021",16,2,0,14,0
Pablo Marí,"Aug 31, 1993 (27)",Defender - Centre-Back,€7.00m,"Jun 30, 2024","Jul 1, 2020",18,2,0,5,0
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jul 6, 2023","Jan 18, 2022",22,0,1,2,0
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Jan 20, 2025","Sep 1, 2021",47,0,1,20,0
Shkodran Mustafi,"Apr 17, 1992 (29)",Defender - Centre-Back,€2.50m,"Sep 2, 2021","Jul 1, 2021",12,1,0,20,0
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,"Jun 30, 2025","Aug 8, 2019",25,1,3,5,0
***Joel López,"Mar 31, 2002 (19)",Defender - Left-Back,N/A,N/A,N/A
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,"Sep 1, 2022","Jul 1, 2014",32,0,5,5,1
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,"Aug 7, 2023","Jul 1, 2017",23,0,1,5,0
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,"Jun 30, 2024","Jul 1, 2020",26,1,3,5,0
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Oct 5, 2020",26,2,1,5,0
