Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,"Jun 30, 2029","Sep 16, 2020",37,0,0,14,0
Lovre Kalinic,"Apr 3, 1990 (31)",Goalkeeper,€2.50m,"Jun 30, 2022","Jan 1, 2019",35,0,0,14,1
Tom Heaton,"Apr 15, 1986 (35)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 2, 2021",2,0,0,6,0
Jed Steer,"Sep 23, 1992 (28)",Goalkeeper,€800k,"Jun 30, 2023","Jul 1, 2013",8,0,0,14,0
Tyrone Mings,"Mar 13, 1993 (28)",Defender - Centre-Back,€30.00m,"Jun 30, 2026","Jul 8, 2019",37,1,3,14,0
Ezri Konsa,"Oct 23, 1997 (23)",Defender - Centre-Back,€25.00m,"Jun 30, 2028","Jul 11, 2019",31,2,0,14,0
Kortney Hause,"Jul 16, 1995 (25)",Defender - Centre-Back,€5.00m,"Jan 31, 2022","Aug 17, 2021",13,0,0,20,1
Björn Engels,"Sep 15, 1994 (26)",Defender - Centre-Back,€3.00m,"Jun 30, 2026","Jul 1, 2021",20,2,0,20,0
Matt Targett,"Sep 18, 1995 (25)",Defender - Left-Back,€17.00m,"Jun 30, 2025","Jul 1, 2019",35,1,1,14,1
Neil Taylor,"Feb 7, 1989 (32)",Defender - Left-Back,€1.50m,"Jun 30, 2022","Nov 18, 2021",17,0,0,20,0
Matty Cash,"Aug 7, 1997 (23)",Defender - Right-Back,€22.00m,"Jun 30, 2027","Sep 3, 2020",40,4,4,14,0
Frédéric Guilbert,"Dec 24, 1994 (26)",Defender - Right-Back,€6.00m,"Jan 17, 2023","Jan 31, 2019",36,1,5,14,1
Marvelous Nakamba,"Jan 19, 1994 (27)",Midfield - Defensive Midfield,€7.00m,"Jun 30, 2024","Aug 1, 2019",19,0,0,14,0
Douglas Luiz,"May 9, 1998 (23)",Midfield - Central Midfield,€35.00m,"Jun 30, 2026","Jul 25, 2019",35,2,3,14,0
John McGinn,"Oct 18, 1994 (26)",Midfield - Central Midfield,€30.00m,"Jun 30, 2027","Aug 8, 2018",36,3,4,14,0
Ross Barkley,"Dec 5, 1993 (27)",Midfield - Central Midfield,€20.00m,"Aug 29, 2022","Jan 5, 2018",14,1,0,3,1
Morgan Sanson,"Aug 18, 1994 (26)",Midfield - Central Midfield,€16.00m,"Jun 30, 2024","Jan 26, 2021",12,0,1,14,0
Conor Hourihane,"Feb 2, 1991 (30)",Midfield - Central Midfield,€3.50m,"Jun 30, 2022","Jan 26, 2017",31,1,4,14,1
Henri Lansbury,"Oct 12, 1990 (30)",Midfield - Central Midfield,€1.00m,"Aug 17, 2023","Jul 1, 2021",37,0,1,20,0
Carney Chukwuemeka,"Oct 20, 2003 (17)",Midfield - Central Midfield,€1.00m,"Jun 30, 2023","Jul 1, 2021",22,2,3,14,1
Jacob Ramsey,"May 28, 2001 (20)",Midfield - Left Midfield,€32.00m,"Jun 30, 2027","Jul 1, 2020",35,6,1,14,0
Jack Grealish,"Sep 10, 1995 (25)",Attack - Left Winger,€65.00m,"Jun 30, 2027","Aug 5, 2021",39,6,4,1,0
Mahmoud Trezeguet,"Oct 1, 1994 (26)",Attack - Left Winger,€10.00m,"Jun 30, 2023","Jul 24, 2019",15,7,4,14,1
Jaden Philogene,"Feb 8, 2002 (19)",Attack - Left Winger,€500k,"Sep 1, 2023","Jul 1, 2021",21,9,2,14,0
Bertrand Traoré,"Sep 6, 1995 (25)",Attack - Right Winger,€20.00m,"Feb 1, 2024","Sep 19, 2020",10,0,0,14,0
Anwar El Ghazi,"May 3, 1995 (26)",Attack - Right Winger,€13.00m,"Jun 30, 2023","Jul 1, 2019",14,3,3,14,0
Ollie Watkins,"Dec 30, 1995 (25)",Attack - Centre-Forward,€32.00m,"Jun 30, 2028","Sep 9, 2020",36,11,2,14,0
Wesley Moraes,"Nov 24, 1996 (24)",Attack - Centre-Forward,€13.00m,"Jul 28, 2023","Jul 1, 2019",28,2,0,14,0
Ally Samatta,"Dec 23, 1992 (28)",Attack - Centre-Forward,€4.20m,"Jun 30, 2023","Jul 1, 2021",42,9,5,20,0
Keinan Davis,"Feb 13, 1998 (23)",Attack - Centre-Forward,€3.00m,"Jun 30, 2024","Jul 1, 2017",26,8,4,14,0
