Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Jamal Blackman,"Oct 27, 1993 (27)",Goalkeeper,€600k,"Jun 30, 2021","Jul 1, 2014",36,0,0,4,1
Willy Caballero,"Sep 28, 1981 (39)",Goalkeeper,€250k,"Jun 30, 2021","Jul 1, 2017",2,0,0,4,1
Kurt Zouma,"Oct 27, 1994 (26)",Defender - Centre-Back,€32.00m,"Aug 28, 2021","Jan 31, 2014",36,5,0,4,1
Fikayo Tomori,"Dec 19, 1997 (23)",Defender - Centre-Back,€28.00m,"Jun 30, 2024","Jul 1, 2017",26,1,0,4,1
Izzy Brown,"Jan 7, 1997 (24)",Attack - Left Winger,€1.60m,"Jun 30, 2021","Jul 1, 2018",21,0,1,4,1
Tammy Abraham,"Oct 2, 1997 (23)",Attack - Centre-Forward,€38.00m,"Jun 30, 2023","Jul 1, 2017",32,12,5,4,1
Olivier Giroud,"Sep 30, 1986 (34)",Attack - Centre-Forward,€4.00m,"Jun 30, 2022","Jan 31, 2018",31,11,0,4,1
Jamal Blackman,"Oct 27, 1993 (27)",Goalkeeper,€600k,"Jan 31, 2022","Sep 13, 2021",3,0,0,20,1
Andreas Christensen,"Apr 10, 1996 (25)",Defender - Centre-Back,€30.00m,"Jun 30, 2022","Jul 1, 2015",34,2,1,3,1
Antonio Rüdiger,"Mar 3, 1993 (28)",Defender - Centre-Back,€28.00m,"Jun 30, 2022","Jul 9, 2017",54,5,1,3,1
Jake Clarke-Salter,"Sep 22, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2022","Jul 1, 2018",31,0,0,3,1
Marcos Alonso,"Dec 28, 1990 (30)",Defender - Left-Back,€12.00m,"Sep 1, 2022","Aug 31, 2016",46,5,6,3,1
Emerson,"Aug 3, 1994 (26)",Defender - Left-Back,€12.00m,"Aug 23, 2022","Jan 30, 2018",37,1,2,3,1
Jorginho,"Dec 20, 1991 (29)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2023","Jul 14, 2018",47,9,4,3,1
Billy Gilmour,"Jun 11, 2001 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2024","Feb 11, 2020",28,2,0,3,1
Ross Barkley,"Dec 5, 1993 (27)",Midfield - Central Midfield,€20.00m,"Aug 29, 2022","Jan 5, 2018",14,1,0,3,1
Timo Werner,"Mar 6, 1996 (25)",Attack - Left Winger,€65.00m,"Jun 30, 2025","Jul 1, 2020",37,11,6,3,1
Charly Musonda Jr.,"Oct 15, 1996 (24)",Attack - Left Winger,€1.00m,"Aug 16, 2022","Jul 1, 2017",2,0,0,3,1
