Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Wayne Hennessey,"Jan 24, 1987 (34)",Goalkeeper,€1.00m,"Jun 30, 2021","Jan 31, 2014",3,0,0,14,1
Stephen Henderson,"May 2, 1988 (33)",Goalkeeper,€300k,"Jun 30, 2021","Jul 6, 2019",2,0,0,14,1
Mamadou Sakho,"Feb 13, 1990 (31)",Defender - Centre-Back,€6.00m,"Jun 30, 2021","Aug 31, 2017",7,0,0,14,1
Scott Dann,"Feb 14, 1987 (34)",Defender - Centre-Back,€1.50m,"Aug 30, 2021","Jan 31, 2014",16,1,0,14,1
Gary Cahill,"Dec 19, 1985 (35)",Defender - Centre-Back,€1.50m,"Aug 20, 2021","Aug 5, 2019",21,1,1,14,1
Sam Woods,"Sep 11, 1998 (22)",Defender - Centre-Back,€200k,"Jun 30, 2021","Jul 1, 2019",22,1,1,14,1
Ryan Inniss,"Jun 5, 1995 (26)",Defender - Centre-Back,€150k,"Oct 13, 2020","Jul 1, 2013",17,0,1,20,1
Patrick van Aanholt,"Aug 29, 1990 (30)",Defender - Left-Back,€7.00m,"Jun 30, 2021","Jan 30, 2017",23,0,1,14,1
Max Meyer,"Sep 18, 1995 (25)",Midfield - Attacking Midfield,€1.50m,"Sep 2, 2021","Jan 27, 2021",14,0,1,16,1
Andros Townsend,"Jul 16, 1991 (29)",Attack - Right Winger,€7.00m,"Jun 30, 2021","Jul 1, 2016",36,1,5,14,1
Jean-Philippe Mateta,"Jun 28, 1997 (24)",Attack - Centre-Forward,€13.00m,"Jun 30, 2023","Jul 1, 2018",25,13,1,12,1
Connor Wickham,"Mar 31, 1993 (28)",Attack - Centre-Forward,€1.00m,"Jun 30, 2021","Aug 3, 2015",2,2,0,14,1
Wayne Hennessey,"Jan 24, 1987 (34)",Goalkeeper,€1.00m,"Jun 30, 2022","Jul 20, 2021",3,0,0,18,1
Jaroslaw Jach,"Feb 17, 1994 (27)",Defender - Centre-Back,€650k,"Jun 30, 2022","Jan 23, 2018",4,0,0,12,1
Martin Kelly,"Apr 27, 1990 (31)",Defender - Right-Back,€1.50m,"Sep 1, 2022","Aug 14, 2014",4,0,0,12,1
Cheikhou Kouyaté,"Dec 21, 1989 (31)",Midfield - Defensive Midfield,€6.00m,"Aug 13, 2022","Aug 2, 2018",31,1,1,12,1
