Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Jack Butland,"Mar 10, 1993 (28)",Goalkeeper,€2.00m,"May 31, 2027","Jul 1, 2023",58,0,0,20,0
Vicente Guaita,"Jan 10, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2025","Sep 1, 2023",27,0,0,13,0
Wayne Hennessey,"Jan 24, 1987 (34)",Goalkeeper,€1.00m,"Jun 30, 2024","Jul 15, 2022",0,0,0,17,1
Mamadou Sakho,"Feb 13, 1990 (31)",Defender - Centre-Back,€6.00m,"Nov 2, 2023","Jul 17, 2021",12,0,0,12,1
Nathan Ferguson,"Oct 6, 2000 (20)",Defender - Centre-Back,€4.00m,"Jun 30, 2024","Jul 27, 2020",3,0,1,10,0
James Tomkins,"Mar 29, 1989 (32)",Defender - Centre-Back,€2.50m,"Jun 30, 2024","Jul 5, 2016",5,0,0,10,1
Jaroslaw Jach,"Feb 17, 1994 (27)",Defender - Centre-Back,€650k,"Jun 30, 2025","Jul 1, 2022",29,2,1,20,0
Sam Woods,"Sep 11, 1998 (22)",Defender - Centre-Back,€200k,"Sep 16, 2024","Jul 1, 2023",23,3,1,20,1
Ryan Inniss,"Jun 5, 1995 (26)",Defender - Centre-Back,€150k,"Jun 30, 2025","Jul 1, 2023",38,0,3,20,0
Patrick van Aanholt,"Aug 29, 1990 (30)",Defender - Left-Back,€7.00m,"Jun 30, 2024","Jul 18, 2021",31,1,1,20,1
Tyrick Mitchell,"Sep 1, 1999 (21)",Defender - Left-Back,€7.00m,"Jun 30, 2025","Jul 1, 2020",41,2,3,10,0
Nathaniel Clyne,"Apr 5, 1991 (30)",Defender - Right-Back,€3.00m,"Jun 30, 2025","Oct 14, 2020",23,0,0,10,0
Joel Ward,"Oct 29, 1989 (31)",Defender - Right-Back,€2.50m,"Jun 30, 2025","Jul 1, 2012",26,0,1,10,0
Martin Kelly,"Apr 27, 1990 (31)",Defender - Right-Back,€1.50m,"Jun 30, 2024","Sep 1, 2022",0,0,0,20,0
Luka Milivojevic,"Apr 7, 1991 (30)",Midfield - Defensive Midfield,€8.00m,"Jun 30, 2025","Aug 8, 2023",25,2,3,20,0
Jaïro Riedewald,"Sep 9, 1996 (24)",Midfield - Defensive Midfield,€8.00m,"Aug 13, 2024","Jul 24, 2017",12,0,0,12,1
Cheikhou Kouyaté,"Dec 21, 1989 (31)",Midfield - Defensive Midfield,€6.00m,"Jun 30, 2024","Aug 13, 2022",14,0,0,17,0
James McCarthy,"Nov 12, 1990 (30)",Midfield - Central Midfield,€3.00m,"May 31, 2025","Aug 3, 2021",2,0,0,20,0
Jeffrey Schlupp,"Dec 23, 1992 (28)",Midfield - Left Midfield,€9.00m,"Jun 30, 2025","Jan 13, 2017",33,2,3,10,0
Eberechi Eze,"Jun 29, 1998 (23)",Midfield - Attacking Midfield,€20.00m,"Jun 30, 2027","Aug 28, 2020",31,11,6,10,0
Max Meyer,"Sep 18, 1995 (25)",Midfield - Attacking Midfield,€1.50m,"Jun 30, 2024","Aug 24, 2022",43,8,3,20,1
Wilfried Zaha,"Nov 10, 1992 (28)",Attack - Left Winger,€45.00m,"Jan 17, 2026","Jul 24, 2023",42,10,5,20,0
Jordan Ayew,"Sep 11, 1991 (29)",Attack - Right Winger,€8.00m,"Jun 30, 2025","Jun 25, 2019",37,4,8,10,1
Andros Townsend,"Jul 16, 1991 (29)",Attack - Right Winger,€7.00m,"Aug 13, 2024","Oct 11, 2023",15,1,3,18,1
Jean-Philippe Mateta,"Jun 28, 1997 (24)",Attack - Centre-Forward,€13.00m,"Jun 30, 2026","Jan 31, 2022",39,19,5,10,0
Michy Batshuayi,"Oct 2, 1993 (27)",Attack - Centre-Forward,€10.00m,"Jun 30, 2027","Sep 2, 2022",43,24,3,20,1
Christian Benteke,"Dec 3, 1990 (30)",Attack - Centre-Forward,€9.00m,"Dec 31, 2025","Aug 4, 2022",33,25,5,20,0
Connor Wickham,"Mar 31, 1993 (28)",Attack - Centre-Forward,€1.00m,"Jun 30, 2024","Mar 8, 2024",4,1,1,20,0
