Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alisson,"Oct 2, 1992 (28)",Goalkeeper,€60.00m,"Jun 30, 2027","Jun 19, 2018",42,1,0,3,0
Caoimhín Kelleher,"Nov 23, 1998 (22)",Goalkeeper,€2.50m,"Jun 30, 2026","Jul 1, 2019",11,0,0,3,0
Adrián,"Jan 3, 1987 (34)",Goalkeeper,€1.00m,"Jul 8, 2024","Aug 5, 2019",6,0,0,3,0
Virgil van Dijk,"Jul 8, 1991 (29)",Defender - Centre-Back,€55.00m,"Jun 30, 2025","Jan 1, 2018",8,1,0,3,0
Joe Gomez,"May 23, 1997 (24)",Defender - Centre-Back,€30.00m,"Jun 30, 2027","Jul 1, 2015",12,0,1,3,0
Joel Matip,"Aug 8, 1991 (29)",Defender - Centre-Back,€18.00m,"Jul 1, 2024","Jul 1, 2016",12,1,2,3,0
Nat Phillips,"Mar 21, 1997 (24)",Defender - Centre-Back,€8.00m,"May 31, 2025","Jul 1, 2019",20,1,1,3,0
Rhys Williams,"Feb 3, 2001 (20)",Defender - Centre-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",22,1,0,3,0
Ben Davies,"Aug 11, 1995 (25)",Defender - Centre-Back,€3.00m,"Jun 30, 2025","Feb 1, 2021",19,0,1,3,0
Sepp van den Berg,"Dec 20, 2001 (19)",Defender - Centre-Back,€2.50m,"Jun 30, 2026","Jul 1, 2019",27,1,0,3,0
Andrew Robertson,"Mar 11, 1994 (27)",Defender - Left-Back,€65.00m,"Jun 30, 2026","Jul 21, 2017",50,1,7,3,0
Konstantinos Tsimikas,"May 12, 1996 (25)",Defender - Left-Back,€8.00m,"Jun 30, 2027","Aug 10, 2020",7,0,0,3,0
Trent Alexander-Arnold,"Oct 7, 1998 (22)",Defender - Right-Back,€75.00m,"Jun 30, 2025","Jul 1, 2016",45,2,9,3,0
Neco Williams,"Apr 13, 2001 (20)",Defender - Right-Back,€8.00m,"Jun 30, 2025","Jan 1, 2020",14,0,1,3,0
Fabinho,"Oct 23, 1993 (27)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2026","Jul 1, 2018",42,0,0,3,0
Marko Grujić,"Apr 13, 1996 (25)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2023","Jan 6, 2016",41,3,0,3,0
Naby Keïta,"Feb 10, 1995 (26)",Midfield - Central Midfield,€32.00m,"Jul 1, 2023","Jul 1, 2018",16,0,0,3,0
Georginio Wijnaldum,"Nov 11, 1990 (30)",Midfield - Central Midfield,€30.00m,"Jul 1, 2021","Jul 22, 2016",51,3,0,3,1
Thiago Alcántara,"Apr 11, 1991 (30)",Midfield - Central Midfield,€30.00m,"Jul 8, 2024","Sep 18, 2020",30,1,0,3,0
Curtis Jones,"Jan 30, 2001 (20)",Midfield - Central Midfield,€30.00m,"Jun 30, 2027","Jul 1, 2020",34,4,5,3,0
Jordan Henderson,"Jun 17, 1990 (31)",Midfield - Central Midfield,€20.00m,"Jun 30, 2025","Jul 1, 2011",28,1,1,3,0
Alex Oxlade-Chamberlain,"Aug 15, 1993 (27)",Midfield - Central Midfield,€18.00m,"Aug 12, 2023","Aug 31, 2017",17,1,1,3,0
James Milner,"Jan 4, 1986 (35)",Midfield - Central Midfield,€3.00m,"Jun 30, 2023","Jul 1, 2015",36,0,1,3,0
Xherdan Shaqiri,"Oct 10, 1991 (29)",Midfield - Attacking Midfield,€12.00m,"Jun 30, 2023","Jul 13, 2018",22,1,4,3,1
Ben Woodburn,"Oct 15, 1999 (21)",Midfield - Attacking Midfield,€2.00m,"Jun 30, 2022","Jan 1, 2017",26,5,0,3,0
Sadio Mané,"Apr 10, 1992 (29)",Attack - Left Winger,€85.00m,"Jun 30, 2023","Jul 1, 2016",48,16,8,3,0
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,"Jun 30, 2024","Jan 1, 2020",27,6,2,3,0
Mohamed Salah,"Jun 15, 1992 (29)",Attack - Right Winger,"€100.00""m","Jun 30, 2025","Jul 1, 2017",51,31,6,3,0
Harry Wilson,"Mar 22, 1997 (24)",Attack - Right Winger,€17.00m,"Jun 30, 2023","Jul 1, 2018",39,7,12,3,1
Sheyi Ojo,"Jun 19, 1997 (24)",Attack - Right Winger,€3.00m,"Jul 13, 2022","Jul 7, 2015",42,5,7,3,0
Roberto Firmino,"Oct 2, 1991 (29)",Attack - Centre-Forward,€50.00m,"Jun 30, 2023","Jul 1, 2015",48,9,9,3,0
Diogo Jota,"Dec 4, 1996 (24)",Attack - Centre-Forward,€45.00m,"Jun 30, 2027","Sep 19, 2020",30,13,1,3,0
Rhian Brewster,"Apr 1, 2000 (21)",Attack - Centre-Forward,€12.00m,"Jun 30, 2025","Oct 2, 2020",31,0,0,20,0
Divock Origi,"Apr 18, 1995 (26)",Attack - Centre-Forward,€12.00m,"Jun 30, 2022","Jul 29, 2014",17,1,2,3,0
Alisson,"Oct 2, 1992 (28)",Goalkeeper,€60.00m,"Jun 30, 2027","Jun 19, 2018",54,0,0,2,0
Caoimhín Kelleher,"Nov 23, 1998 (22)",Goalkeeper,€2.50m,"Jun 30, 2026","Jul 1, 2019",8,0,0,2,0
Adrián,"Jan 3, 1987 (34)",Goalkeeper,€1.00m,"Jul 8, 2024","Aug 5, 2019",1,0,0,2,0
Virgil van Dijk,"Jul 8, 1991 (29)",Defender - Centre-Back,€55.00m,"Jun 30, 2025","Jan 1, 2018",51,3,3,2,0
Joe Gomez,"May 23, 1997 (24)",Defender - Centre-Back,€30.00m,"Jun 30, 2027","Jul 1, 2015",21,0,1,2,0
Joel Matip,"Aug 8, 1991 (29)",Defender - Centre-Back,€18.00m,"Jul 1, 2024","Jul 1, 2016",43,3,3,2,0
Nat Phillips,"Mar 21, 1997 (24)",Defender - Centre-Back,€8.00m,"May 31, 2025","Jul 1, 2019",22,0,0,2,0
Rhys Williams,"Feb 3, 2001 (20)",Defender - Centre-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",17,2,1,2,0
Ben Davies,"Aug 11, 1995 (25)",Defender - Centre-Back,€3.00m,"Jun 30, 2025","Feb 1, 2021",22,1,0,2,1
Sepp van den Berg,"Dec 20, 2001 (19)",Defender - Centre-Back,€2.50m,"Jun 30, 2026","Jul 1, 2019",50,2,1,2,0
Andrew Robertson,"Mar 11, 1994 (27)",Defender - Left-Back,€65.00m,"Jun 30, 2026","Jul 21, 2017",47,3,15,2,0
Konstantinos Tsimikas,"May 12, 1996 (25)",Defender - Left-Back,€8.00m,"Jun 30, 2027","Aug 10, 2020",26,0,6,2,0
Trent Alexander-Arnold,"Oct 7, 1998 (22)",Defender - Right-Back,€75.00m,"Jun 30, 2025","Jul 1, 2016",47,2,18,2,0
Neco Williams,"Apr 13, 2001 (20)",Defender - Right-Back,€8.00m,"Jun 30, 2025","Jan 1, 2020",23,2,5,2,1
Fabinho,"Oct 23, 1993 (27)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2026","Jul 1, 2018",48,8,1,2,0
Marko Grujić,"Apr 13, 1996 (25)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2023","Jan 6, 2016",36,1,2,2,1
Naby Keïta,"Feb 10, 1995 (26)",Midfield - Central Midfield,€32.00m,"Jul 1, 2023","Jul 1, 2018",40,4,3,2,0
Georginio Wijnaldum,"Nov 11, 1990 (30)",Midfield - Central Midfield,€30.00m,"Sep 2, 2023","Jul 1, 2021",38,3,3,1,0
Thiago Alcántara,"Apr 11, 1991 (30)",Midfield - Central Midfield,€30.00m,"Jul 8, 2024","Sep 18, 2020",39,2,5,2,0
Curtis Jones,"Jan 30, 2001 (20)",Midfield - Central Midfield,€30.00m,"Jun 30, 2027","Jul 1, 2020",27,1,3,2,0
Jordan Henderson,"Jun 17, 1990 (31)",Midfield - Central Midfield,€20.00m,"Jun 30, 2025","Jul 1, 2011",57,3,7,2,0
Alex Oxlade-Chamberlain,"Aug 15, 1993 (27)",Midfield - Central Midfield,€18.00m,"Aug 12, 2023","Aug 31, 2017",29,3,2,2,0
