Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alex McCarthy,"Dec 3, 1989 (31)",Goalkeeper,€5.00m,"Jun 30, 2026","Aug 1, 2016",31,0,0,15,0
Angus Gunn,"Jan 22, 1996 (25)",Goalkeeper,€3.00m,"Jun 30, 2023","Jul 10, 2018",17,0,0,15,1
Fraser Forster,"Mar 17, 1988 (33)",Goalkeeper,€3.00m,"Jun 30, 2022","Aug 9, 2014",13,0,0,15,0
Jan Bednarek,"Apr 12, 1996 (25)",Defender - Centre-Back,€25.00m,"Jun 30, 2027","Jul 1, 2017",42,1,1,15,0
Jannik Vestergaard,"Aug 3, 1992 (28)",Defender - Centre-Back,€18.00m,"Jun 30, 2022","Jul 13, 2018",32,3,0,15,1
Mohammed Salisu,"Apr 17, 1999 (22)",Defender - Centre-Back,€10.00m,"Jun 30, 2024","Aug 12, 2020",15,0,0,15,0
Jack Stephens,"Jan 27, 1994 (27)",Defender - Centre-Back,€5.00m,"Jun 30, 2025","Jul 1, 2013",22,0,0,15,0
Kyle Walker-Peters,"Apr 13, 1997 (24)",Defender - Right-Back,€18.00m,"Jun 30, 2025","Aug 11, 2020",35,0,2,15,0
Ibrahima Diallo,"Mar 8, 1999 (22)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2024","Oct 4, 2020",32,0,0,15,0
Mario Lemina,"Sep 1, 1993 (27)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2022","Aug 8, 2017",30,1,1,15,1
Oriol Romeu,"Sep 24, 1991 (29)",Midfield - Defensive Midfield,€6.00m,"Jun 30, 2023","Aug 12, 2015",23,1,1,15,0
James Ward-Prowse,"Nov 1, 1994 (26)",Midfield - Central Midfield,€30.00m,"Jun 30, 2026","Jul 1, 2012",44,9,7,15,0
Will Smallbone,"Feb 21, 2000 (21)",Midfield - Central Midfield,€2.00m,"Jun 30, 2026","Jan 1, 2020",5,0,0,15,0
Nathan Tella,"Jul 5, 1999 (21)",Midfield - Right Midfield,€2.00m,"Jun 30, 2025","Jul 1, 2020",27,5,4,15,0
Moussa Djenepo,"Jun 15, 1998 (23)",Attack - Left Winger,€13.00m,"Jun 30, 2025","Jul 1, 2019",31,2,0,15,0
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,"Jun 30, 2024","Jan 1, 2020",27,6,2,3,0
Nathan Redmond,"Mar 6, 1994 (27)",Attack - Right Winger,€18.00m,"Jun 30, 2022","Jul 1, 2016",33,4,4,15,0
Mohamed Elyounoussi,"Aug 4, 1994 (26)",Attack - Right Winger,€12.00m,"Jun 30, 2023","Jul 1, 2018",45,17,8,15,0
Danny Ings,"Jul 23, 1992 (28)",Attack - Centre-Forward,€22.00m,"Jun 30, 2022","Jul 1, 2019",33,13,4,15,1
Ché Adams,"Jul 13, 1996 (24)",Attack - Centre-Forward,€20.00m,"Jun 30, 2024","Jul 1, 2019",42,9,5,15,0
Dan Nlundulu,"Feb 5, 1999 (22)",Attack - Centre-Forward,€1.50m,N/A,N/A
Shane Long,"Jan 22, 1987 (34)",Attack - Centre-Forward,€1.20m,N/A,N/A
