Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,"Jun 30, 2021","Aug 23, 2017",8.0,0.0,0.0,7.0,'1'
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2022","Aug 18, 2020",10.0,0.0,0.0,7.0,'1'
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,"Jun 30, 2023","Jul 8, 2015",35.0,1.0,0.0,7.0,'1'
Danny Rose,"Jul 2, 1990 (30)",Defender - Left-Back,€3.00m,"Jun 30, 2021","Jun 25, 2007",2.0,0.0,1.0,7.0,'1'
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Aug 31, 2021","Aug 31, 2017",27.0,2.0,3.0,7.0,'1'
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2023","Aug 31, 2016",42.0,1.0,1.0,7.0,'1'
Dele Alli,"Apr 11, 1996 (25)",Midfield - Attacking Midfield,€30.00m,"Jan 31, 2022","Feb 2, 2015",29.0,3.0,5.0,7.0,'1'
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,"Jun 30, 2021","Aug 30, 2013",34.0,4.0,1.0,7.0,'1'
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,"Jun 30, 2024","Jul 27, 2021",29.0,1.0,2.0,20.0,'1'
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"Jun 30, 2023","Jul 1, 2016",46.0,4.0,1.0,4.0,'1'
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Jun 30, 2022","Oct 4, 2021",24.0,0.0,2.0,7.0,'1'
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jan 31, 2023","Aug 30, 2020",26.0,2.0,4.0,4.0,'1'
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,"Jun 30, 2025","Jan 19, 2020",32.0,4.0,2.0,4.0,'1'
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,"Jun 30, 2023","Jul 2, 2019",39.0,5.0,9.0,4.0,'1'
Gareth Bale,"Jul 16, 1989 (31)",Attack - Right Winger,€18.00m,"Jun 30, 2022","Sep 1, 2013",21.0,4.0,0.0,1.0,'1'
HHugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Jan 31, 2024","Aug 31, 2012",31.0,0.0,0.0,8.0,'1'
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,"Jun 30, 2023","Jul 24, 2021",28.0,0.0,0.0,10.0,'1'
Davinson Sánchez,"Jun 12, 1996 (25)",Defender - Centre-Back,€32.00m,"Jun 30, 2024","Aug 23, 2017",24.0,0.0,0.0,8.0,'1'
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Jun 30, 2024","Sep 7, 2022",28.0,1.0,0.0,16.0,'1'
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jun 30, 2023","Jan 31, 2023",18.0,1.0,0.0,3.0,'1'
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,"Jun 30, 2024","Jul 1, 2016",20.0,0.0,0.0,8.0,'1'
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,"Aug 2, 2023","Jan 31, 2018",42.0,7.0,0.0,8.0,'1'
Harry Kane,"Jul 28, 1993 (27)",Attack - Centre-Forward,€120.00m,"Jun 30, 2024","Jul 1, 2010",49.0,32.0,5.0,8.0,'1'
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",24.0,0.0,0.0,5.0,'1'
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",18.0,2.0,0.0,5.0,'1'
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,"Jun 30, 2024","Aug 8, 2019",2.0,0.0,0.0,5.0,'1'
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,"Jun 30, 2024","Feb 2, 2024",17.0,0.0,2.0,20.0,'1'
Oliver Skipp,"Sep 16, 2000 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2027","Jul 1, 2018",24.0,0.0,0.0,5.0,'1'
Tanguy Ndombélé,"Dec 28, 1996 (24)",Midfield - Central Midfield,€50.00m,"Jun 30, 2024","Jul 2, 2019",26.0,0.0,1.0,5.0,'1'
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,"Jun 30, 2025","Jul 1, 2020",24.0,2.0,2.0,5.0,'1'
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2024","Aug 27, 2021",28.0,0.0,1.0,20.0,'1'
Dele Alli,"Apr 11, 1996 (25)",Midfield - Attacking Midfield,€30.00m,"Jun 30, 2024","Jan 31, 2022",0.0,0.0,0.0,15.0,'1'
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,"Jun 30, 2027","Jul 8, 2022",31.0,13.0,5.0,20.0,'1'
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,"Jun 30, 2026","Jul 9, 2022",42.0,15.0,4.0,20.0,'1'
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,"Jun 30, 2024","Jul 26, 2021",19.0,2.0,1.0,14.0,'1'
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,"Jun 30, 2024","Jul 15, 2022",53.0,4.0,4.0,20.0,'0'
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Jan 31, 2024","Aug 31, 2012",48.0,0.0,0.0,7.0,'0'
Brandon Austin,"Jan 8, 1999 (22)",Goalkeeper,€250k,"Jun 30, 2029","Aug 1, 2021",0.0,0.0,0.0,4.0,'0'
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Jan 31, 2024","Aug 31, 2012",43.0,0.0,0.0,4.0,'0'
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,"Jun 30, 2024","Jul 1, 2016",30.0,2.0,2.0,7.0,'0'
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,"Jun 30, 2024","Jul 26, 2021",49.0,9.0,3.0,12.0,'0'
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jan 31, 2023","Aug 30, 2020",29.0,0.0,4.0,7.0,'0'
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,"Jun 30, 2023","Jul 2, 2019",25.0,2.0,3.0,7.0,'0'
Ben Davies,"Apr 24, 1993 (28)",Defender - Centre-Back,€16.00m,"Jun 30, 2025","Jul 23, 2014",38.0,1.0,3.0,7.0,'0'
Carlos Vinícius,"Mar 25, 1995 (26)",Attack - Centre-Forward,€18.00m,"Jun 30, 2025","Sep 1, 2022",34.0,5.0,3.0,10.0,'0'
Harry Kane,"Jul 28, 1993 (27)",Attack - Centre-Forward,€120.00m,"Jun 30, 2027","Aug 12, 2023",45.0,44.0,12.0,3.0,'0'
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,"Jun 30, 2026","Jul 9, 2022",50.0,11.0,14.0,20.0,'0'
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",7.0,0.0,1.0,8.0,'0'
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,"Jun 30, 2026","Jul 20, 2023",37.0,3.0,1.0,14.0,'0'
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,"Dec 31, 2026","Aug 2, 2023",47.0,14.0,10.0,20.0,'0'
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,"Jun 30, 2027","Jul 8, 2022",45.0,16.0,5.0,20.0,'0'
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,"Jun 30, 2024","Aug 8, 2019",22.0,0.0,2.0,4.0,'0'
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,"Jun 30, 2025","Sep 19, 2020",28.0,0.0,4.0,5.0,'0'
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,"Jun 30, 2025","Sep 19, 2020",12.0,0.0,0.0,8.0,'0'
Brandon Austin,"Jan 8, 1999 (22)",Goalkeeper,€250k,"Jun 30, 2029","Aug 1, 2021",0.0,0.0,0.0,5.0,'0'
Pierre-Emile Højbjerg,"Aug 5, 1995 (25)",Midfield - Defensive Midfield,€35.00m,"Jun 30, 2025","Aug 11, 2020",53.0,2.0,5.0,7.0,'0'
Joe Rodon,"Oct 22, 1997 (23)",Defender - Centre-Back,€10.00m,"Jun 30, 2025","Oct 16, 2020",10.0,0.0,0.0,4.0,'0'
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,"Jun 30, 2024","Aug 27, 2021",38.0,2.0,1.0,19.0,'0'
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",40.0,0.0,0.0,4.0,'0'
