Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Lukasz Fabianski,"Apr 18, 1985 (36)",Goalkeeper,€1.50m,"Jun 30, 2025","Jul 1, 2018",38,0,0,7,0
Darren Randolph,"May 12, 1987 (34)",Goalkeeper,€1.50m,"Jan 26, 2023","Jan 15, 2020",0,0,0,7,1
Issa Diop,"Jan 9, 1997 (24)",Defender - Centre-Back,€18.00m,"Jun 30, 2023","Jul 1, 2018",26,1,2,7,1
Fabián Balbuena,"Aug 23, 1991 (29)",Defender - Centre-Back,€5.00m,"Jun 30, 2022","Jul 9, 2021",53,6,1,20,0
Craig Dawson,"May 6, 1990 (31)",Defender - Centre-Back,€3.00m,"Jun 30, 2023","Jul 1, 2021",50,4,2,7,1
Angelo Ogbonna,"May 23, 1988 (33)",Defender - Centre-Back,€2.50m,"Jun 30, 2024","Jul 10, 2015",11,1,0,7,0
Arthur Masuaku,"Nov 7, 1993 (27)",Defender - Left-Back,€7.00m,"Jun 30, 2024","Aug 8, 2016",24,1,1,7,0
Aaron Cresswell,"Dec 15, 1989 (31)",Defender - Left-Back,€5.00m,"Jun 30, 2025","Jul 3, 2014",42,2,7,7,0
Vladimír Coufal,"Aug 22, 1992 (28)",Defender - Right-Back,€12.00m,"Jun 30, 2025","Oct 2, 2020",34,0,5,7,0
Ben Johnson,"Jan 24, 2000 (21)",Defender - Right-Back,€3.00m,"Jun 30, 2024","Jul 1, 2020",35,1,0,7,0
Ryan Fredericks,"Oct 10, 1992 (28)",Defender - Right-Back,€2.50m,"Jun 30, 2022","Jul 1, 2018",15,0,0,7,1
Tomas Soucek,"Feb 27, 1995 (26)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2027","Jul 27, 2020",51,6,1,7,0
Conor Coventry,"Mar 25, 2000 (21)",Midfield - Defensive Midfield,€1.20m,"Jun 30, 2024","Jan 1, 2021",37,3,1,7,0
Declan Rice,"Jan 14, 1999 (22)",Midfield - Central Midfield,€110.00m,"Jun 30, 2024","Jul 1, 2017",50,5,4,7,0
Pablo Fornals,"Feb 22, 1996 (25)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2024","Jul 1, 2019",54,6,7,7,0
Manuel Lanzini,"Feb 15, 1993 (28)",Midfield - Attacking Midfield,€10.00m,"Jun 30, 2023","Jul 1, 2016",46,7,4,7,0
Saïd Benrahma,"Aug 10, 1995 (25)",Attack - Left Winger,€22.00m,"Jun 30, 2026","Jan 29, 2021",48,11,6,7,0
Felipe Anderson,"Apr 15, 1993 (28)",Attack - Left Winger,€10.00m,"Jun 30, 2024","Jul 16, 2021",48,7,8,5,0
Xande Silva,"Mar 16, 1997 (24)",Attack - Left Winger,€800k,"Jun 30, 2022","Aug 31, 2021",11,0,1,20,1
Jarrod Bowen,"Dec 20, 1996 (24)",Attack - Right Winger,€30.00m,"Jun 30, 2030","Jan 31, 2020",51,18,13,7,0
Andriy Yarmolenko,"Oct 23, 1989 (31)",Attack - Right Winger,€4.00m,"Jun 30, 2022","Jul 11, 2018",34,4,4,7,1
Michail Antonio,"Mar 28, 1990 (31)",Attack - Centre-Forward,€12.00m,"Jun 30, 2025","Sep 1, 2015",47,13,11,7,0
