Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Rui Patrício,"Feb 15, 1988 (33)",Goalkeeper,€10.00m,"Aug 27, 2024","Jul 1, 2021",51,0,0,6,'0'
John Ruddy,"Oct 24, 1986 (34)",Goalkeeper,€800k,"Jun 30, 2024","Jul 14, 2022",43,0,0,20,'0'
Matija Sarkic,"Jul 23, 1997 (23)",Goalkeeper,€100k,"Jun 30, 2025","Jul 27, 2020",12,0,0,13,'1'
Conor Coady,"Feb 25, 1993 (28)",Defender - Centre-Back,€25.00m,"Jun 30, 2025","Jul 3, 2015",25,2,1,13,'1'
Willy Boly,"Feb 3, 1991 (30)",Defender - Centre-Back,€14.00m,"Jun 30, 2025","Sep 1, 2022",15,1,1,16,'0'
Romain Saïss,"Mar 26, 1990 (31)",Defender - Centre-Back,€10.00m,"Jun 30, 2024","Jul 1, 2022",26,1,2,20,'1'
Maximilian Kilman,"May 23, 1997 (24)",Defender - Centre-Back,€4.50m,"Jun 30, 2028","Aug 9, 2018",41,0,0,13,'0'
Rayan Aït-Nouri,"Jun 6, 2001 (20)",Defender - Left-Back,€18.00m,"Jun 30, 2026","Jul 9, 2021",27,2,1,13,'0'
Rúben Vinagre,"Apr 9, 1999 (22)",Defender - Left-Back,€5.00m,"Jun 30, 2028","Jul 1, 2022",4,0,0,20,'0'
Marçal,"Feb 19, 1989 (32)",Defender - Left-Back,€1.80m,"Jan 1, 2025","Jul 18, 2022",42,1,7,20,'0'
Hugo Bueno,"Sep 18, 2002 (18)",Defender - Left-Back,€8.00m,"Jun 30, 2028","Jul 1, 2022",29,0,3,13,'0'
Nélson Semedo,"Nov 16, 1993 (27)",Defender - Right-Back,€28.00m,"Jun 30, 2025","Sep 23, 2020",41,0,2,13,'0'
Jonny Otto,"Mar 3, 1994 (27)",Defender - Right-Back,€15.00m,"Jun 30, 2024","Jan 31, 2019",23,1,0,13,'1'
Ki-Jana Hoever,"Jan 18, 2002 (19)",Defender - Right-Back,€7.00m,"Jun 30, 2026","Sep 19, 2020",27,4,3,13,'0'
Oskar Buur,"Mar 31, 1998 (23)",Defender - Right-Back,€300k,"Jun 30, 2024","Feb 8, 2022",16,1,0,20,'0'
Rúben Neves,"Mar 13, 1997 (24)",Midfield - Defensive Midfield,€45.00m,"Jun 30, 2024","Jul 8, 2017",41,6,1,13,'1'
Leander Dendoncker,"Apr 15, 1995 (26)",Midfield - Defensive Midfield,€30.00m,"Jun 30, 2026","Sep 1, 2022",26,0,0,13,'0'
Owen Otasowie,"Jan 6, 2001 (20)",Midfield - Defensive Midfield,€1.50m,"Jun 30, 2023","Aug 20, 2021",6,0,0,20,'0'
Vitinha,"Feb 13, 2000 (21)",Midfield - Central Midfield,€7.00m,"Jun 30, 2029","Jul 1, 2022",48,2,4,1,'0'
João Moutinho,"Sep 8, 1986 (34)",Midfield - Central Midfield,€4.00m,"Jun 30, 2023","Jul 24, 2018",36,0,2,13,'1'
Luke Cundle,"Apr 26, 2002 (19)",Midfield - Central Midfield,€3.50m,"Jun 30, 2026","Jul 1, 2021",35,3,5,13,'0'
Morgan Gibbs-White,"Jan 27, 2000 (21)",Midfield - Attacking Midfield,€7.00m,"Jun 30, 2027","Aug 19, 2022",40,5,8,16,'0'
Pedro Neto,"Mar 9, 2000 (21)",Attack - Right Winger,€35.00m,"Jun 30, 2027","Aug 2, 2019",21,1,1,13,'0'
Adama Traoré,"Jan 25, 1996 (25)",Attack - Right Winger,€30.00m,"Jun 30, 2023","Aug 8, 2018",40,3,2,13,'1'
Daniel Podence,"Oct 21, 1995 (25)",Attack - Right Winger,€25.00m,"Jun 30, 2025","Jan 30, 2020",37,6,1,13,'0'
Diogo Jota,"Dec 4, 1996 (24)",Attack - Centre-Forward,€45.00m,"Jun 30, 2027","Sep 19, 2020",28,7,8,5,'0'
Raúl Jiménez,"May 5, 1991 (30)",Attack - Centre-Forward,€28.00m,"Jun 30, 2024","Jul 1, 2019",20,3,1,13,'1'
Fábio Silva,"Jul 19, 2002 (18)",Attack - Centre-Forward,€25.00m,"Jun 30, 2025","Sep 5, 2020",51,16,6,13,'0'
Patrick Cutrone,"Jan 3, 1998 (23)",Attack - Centre-Forward,€9.00m,"Jun 30, 2028","Aug 29, 2022",35,9,2,20,'0'
