Player,Birth,Position,Market Value,Contract,Joined
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,N/A,N/A
Bernd Leno,"Mar 4, 1992 (29)",Goalkeeper,€22.00m,N/A,N/A
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,N/A,N/A
Rúnar Alex Rúnarsson,"Feb 18, 1995 (26)",Goalkeeper,€1.50m,N/A,N/A
Karl Hein,"Apr 13, 2002 (19)",Goalkeeper,€450k,N/A,N/A
Matt Macey,"Sep 9, 1994 (26)",Goalkeeper,€300k,N/A,N/A
Dejan Iliev,"Feb 25, 1995 (26)",Goalkeeper,€300k,N/A,N/A
James Hillson,"Jan 14, 2001 (20)",Goalkeeper,N/A,N/A,N/A
Arthur Okonkwo,"Sep 9, 2001 (19)",Goalkeeper,N/A,N/A,N/A
Gabriel Magalhães,"Dec 19, 1997 (23)",Defender - Centre-Back,€25.00m,N/A,N/A
William Saliba,"Mar 24, 2001 (20)",Defender - Centre-Back,€18.00m,N/A,N/A
Rob Holding,"Sep 20, 1995 (25)",Defender - Centre-Back,€18.00m,N/A,N/A
Calum Chambers,"Jan 20, 1995 (26)",Defender - Centre-Back,€12.00m,N/A,N/A
Pablo Marí,"Aug 31, 1993 (27)",Defender - Centre-Back,€7.00m,N/A,N/A
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,N/A,N/A
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,N/A,N/A
Shkodran Mustafi,"Apr 17, 1992 (29)",Defender - Centre-Back,€2.50m,N/A,N/A
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,N/A,N/A
Joel López,"Mar 31, 2002 (19)",Defender - Left-Back,N/A,N/A,N/A
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,N/A,N/A
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,N/A,N/A
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,N/A,N/A
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,N/A,N/A
Granit Xhaka,"Sep 27, 1992 (28)",Midfield - Defensive Midfield,€22.00m,N/A,N/A
Mohamed Elneny,"Jul 11, 1992 (28)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Dani Ceballos,"Aug 7, 1996 (24)",Midfield - Central Midfield,€27.00m,N/A,N/A
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,N/A,N/A
Miguel Azeez,"Sep 20, 2002 (18)",Midfield - Central Midfield,€500k,N/A,N/A
Ben Cottrell,"Oct 31, 2001 (19)",Midfield - Central Midfield,€200k,N/A,N/A
James Olayinka,"Oct 5, 2000 (20)",Midfield - Central Midfield,N/A,N/A,N/A
Martin Ødegaard,"Dec 17, 1998 (22)",Midfield - Attacking Midfield,€40.00m,N/A,N/A
Emile Smith Rowe,"Jul 28, 2000 (20)",Midfield - Attacking Midfield,€18.00m,N/A,N/A
Gabriel Martinelli,"Jun 18, 2001 (20)",Attack - Left Winger,€22.00m,N/A,N/A
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,N/A,N/A
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,N/A,N/A
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,N/A,N/A
Reiss Nelson,"Dec 10, 1999 (21)",Attack - Right Winger,€9.00m,N/A,N/A
Alexandre Lacazette,"May 28, 1991 (30)",Attack - Centre-Forward,€28.00m,N/A,N/A
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,N/A,N/A
Eddie Nketiah,"May 30, 1999 (22)",Attack - Centre-Forward,€16.00m,N/A,N/A
Folarin Balogun,"Jul 3, 2001 (19)",Attack - Centre-Forward,€4.00m,N/A,N/A
Tyreece John-Jules,"Feb 14, 2001 (20)",Attack - Centre-Forward,N/A,N/A,N/A
