Player,Birth,Position,Market Value,Contract,Joined
Emiliano Martínez,"Sep 2, 1992 (28)",Goalkeeper,€30.00m,N/A,N/A
Lovre Kalinic,"Apr 3, 1990 (31)",Goalkeeper,€2.50m,N/A,N/A
Ørjan Nyland,"Sep 10, 1990 (30)",Goalkeeper,€1.00m,N/A,N/A
Tom Heaton,"Apr 15, 1986 (35)",Goalkeeper,€1.00m,N/A,N/A
Jed Steer,"Sep 23, 1992 (28)",Goalkeeper,€800k,N/A,N/A
Ákos Onódi,"Sep 2, 2001 (19)",Goalkeeper,€150k,N/A,N/A
Oliwier Zych,"Jun 28, 2004 (17)",Goalkeeper,N/A,N/A,N/A
Tyrone Mings,"Mar 13, 1993 (28)",Defender - Centre-Back,€30.00m,N/A,N/A
Ezri Konsa,"Oct 23, 1997 (23)",Defender - Centre-Back,€25.00m,N/A,N/A
Kortney Hause,"Jul 16, 1995 (25)",Defender - Centre-Back,€5.00m,N/A,N/A
Björn Engels,"Sep 15, 1994 (26)",Defender - Centre-Back,€3.00m,N/A,N/A
Mungo Bridge,"Sep 12, 2000 (20)",Defender - Centre-Back,€150k,N/A,N/A
Dominic Revan,"Sep 19, 2000 (20)",Defender - Centre-Back,€150k,N/A,N/A
Sil Swinkels,"Jan 6, 2004 (17)",Defender - Centre-Back,€150k,N/A,N/A
Matt Targett,"Sep 18, 1995 (25)",Defender - Left-Back,€17.00m,N/A,N/A
Neil Taylor,"Feb 7, 1989 (32)",Defender - Left-Back,€1.50m,N/A,N/A
Ben Chrisene,"Jan 12, 2004 (17)",Defender - Left-Back,€150k,N/A,N/A
Matty Cash,"Aug 7, 1997 (23)",Defender - Right-Back,€22.00m,N/A,N/A
Frédéric Guilbert,"Dec 24, 1994 (26)",Defender - Right-Back,€6.00m,N/A,N/A
Ahmed El Mohamady,"Sep 9, 1987 (33)",Defender - Right-Back,€1.50m,N/A,N/A
Kaine Kesler-Hayden,"Oct 23, 2002 (18)",Defender - Right-Back,€250k,N/A,N/A
Frankie Ealing,"Jul 14, 2004 (16)",Defender - Right-Back,N/A,N/A,N/A
Marvelous Nakamba,"Jan 19, 1994 (27)",Midfield - Defensive Midfield,€7.00m,N/A,N/A
Lamare Bogarde,"Jan 5, 2004 (17)",Midfield - Defensive Midfield,€200k,N/A,N/A
Hayden Lindley,"Sep 2, 2002 (18)",Midfield - Defensive Midfield,€150k,N/A,N/A
Taylor-Jay Hart,"Dec 18, 2003 (17)",Midfield - Defensive Midfield,N/A,N/A,N/A
Douglas Luiz,"May 9, 1998 (23)",Midfield - Central Midfield,€35.00m,N/A,N/A
John McGinn,"Oct 18, 1994 (26)",Midfield - Central Midfield,€30.00m,N/A,N/A
Ross Barkley,"Dec 5, 1993 (27)",Midfield - Central Midfield,€20.00m,N/A,N/A
Morgan Sanson,"Aug 18, 1994 (26)",Midfield - Central Midfield,€16.00m,N/A,N/A
Conor Hourihane,"Feb 2, 1991 (30)",Midfield - Central Midfield,€3.50m,N/A,N/A
Henri Lansbury,"Oct 12, 1990 (30)",Midfield - Central Midfield,€1.00m,N/A,N/A
Carney Chukwuemeka,"Oct 20, 2003 (17)",Midfield - Central Midfield,€1.00m,N/A,N/A
Jake Walker,"Nov 3, 2000 (20)",Midfield - Central Midfield,€150k,N/A,N/A
Callum Rowe,"Sep 2, 1999 (21)",Midfield - Central Midfield,€150k,N/A,N/A
Harrison Sohna,"Jul 1, 2002 (18)",Midfield - Central Midfield,€150k,N/A,N/A
Arjan Raikhy,"Oct 20, 2002 (18)",Midfield - Central Midfield,€150k,N/A,N/A
Mamadou Sylla,"Jan 26, 2003 (18)",Midfield - Central Midfield,€150k,N/A,N/A
Teddy Rowe,"Oct 17, 2003 (17)",Midfield - Central Midfield,€150k,N/A,N/A
Jacob Ramsey,"May 28, 2001 (20)",Midfield - Left Midfield,€5.00m,N/A,N/A
Jack Grealish,"Sep 10, 1995 (25)",Attack - Left Winger,€65.00m,N/A,N/A
Mahmoud Trezeguet,"Oct 1, 1994 (26)",Attack - Left Winger,€10.00m,N/A,N/A
Louie Barry,"Jun 21, 2003 (18)",Attack - Left Winger,€1.00m,N/A,N/A
Jaden Philogene,"Feb 8, 2002 (19)",Attack - Left Winger,€500k,N/A,N/A
Bertrand Traoré,"Sep 6, 1995 (25)",Attack - Right Winger,€20.00m,N/A,N/A
Anwar El Ghazi,"May 3, 1995 (26)",Attack - Right Winger,€13.00m,N/A,N/A
Jota Peleteiro,"Jun 16, 1991 (30)",Attack - Right Winger,€1.80m,N/A,N/A
Brad Young,"Jan 6, 2003 (18)",Attack - Right Winger,€150k,N/A,N/A
Ollie Watkins,"Dec 30, 1995 (25)",Attack - Centre-Forward,€32.00m,N/A,N/A
Wesley Moraes,"Nov 24, 1996 (24)",Attack - Centre-Forward,€13.00m,N/A,N/A
Ally Samatta,"Dec 23, 1992 (28)",Attack - Centre-Forward,€4.20m,N/A,N/A
Keinan Davis,"Feb 13, 1998 (23)",Attack - Centre-Forward,€3.00m,N/A,N/A
Michael Tait,"Jan 29, 2001 (20)",Attack - Centre-Forward,N/A,N/A,N/A
