Player,Birth,Position,Market Value,Contract,Joined
Robert Sánchez,"Nov 18, 1997 (23)",Goalkeeper,€8.00m,N/A,N/A
Mathew Ryan,"Apr 8, 1992 (29)",Goalkeeper,€6.00m,N/A,N/A
Jason Steele,"Aug 18, 1990 (30)",Goalkeeper,€800k,N/A,N/A
Christian Walton,"Nov 9, 1995 (25)",Goalkeeper,€800k,N/A,N/A
Tom McGill,"Mar 25, 2000 (21)",Goalkeeper,N/A,N/A,N/A
Lewis Dunk,"Nov 21, 1991 (29)",Defender - Centre-Back,€25.00m,N/A,N/A
Adam Webster,"Jan 4, 1995 (26)",Defender - Centre-Back,€18.00m,N/A,N/A
Shane Duffy,"Jan 1, 1992 (29)",Defender - Centre-Back,€5.00m,N/A,N/A
Dan Burn,"May 9, 1992 (29)",Defender - Centre-Back,€5.00m,N/A,N/A
Bernardo,"May 14, 1995 (26)",Defender - Centre-Back,€4.00m,N/A,N/A
Matt Clarke,"Sep 22, 1996 (24)",Defender - Centre-Back,€3.00m,N/A,N/A
Leo Østigård,"Nov 28, 1999 (21)",Defender - Centre-Back,€3.00m,N/A,N/A
Lars Dendoncker,"Apr 3, 2001 (20)",Defender - Centre-Back,N/A,N/A,N/A
Haydon Roberts,"May 10, 2002 (19)",Defender - Left-Back,€500k,N/A,N/A
Alex Cochrane,"Apr 21, 2000 (21)",Defender - Left-Back,€250k,N/A,N/A
Ben White,"Oct 8, 1997 (23)",Defender - Right-Back,€28.00m,N/A,N/A
Tariq Lamptey,"Sep 30, 2000 (20)",Defender - Right-Back,€18.00m,N/A,N/A
Joël Veltman,"Jan 15, 1992 (29)",Defender - Right-Back,€6.00m,N/A,N/A
Romaric Yapi,"Jul 13, 2000 (20)",Defender - Right-Back,N/A,N/A,N/A
Yves Bissouma,"Aug 30, 1996 (24)",Midfield - Defensive Midfield,€25.00m,N/A,N/A
Moisés Caicedo,"Nov 2, 2001 (19)",Midfield - Defensive Midfield,€5.00m,N/A,N/A
Alexis Mac Allister,"Dec 24, 1998 (22)",Midfield - Central Midfield,€10.00m,N/A,N/A
Jakub Moder,"Apr 7, 1999 (22)",Midfield - Central Midfield,€10.00m,N/A,N/A
Davy Pröpper,"Sep 2, 1991 (29)",Midfield - Central Midfield,€8.00m,N/A,N/A
Pascal Groß,"Jun 15, 1991 (30)",Midfield - Central Midfield,€7.00m,N/A,N/A
Steven Alzate,"Sep 8, 1998 (22)",Midfield - Central Midfield,€6.00m,N/A,N/A
Michal Karbownik,"Mar 13, 2001 (20)",Midfield - Central Midfield,€5.00m,N/A,N/A
Dale Stephens,"Jun 12, 1989 (32)",Midfield - Central Midfield,€2.50m,N/A,N/A
Jayson Molumby,"Aug 6, 1999 (21)",Midfield - Central Midfield,€1.00m,N/A,N/A
Max Sanders,"Jan 4, 1999 (22)",Midfield - Central Midfield,€250k,N/A,N/A
Teddy Jenks,"Mar 12, 2002 (19)",Midfield - Central Midfield,€200k,N/A,N/A
Jensen Weir,"Jan 31, 2002 (19)",Midfield - Central Midfield,€150k,N/A,N/A
Adam Lallana,"May 10, 1988 (33)",Midfield - Attacking Midfield,€4.00m,N/A,N/A
Reda Khadra,"Jul 4, 2001 (19)",Midfield - Attacking Midfield,€150k,N/A,N/A
Leandro Trossard,"Dec 4, 1994 (26)",Attack - Left Winger,€17.00m,N/A,N/A
José Izquierdo,"Jul 7, 1992 (28)",Attack - Left Winger,€4.00m,N/A,N/A
Solly March,"Jul 20, 1994 (26)",Attack - Right Winger,€9.00m,N/A,N/A
Alireza Jahanbakhsh,"Aug 11, 1993 (27)",Attack - Right Winger,€5.00m,N/A,N/A
Percy Tau,"May 13, 1994 (27)",Attack - Right Winger,€3.00m,N/A,N/A
Peter Gwargis,"Sep 4, 2000 (20)",Attack - Right Winger,€300k,N/A,N/A
Neal Maupay,"Aug 14, 1996 (24)",Attack - Centre-Forward,€20.00m,N/A,N/A
Aaron Connolly,"Jan 28, 2000 (21)",Attack - Centre-Forward,€7.00m,N/A,N/A
Danny Welbeck,"Nov 26, 1990 (30)",Attack - Centre-Forward,€4.00m,N/A,N/A
Andi Zeqiri,"Jun 22, 1999 (22)",Attack - Centre-Forward,€2.50m,N/A,N/A
Florin Andone,"Apr 11, 1993 (28)",Attack - Centre-Forward,€2.00m,N/A,N/A
Viktor Gyökeres,"Jun 4, 1998 (23)",Attack - Centre-Forward,€1.00m,N/A,N/A
