Player,Birth,Position,Market Value,Contract,Joined
Edouard Mendy,"Mar 1, 1992 (29)",Goalkeeper,€25.00m,N/A,N/A
Kepa Arrizabalaga,"Oct 3, 1994 (26)",Goalkeeper,€13.00m,N/A,N/A
Jamal Blackman,"Oct 27, 1993 (27)",Goalkeeper,€600k,N/A,N/A
Nathan Baxter,"Nov 8, 1998 (22)",Goalkeeper,€300k,N/A,N/A
Willy Caballero,"Sep 28, 1981 (39)",Goalkeeper,€250k,N/A,N/A
Karlo Ziger,"May 11, 2001 (20)",Goalkeeper,€150k,N/A,N/A
Kurt Zouma,"Oct 27, 1994 (26)",Defender - Centre-Back,€32.00m,N/A,N/A
Andreas Christensen,"Apr 10, 1996 (25)",Defender - Centre-Back,€30.00m,N/A,N/A
Antonio Rüdiger,"Mar 3, 1993 (28)",Defender - Centre-Back,€28.00m,N/A,N/A
Fikayo Tomori,"Dec 19, 1997 (23)",Defender - Centre-Back,€28.00m,N/A,N/A
César Azpilicueta,"Aug 28, 1989 (31)",Defender - Centre-Back,€13.00m,N/A,N/A
Thiago Silva,"Sep 22, 1984 (36)",Defender - Centre-Back,€3.00m,N/A,N/A
Jake Clarke-Salter,"Sep 22, 1997 (23)",Defender - Centre-Back,€2.00m,N/A,N/A
Ben Chilwell,"Dec 21, 1996 (24)",Defender - Left-Back,€45.00m,N/A,N/A
Marcos Alonso,"Dec 28, 1990 (30)",Defender - Left-Back,€12.00m,N/A,N/A
Emerson,"Aug 3, 1994 (26)",Defender - Left-Back,€12.00m,N/A,N/A
Reece James,"Dec 8, 1999 (21)",Defender - Right-Back,€40.00m,N/A,N/A
Tino Livramento,"Nov 12, 2002 (18)",Defender - Right-Back,N/A,N/A,N/A
N'Golo Kanté,"Mar 29, 1991 (30)",Midfield - Defensive Midfield,€55.00m,N/A,N/A
Jorginho,"Dec 20, 1991 (29)",Midfield - Defensive Midfield,€40.00m,N/A,N/A
Ethan Ampadu,"Sep 14, 2000 (20)",Midfield - Defensive Midfield,€15.00m,N/A,N/A
Billy Gilmour,"Jun 11, 2001 (20)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Mateo Kovacic,"May 6, 1994 (27)",Midfield - Central Midfield,€45.00m,N/A,N/A
Ross Barkley,"Dec 5, 1993 (27)",Midfield - Central Midfield,€20.00m,N/A,N/A
Ruben Loftus-Cheek,"Jan 23, 1996 (25)",Midfield - Central Midfield,€18.00m,N/A,N/A
Conor Gallagher,"Feb 6, 2000 (21)",Midfield - Central Midfield,€15.00m,N/A,N/A
Lewis Bate,"Oct 28, 2002 (18)",Midfield - Central Midfield,N/A,N/A,N/A
Mason Mount,"Jan 10, 1999 (22)",Midfield - Attacking Midfield,€75.00m,N/A,N/A
Tino Anjorin,"Nov 23, 2001 (19)",Midfield - Attacking Midfield,€2.30m,N/A,N/A
Timo Werner,"Mar 6, 1996 (25)",Attack - Left Winger,€65.00m,N/A,N/A
Callum Hudson-Odoi,"Nov 7, 2000 (20)",Attack - Left Winger,€32.00m,N/A,N/A
Izzy Brown,"Jan 7, 1997 (24)",Attack - Left Winger,€1.60m,N/A,N/A
Charly Musonda Jr.,"Oct 15, 1996 (24)",Attack - Left Winger,€1.00m,N/A,N/A
Christian Pulisic,"Sep 18, 1998 (22)",Attack - Right Winger,€50.00m,N/A,N/A
Hakim Ziyech,"Mar 19, 1993 (28)",Attack - Right Winger,€38.00m,N/A,N/A
Kai Havertz,"Jun 11, 1999 (22)",Attack - Centre-Forward,€70.00m,N/A,N/A
Tammy Abraham,"Oct 2, 1997 (23)",Attack - Centre-Forward,€38.00m,N/A,N/A
Michy Batshuayi,"Oct 2, 1993 (27)",Attack - Centre-Forward,€10.00m,N/A,N/A
Olivier Giroud,"Sep 30, 1986 (34)",Attack - Centre-Forward,€4.00m,N/A,N/A
