Player,Birth,Position,Market Value,Contract,Joined
Jack Butland,"Mar 10, 1993 (28)",Goalkeeper,€2.00m,N/A,N/A
Vicente Guaita,"Jan 10, 1987 (34)",Goalkeeper,€2.00m,N/A,N/A
Wayne Hennessey,"Jan 24, 1987 (34)",Goalkeeper,€1.00m,N/A,N/A
Stephen Henderson,"May 2, 1988 (33)",Goalkeeper,€300k,N/A,N/A
Mamadou Sakho,"Feb 13, 1990 (31)",Defender - Centre-Back,€6.00m,N/A,N/A
Nathan Ferguson,"Oct 6, 2000 (20)",Defender - Centre-Back,€4.00m,N/A,N/A
James Tomkins,"Mar 29, 1989 (32)",Defender - Centre-Back,€2.50m,N/A,N/A
Scott Dann,"Feb 14, 1987 (34)",Defender - Centre-Back,€1.50m,N/A,N/A
Gary Cahill,"Dec 19, 1985 (35)",Defender - Centre-Back,€1.50m,N/A,N/A
Jaroslaw Jach,"Feb 17, 1994 (27)",Defender - Centre-Back,€650k,N/A,N/A
Sam Woods,"Sep 11, 1998 (22)",Defender - Centre-Back,€200k,N/A,N/A
Ryan Inniss,"Jun 5, 1995 (26)",Defender - Centre-Back,€150k,N/A,N/A
Patrick van Aanholt,"Aug 29, 1990 (30)",Defender - Left-Back,€7.00m,N/A,N/A
Tyrick Mitchell,"Sep 1, 1999 (21)",Defender - Left-Back,€7.00m,N/A,N/A
Reece Hannam,"Sep 11, 2000 (20)",Defender - Left-Back,N/A,N/A,N/A
Nathaniel Clyne,"Apr 5, 1991 (30)",Defender - Right-Back,€3.00m,N/A,N/A
Joel Ward,"Oct 29, 1989 (31)",Defender - Right-Back,€2.50m,N/A,N/A
Martin Kelly,"Apr 27, 1990 (31)",Defender - Right-Back,€1.50m,N/A,N/A
Luka Milivojevic,"Apr 7, 1991 (30)",Midfield - Defensive Midfield,€8.00m,N/A,N/A
Jaïro Riedewald,"Sep 9, 1996 (24)",Midfield - Defensive Midfield,€8.00m,N/A,N/A
Cheikhou Kouyaté,"Dec 21, 1989 (31)",Midfield - Defensive Midfield,€6.00m,N/A,N/A
James McCarthy,"Nov 12, 1990 (30)",Midfield - Central Midfield,€3.00m,N/A,N/A
James McArthur,"Oct 7, 1987 (33)",Midfield - Central Midfield,€2.00m,N/A,N/A
Nya Kirby,"Jan 31, 2000 (21)",Midfield - Central Midfield,€300k,N/A,N/A
Jeffrey Schlupp,"Dec 23, 1992 (28)",Midfield - Left Midfield,€9.00m,N/A,N/A
Eberechi Eze,"Jun 29, 1998 (23)",Midfield - Attacking Midfield,€20.00m,N/A,N/A
Max Meyer,"Sep 18, 1995 (25)",Midfield - Attacking Midfield,€1.50m,N/A,N/A
Wilfried Zaha,"Nov 10, 1992 (28)",Attack - Left Winger,€45.00m,N/A,N/A
Brandon Pierrick,"Dec 10, 2001 (19)",Attack - Left Winger,€250k,N/A,N/A
Jordan Ayew,"Sep 11, 1991 (29)",Attack - Right Winger,€8.00m,N/A,N/A
Andros Townsend,"Jul 16, 1991 (29)",Attack - Right Winger,€7.00m,N/A,N/A
Jesurun Rak-Sakyi,"Oct 5, 2002 (18)",Attack - Right Winger,N/A,N/A,N/A
Jean-Philippe Mateta,"Jun 28, 1997 (24)",Attack - Centre-Forward,€13.00m,N/A,N/A
Michy Batshuayi,"Oct 2, 1993 (27)",Attack - Centre-Forward,€10.00m,N/A,N/A
Christian Benteke,"Dec 3, 1990 (30)",Attack - Centre-Forward,€9.00m,N/A,N/A
Connor Wickham,"Mar 31, 1993 (28)",Attack - Centre-Forward,€1.00m,N/A,N/A
