Player,Birth,Position,Market Value,Contract,Joined
Jordan Pickford,"Mar 7, 1994 (27)",Goalkeeper,€22.00m,N/A,N/A
Robin Olsen,"Jan 8, 1990 (31)",Goalkeeper,€3.00m,N/A,N/A
Jonas Lössl,"Feb 1, 1989 (32)",Goalkeeper,€1.50m,N/A,N/A
João Virgínia,"Oct 10, 1999 (21)",Goalkeeper,€1.00m,N/A,N/A
Harry Tyrer,"Dec 6, 2001 (19)",Goalkeeper,N/A,N/A,N/A
Zan Luk Leban,"Dec 15, 2002 (18)",Goalkeeper,N/A,N/A,N/A
Michael Keane,"Jan 11, 1993 (28)",Defender - Centre-Back,€25.00m,N/A,N/A
Ben Godfrey,"Jan 15, 1998 (23)",Defender - Centre-Back,€25.00m,N/A,N/A
Mason Holgate,"Oct 22, 1996 (24)",Defender - Centre-Back,€20.00m,N/A,N/A
Yerry Mina,"Sep 23, 1994 (26)",Defender - Centre-Back,€20.00m,N/A,N/A
Jarrad Branthwaite,"Jun 27, 2002 (19)",Defender - Centre-Back,€3.00m,N/A,N/A
Matthew Pennington,"Oct 6, 1994 (26)",Defender - Centre-Back,€600k,N/A,N/A
Ryan Astley,"Oct 4, 2001 (19)",Defender - Centre-Back,N/A,N/A,N/A
Reece Welch,"Sep 19, 2003 (17)",Defender - Centre-Back,N/A,N/A,N/A
Lucas Digne,"Jul 20, 1993 (27)",Defender - Left-Back,€35.00m,N/A,N/A
Niels Nkounkou,"Nov 1, 2000 (20)",Defender - Left-Back,€3.00m,N/A,N/A
Thierry Small,"Aug 1, 2004 (16)",Defender - Left-Back,€100k,N/A,N/A
Jonjoe Kenny,"Mar 15, 1997 (24)",Defender - Right-Back,€5.80m,N/A,N/A
Séamus Coleman,"Oct 11, 1988 (32)",Defender - Right-Back,€5.00m,N/A,N/A
Kyle John,"Feb 13, 2001 (20)",Defender - Right-Back,N/A,N/A,N/A
Allan,"Jan 8, 1991 (30)",Midfield - Defensive Midfield,€22.00m,N/A,N/A
Jean-Philippe Gbamin,"Sep 25, 1995 (25)",Midfield - Defensive Midfield,€15.00m,N/A,N/A
Muhamed Besic,"Sep 10, 1992 (28)",Midfield - Defensive Midfield,€1.50m,N/A,N/A
Beni Baningime,"Sep 9, 1998 (22)",Midfield - Defensive Midfield,€1.00m,N/A,N/A
Abdoulaye Doucouré,"Jan 1, 1993 (28)",Midfield - Central Midfield,€25.00m,N/A,N/A
André Gomes,"Jul 30, 1993 (27)",Midfield - Central Midfield,€20.00m,N/A,N/A
Tom Davies,"Jun 30, 1998 (23)",Midfield - Central Midfield,€18.00m,N/A,N/A
Fabian Delph,"Nov 21, 1989 (31)",Midfield - Central Midfield,€3.50m,N/A,N/A
Tyler Onyango,"Mar 4, 2003 (18)",Midfield - Central Midfield,€200k,N/A,N/A
Isaac Price,"Sep 26, 2003 (17)",Midfield - Central Midfield,N/A,N/A,N/A
James Rodríguez,"Jul 12, 1991 (29)",Midfield - Attacking Midfield,€28.00m,N/A,N/A
Gylfi Sigurdsson,"Sep 8, 1989 (31)",Midfield - Attacking Midfield,€13.00m,N/A,N/A
Alex Iwobi,"May 3, 1996 (25)",Attack - Left Winger,€22.00m,N/A,N/A
Bernard,"Sep 8, 1992 (28)",Attack - Left Winger,€12.00m,N/A,N/A
Anthony Gordon,"Feb 24, 2001 (20)",Attack - Left Winger,€5.00m,N/A,N/A
Yannick Bolasie,"May 24, 1989 (32)",Attack - Left Winger,€1.50m,N/A,N/A
Nathan Broadhead,"Apr 5, 1998 (23)",Attack - Left Winger,€500k,N/A,N/A
Theo Walcott,"Mar 16, 1989 (32)",Attack - Right Winger,€5.00m,N/A,N/A
Richarlison,"May 10, 1997 (24)",Attack - Centre-Forward,€55.00m,N/A,N/A
Dominic Calvert-Lewin,"Mar 16, 1997 (24)",Attack - Centre-Forward,€45.00m,N/A,N/A
Moise Kean,"Feb 28, 2000 (21)",Attack - Centre-Forward,€35.00m,N/A,N/A
Joshua King,"Jan 15, 1992 (29)",Attack - Centre-Forward,€8.00m,N/A,N/A
Cenk Tosun,"Jun 7, 1991 (30)",Attack - Centre-Forward,€5.00m,N/A,N/A
Ellis Simms,"Jan 5, 2001 (20)",Attack - Centre-Forward,N/A,N/A,N/A
