Player,Birth,Position,Market Value,Contract,Joined
Alphonse Areola,"Feb 27, 1993 (28)",Goalkeeper,€17.00m,N/A,N/A
Marek Rodák,"Dec 13, 1996 (24)",Goalkeeper,€5.00m,N/A,N/A
Marcus Bettinelli,"May 24, 1992 (29)",Goalkeeper,€2.50m,N/A,N/A
Fabri,"Dec 31, 1987 (33)",Goalkeeper,€600k,N/A,N/A
Joachim Andersen,"May 31, 1996 (25)",Defender - Centre-Back,€22.00m,N/A,N/A
Tosin Adarabioyo,"Sep 24, 1997 (23)",Defender - Centre-Back,€12.00m,N/A,N/A
Alfie Mawson,"Jan 19, 1994 (27)",Defender - Centre-Back,€4.00m,N/A,N/A
Michael Hector,"Jul 19, 1992 (28)",Defender - Centre-Back,€3.50m,N/A,N/A
Terence Kongolo,"Feb 14, 1994 (27)",Defender - Centre-Back,€3.50m,N/A,N/A
Maxime Le Marchand,"Oct 11, 1989 (31)",Defender - Centre-Back,€1.50m,N/A,N/A
Tim Ream,"Oct 5, 1987 (33)",Defender - Centre-Back,€600k,N/A,N/A
Antonee Robinson,"Aug 8, 1997 (23)",Defender - Left-Back,€7.00m,N/A,N/A
Joe Bryan,"Sep 17, 1993 (27)",Defender - Left-Back,€5.00m,N/A,N/A
Ola Aina,"Oct 8, 1996 (24)",Defender - Right-Back,€6.00m,N/A,N/A
Kenny Tete,"Oct 9, 1995 (25)",Defender - Right-Back,€5.00m,N/A,N/A
Steven Sessegnon,"May 18, 2000 (21)",Defender - Right-Back,€2.00m,N/A,N/A
Cyrus Christie,"Sep 30, 1992 (28)",Defender - Right-Back,€1.50m,N/A,N/A
Denis Odoi,"May 27, 1988 (33)",Defender - Right-Back,€600k,N/A,N/A
Mario Lemina,"Sep 1, 1993 (27)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Jean Michaël Seri,"Jul 19, 1991 (29)",Midfield - Defensive Midfield,€4.00m,N/A,N/A
Kevin McDonald,"Nov 4, 1988 (32)",Midfield - Defensive Midfield,€800k,N/A,N/A
Frank Anguissa,"Nov 16, 1995 (25)",Midfield - Central Midfield,€25.00m,N/A,N/A
Ruben Loftus-Cheek,"Jan 23, 1996 (25)",Midfield - Central Midfield,€18.00m,N/A,N/A
Harrison Reed,"Jan 27, 1995 (26)",Midfield - Central Midfield,€10.00m,N/A,N/A
Tom Cairney,"Jan 20, 1991 (30)",Midfield - Central Midfield,€9.00m,N/A,N/A
Josh Onomah,"Apr 27, 1997 (24)",Midfield - Central Midfield,€6.00m,N/A,N/A
Stefan Johansen,"Jan 8, 1991 (30)",Midfield - Central Midfield,€2.00m,N/A,N/A
Tyrese Francois,"Jul 16, 2000 (20)",Midfield - Central Midfield,€150k,N/A,N/A
Fábio Carvalho,"Aug 30, 2002 (18)",Midfield - Attacking Midfield,€250k,N/A,N/A
Sylvester Jasper,"Sep 13, 2001 (19)",Midfield - Attacking Midfield,€250k,N/A,N/A
Ivan Cavaleiro,"Oct 18, 1993 (27)",Attack - Left Winger,€7.00m,N/A,N/A
Neeskens Kebano,"Mar 10, 1992 (29)",Attack - Left Winger,€1.00m,N/A,N/A
Bobby De Cordova-Reid,"Feb 2, 1993 (28)",Attack - Right Winger,€10.00m,N/A,N/A
Anthony Knockaert,"Nov 20, 1991 (29)",Attack - Right Winger,€3.00m,N/A,N/A
Ademola Lookman,"Oct 20, 1997 (23)",Attack - Second Striker,€11.00m,N/A,N/A
Aleksandar Mitrović,"Sep 16, 1994 (26)",Attack - Centre-Forward,€16.00m,N/A,N/A
Josh Maja,"Dec 27, 1998 (22)",Attack - Centre-Forward,€5.00m,N/A,N/A
Aboubakar Kamara,"Mar 7, 1995 (26)",Attack - Centre-Forward,€2.00m,N/A,N/A
