Player,Birth,Position,Market Value,Contract,Joined
Illan Meslier,"Mar 2, 2000 (21)",Goalkeeper,€20.00m,N/A,N/A
Kiko Casilla,"Oct 2, 1986 (34)",Goalkeeper,€800k,N/A,N/A
Elia Caprile,"Aug 25, 2001 (19)",Goalkeeper,€200k,N/A,N/A
Diego Llorente,"Aug 16, 1993 (27)",Defender - Centre-Back,€20.00m,N/A,N/A
Robin Koch,"Jul 17, 1996 (24)",Defender - Centre-Back,€17.00m,N/A,N/A
Pascal Struijk,"Aug 11, 1999 (21)",Defender - Centre-Back,€9.00m,N/A,N/A
Liam Cooper,"Aug 30, 1991 (29)",Defender - Centre-Back,€7.00m,N/A,N/A
Oliver Casey,"Dec 19, 2000 (20)",Defender - Centre-Back,€250k,N/A,N/A
Charlie Cresswell,"Aug 17, 2002 (18)",Defender - Centre-Back,€200k,N/A,N/A
Ezgjan Alioski,"Feb 12, 1992 (29)",Defender - Left-Back,€5.00m,N/A,N/A
Barry Douglas,"Sep 4, 1989 (31)",Defender - Left-Back,€1.50m,N/A,N/A
Leif Davis,"Dec 31, 1999 (21)",Defender - Left-Back,€800k,N/A,N/A
Niall Huggins,"Dec 18, 2000 (20)",Defender - Left-Back,€200k,N/A,N/A
Luke Ayling,"Aug 25, 1991 (29)",Defender - Right-Back,€5.00m,N/A,N/A
Jamie Shackleton,"Oct 8, 1999 (21)",Defender - Right-Back,€2.50m,N/A,N/A
Gaetano Berardi,"Aug 21, 1988 (32)",Defender - Right-Back,€300k,N/A,N/A
Cody Drameh,"Dec 8, 2001 (19)",Defender - Right-Back,N/A,N/A,N/A
Kalvin Phillips,"Dec 2, 1995 (25)",Midfield - Defensive Midfield,€30.00m,N/A,N/A
Ouasim Bouy,"Jun 11, 1993 (28)",Midfield - Defensive Midfield,€250k,N/A,N/A
Jack Jenkins,"Mar 23, 2002 (19)",Midfield - Defensive Midfield,€150k,N/A,N/A
Alfie McCalmont,"Mar 25, 2000 (21)",Midfield - Defensive Midfield,N/A,N/A,N/A
Mateusz Klich,"Jun 13, 1990 (31)",Midfield - Central Midfield,€4.00m,N/A,N/A
Adam Forshaw,"Oct 8, 1991 (29)",Midfield - Central Midfield,€2.00m,N/A,N/A
Robbie Gotts,"Nov 9, 1999 (21)",Midfield - Central Midfield,€250k,N/A,N/A
Eunan O'Kane,"Jul 10, 1990 (30)",Midfield - Central Midfield,€200k,N/A,N/A
Stuart Dallas,"Apr 19, 1991 (30)",Midfield - Left Midfield,€4.00m,N/A,N/A
Mateusz Bogusz,"Aug 22, 2001 (19)",Midfield - Attacking Midfield,€1.00m,N/A,N/A
Jordan Stevens,"Mar 25, 2000 (21)",Midfield - Attacking Midfield,€200k,N/A,N/A
Sam Greenwood,"Jan 26, 2002 (19)",Midfield - Attacking Midfield,€200k,N/A,N/A
Raphinha,"Dec 14, 1996 (24)",Attack - Left Winger,€30.00m,N/A,N/A
Crysencio Summerville,"Oct 30, 2001 (19)",Attack - Left Winger,€1.50m,N/A,N/A
Jack Harrison,"Nov 20, 1996 (24)",Attack - Right Winger,€15.00m,N/A,N/A
Hélder Costa,"Jan 12, 1994 (27)",Attack - Right Winger,€10.00m,N/A,N/A
Ian Poveda,"Feb 9, 2000 (21)",Attack - Right Winger,€1.50m,N/A,N/A
Pablo Hernández,"Apr 11, 1985 (36)",Attack - Right Winger,€800k,N/A,N/A
Patrick Bamford,"Sep 5, 1993 (27)",Attack - Centre-Forward,€22.00m,N/A,N/A
Rodrigo,"Mar 6, 1991 (30)",Attack - Centre-Forward,€18.00m,N/A,N/A
Tyler Roberts,"Jan 12, 1999 (22)",Attack - Centre-Forward,€6.00m,N/A,N/A
Joe Gelhardt,"May 4, 2002 (19)",Attack - Centre-Forward,€1.30m,N/A,N/A
