Player,Birth,Position,Market Value,Contract,Joined
Kasper Schmeichel,"Nov 5, 1986 (34)",Goalkeeper,€6.00m,N/A,N/A
Danny Ward,"Jun 22, 1993 (28)",Goalkeeper,€6.00m,N/A,N/A
Eldin Jakupović,"Oct 2, 1984 (36)",Goalkeeper,€300k,N/A,N/A
Jakub Stolarczyk,"Dec 19, 2000 (20)",Goalkeeper,N/A,N/A,N/A
Çağlar Söyüncü,"May 23, 1996 (25)",Defender - Centre-Back,€45.00m,N/A,N/A
Wesley Fofana,"Dec 17, 2000 (20)",Defender - Centre-Back,€40.00m,N/A,N/A
Jonny Evans,"Jan 3, 1988 (33)",Defender - Centre-Back,€7.00m,N/A,N/A
Daniel Amartey,"Dec 21, 1994 (26)",Defender - Centre-Back,€5.00m,N/A,N/A
Josh Knight,"Sep 7, 1997 (23)",Defender - Centre-Back,€600k,N/A,N/A
Wes Morgan,"Jan 21, 1984 (37)",Defender - Centre-Back,€400k,N/A,N/A
Sam Hughes,"Apr 15, 1997 (24)",Defender - Centre-Back,N/A,N/A,N/A
Ben Nelson,"Mar 18, 2004 (17)",Defender - Centre-Back,N/A,N/A,N/A
Luke Thomas,"Jun 10, 2001 (20)",Defender - Left-Back,€5.00m,N/A,N/A
Christian Fuchs,"Apr 7, 1986 (35)",Defender - Left-Back,€800k,N/A,N/A
Shane Flynn,"Oct 14, 2001 (19)",Defender - Left-Back,N/A,N/A,N/A
Ricardo Pereira,"Oct 6, 1993 (27)",Defender - Right-Back,€30.00m,N/A,N/A
Timothy Castagne,"Dec 5, 1995 (25)",Defender - Right-Back,€28.00m,N/A,N/A
James Justin,"Feb 23, 1998 (23)",Defender - Right-Back,€17.00m,N/A,N/A
Vontae Daley-Campbell,"Apr 2, 2001 (20)",Defender - Right-Back,€200k,N/A,N/A
Wilfred Ndidi,"Dec 16, 1996 (24)",Midfield - Defensive Midfield,€60.00m,N/A,N/A
Nampalys Mendy,"Jun 23, 1992 (29)",Midfield - Defensive Midfield,€8.00m,N/A,N/A
Hamza Choudhury,"Oct 1, 1997 (23)",Midfield - Defensive Midfield,€7.00m,N/A,N/A
Youri Tielemans,"May 7, 1997 (24)",Midfield - Central Midfield,€55.00m,N/A,N/A
Dennis Praet,"May 14, 1994 (27)",Midfield - Central Midfield,€18.00m,N/A,N/A
Kiernan Dewsbury-Hall,"Sep 6, 1998 (22)",Midfield - Central Midfield,€2.00m,N/A,N/A
Matty James,"Jul 22, 1991 (29)",Midfield - Central Midfield,€1.00m,N/A,N/A
Sidnei Tavares,"Sep 29, 2001 (19)",Midfield - Central Midfield,€300k,N/A,N/A
Khanya Leshabela,"Sep 18, 1999 (21)",Midfield - Central Midfield,N/A,N/A,N/A
Ethan Fitzhugh,"Nov 27, 2002 (18)",Midfield - Central Midfield,N/A,N/A,N/A
Thanawat Suengchitthawon,"Jan 8, 2000 (21)",Midfield - Central Midfield,N/A,N/A,N/A
Marc Albrighton,"Nov 18, 1989 (31)",Midfield - Right Midfield,€4.00m,N/A,N/A
James Maddison,"Nov 23, 1996 (24)",Midfield - Attacking Midfield,€55.00m,N/A,N/A
Harvey Barnes,"Dec 9, 1997 (23)",Attack - Left Winger,€35.00m,N/A,N/A
Demarai Gray,"Jun 28, 1996 (25)",Attack - Left Winger,€8.00m,N/A,N/A
Tawanda Maswanhise,"Nov 20, 2002 (18)",Attack - Left Winger,N/A,N/A,N/A
Cengiz Ünder,"Jul 14, 1997 (23)",Attack - Right Winger,€18.00m,N/A,N/A
Kelechi Iheanacho,"Oct 3, 1996 (24)",Attack - Centre-Forward,€20.00m,N/A,N/A
Ayoze Pérez,"Jul 29, 1993 (27)",Attack - Centre-Forward,€18.00m,N/A,N/A
Jamie Vardy,"Jan 11, 1987 (34)",Attack - Centre-Forward,€7.00m,N/A,N/A
Islam Slimani,"Jun 18, 1988 (33)",Attack - Centre-Forward,€3.00m,N/A,N/A
