Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alisson,"Oct 2, 1992 (28)",Goalkeeper,€60.00m,"Jun 30, 2027","Jun 19, 2018",47,0,0,5,0
Caoimhín Kelleher,"Nov 23, 1998 (22)",Goalkeeper,€2.50m,"Jun 30, 2026","Jul 1, 2019",5,0,0,5,0
Adrián,"Jan 3, 1987 (34)",Goalkeeper,€1.00m,"Jul 8, 2024","Aug 5, 2019",1,0,0,5,0
***Harvey Davies,"Sep 3, 2003 (17)",Goalkeeper,N/A,N/A,N/A
Vitezslav Jaros,"Jul 23, 2001 (19)",Goalkeeper,€100k,"Jun 30, 2025","Jul 1, 2022",13,0,0,5,0
***Jakub Ojrzynski,"Feb 19, 2003 (18)",Goalkeeper,N/A,N/A,N/A
***Liam Hughes,"Aug 19, 2001 (19)",Goalkeeper,N/A,N/A,N/A
Virgil van Dijk,"Jul 8, 1991 (29)",Defender - Centre-Back,€55.00m,"Jun 30, 2025","Jan 1, 2018",41,3,1,5,0
Joe Gomez,"May 23, 1997 (24)",Defender - Centre-Back,€30.00m,"Jun 30, 2027","Jul 1, 2015",31,0,1,5,0
*** 임대선수Ozan Kabak,"Mar 25, 2000 (21)",Defender - Centre-Back,€25.00m,N/A,N/A
Joel Matip,"Aug 8, 1991 (29)",Defender - Centre-Back,€18.00m,"Jul 1, 2024","Jul 1, 2016",21,2,0,5,0
Nat Phillips,"Mar 21, 1997 (24)",Defender - Centre-Back,€8.00m,"May 31, 2025","Jul 1, 2019",7,0,1,5,0
Rhys Williams,"Feb 3, 2001 (20)",Defender - Centre-Back,€5.00m,"Jun 30, 2026","Jul 1, 2020",22,1,1,5,0
Ben Davies,"Aug 11, 1995 (25)",Defender - Centre-Back,€3.00m,"Jun 30, 2025","Feb 1, 2021",38,0,1,17,0
Sepp van den Berg,"Dec 20, 2001 (19)",Defender - Centre-Back,€2.50m,"Jun 30, 2026","Jul 1, 2019",10,1,0,5,0
***Billy Koumetio,"Nov 14, 2002 (18)",Defender - Centre-Back,€500k,N/A,N/A
Andrew Robertson,"Mar 11, 1994 (27)",Defender - Left-Back,€65.00m,"Jun 30, 2026","Jul 21, 2017",43,0,11,5,0
Konstantinos Tsimikas,"May 12, 1996 (25)",Defender - Left-Back,€8.00m,"Jun 30, 2027","Aug 10, 2020",28,0,6,5,0
Trent Alexander-Arnold,"Oct 7, 1998 (22)",Defender - Right-Back,€75.00m,"Jun 30, 2025","Jul 1, 2016",47,4,10,5,0
Neco Williams,"Apr 13, 2001 (20)",Defender - Right-Back,€8.00m,"Jun 30, 2025","Jan 1, 2020",36,1,1,16,0
Fabinho,"Oct 23, 1993 (27)",Midfield - Defensive Midfield,€60.00m,"Jun 30, 2026","Jul 1, 2018",49,0,2,5,1
Marko Grujić,"Apr 13, 1996 (25)",Midfield - Defensive Midfield,€15.00m,"Jun 30, 2026","Jul 1, 2022",39,1,1,2,0
Naby Keïta,"Feb 10, 1995 (26)",Midfield - Central Midfield,€32.00m,"Jul 1, 2023","Jul 1, 2018",13,0,0,2,1
Georginio Wijnaldum,"Nov 11, 1990 (30)",Midfield - Central Midfield,€30.00m,"Sep 2, 2023","Jul 1, 2021",23,2,1,1,1
Thiago Alcántara,"Apr 11, 1991 (30)",Midfield - Central Midfield,€30.00m,"Jul 8, 2024","Sep 18, 2020",39,2,5,5,0
Curtis Jones,"Jan 30, 2001 (20)",Midfield - Central Midfield,€30.00m,"Jun 30, 2027","Jul 1, 2020",24,3,1,5,0
Jordan Henderson,"Jun 17, 1990 (31)",Midfield - Central Midfield,€20.00m,"Jun 30, 2025","Jul 1, 2011",43,0,3,5,1
Alex Oxlade-Chamberlain,"Aug 15, 1993 (27)",Midfield - Central Midfield,€18.00m,"Aug 12, 2023","Aug 31, 2017",13,1,0,5,1
Harvey Elliott,"Apr 4, 2003 (18)",Midfield - Central Midfield,€15.00m,"Jun 30, 2027","Jul 1, 2021",46,5,2,5,0
James Milner,"Jan 4, 1986 (35)",Midfield - Central Midfield,€3.00m,"Jun 30, 2023","Jul 1, 2015",43,0,2,5,1
***Jake Cain,"Sep 2, 2001 (19)",Midfield - Central Midfield,N/A,N/A,N/A
Xherdan Shaqiri,"Oct 10, 1991 (29)",Midfield - Attacking Midfield,€12.00m,"Aug 16, 2024","Feb 9, 2022",34,7,6,7,0
Ben Woodburn,"Oct 15, 1999 (21)",Midfield - Attacking Midfield,€2.00m,"Jun 30, 2024","Jul 4, 2022", 42,2,3,7,0
***Leighton Clarkson,"Oct 19, 2001 (19)",Midfield - Attacking Midfield,€150k,N/A,N/A
Sadio Mané,"Apr 10, 1992 (29)",Attack - Left Winger,€85.00m,"Jun 30, 2023","Jul 1, 2022",38,12,6,1,1
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,"Jun 30, 2027","Jul 1, 2022",25,1,4,6,0
Mohamed Salah,"Jun 15, 1992 (29)",Attack - Right Winger,€100.00m,"Jun 30, 2025","Jul 1, 2017",51,30,16,5,0
Harry Wilson,"Mar 22, 1997 (24)",Attack - Right Winger,€17.00m,"Jun 30, 2026","Jul 24, 2021",33,3,3,10,0
