Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alisson,"Oct 2, 1992 (28)",Goalkeeper,€60.00m,"Jun 30, 2027","Jun 19, 2018"
Caoimhín Kelleher,"Nov 23, 1998 (22)",Goalkeeper,€2.50m,N/A,N/A
Adrián,"Jan 3, 1987 (34)",Goalkeeper,€1.00m,N/A,N/A
Harvey Davies,"Sep 3, 2003 (17)",Goalkeeper,N/A,N/A,N/A
Vitezslav Jaros,"Jul 23, 2001 (19)",Goalkeeper,N/A,N/A,N/A
Jakub Ojrzynski,"Feb 19, 2003 (18)",Goalkeeper,N/A,N/A,N/A
Liam Hughes,"Aug 19, 2001 (19)",Goalkeeper,N/A,N/A,N/A
Virgil van Dijk,"Jul 8, 1991 (29)",Defender - Centre-Back,€55.00m,N/A,N/A
Joe Gomez,"May 23, 1997 (24)",Defender - Centre-Back,€30.00m,N/A,N/A
Ozan Kabak,"Mar 25, 2000 (21)",Defender - Centre-Back,€25.00m,N/A,N/A
Joel Matip,"Aug 8, 1991 (29)",Defender - Centre-Back,€18.00m,N/A,N/A
Nat Phillips,"Mar 21, 1997 (24)",Defender - Centre-Back,€8.00m,N/A,N/A
Rhys Williams,"Feb 3, 2001 (20)",Defender - Centre-Back,€5.00m,N/A,N/A
Ben Davies,"Aug 11, 1995 (25)",Defender - Centre-Back,€3.00m,N/A,N/A
Sepp van den Berg,"Dec 20, 2001 (19)",Defender - Centre-Back,€2.50m,N/A,N/A
Billy Koumetio,"Nov 14, 2002 (18)",Defender - Centre-Back,€500k,N/A,N/A
Andrew Robertson,"Mar 11, 1994 (27)",Defender - Left-Back,€65.00m,N/A,N/A
Konstantinos Tsimikas,"May 12, 1996 (25)",Defender - Left-Back,€8.00m,N/A,N/A
Trent Alexander-Arnold,"Oct 7, 1998 (22)",Defender - Right-Back,€75.00m,N/A,N/A
Neco Williams,"Apr 13, 2001 (20)",Defender - Right-Back,€8.00m,N/A,N/A
Fabinho,"Oct 23, 1993 (27)",Midfield - Defensive Midfield,€60.00m,N/A,N/A
Marko Grujić,"Apr 13, 1996 (25)",Midfield - Defensive Midfield,€15.00m,N/A,N/A
Naby Keïta,"Feb 10, 1995 (26)",Midfield - Central Midfield,€32.00m,N/A,N/A
Georginio Wijnaldum,"Nov 11, 1990 (30)",Midfield - Central Midfield,€30.00m,N/A,N/A
Thiago Alcántara,"Apr 11, 1991 (30)",Midfield - Central Midfield,€30.00m,N/A,N/A
Curtis Jones,"Jan 30, 2001 (20)",Midfield - Central Midfield,€30.00m,N/A,N/A
Jordan Henderson,"Jun 17, 1990 (31)",Midfield - Central Midfield,€20.00m,N/A,N/A
Alex Oxlade-Chamberlain,"Aug 15, 1993 (27)",Midfield - Central Midfield,€18.00m,N/A,N/A
Harvey Elliott,"Apr 4, 2003 (18)",Midfield - Central Midfield,€15.00m,N/A,N/A
James Milner,"Jan 4, 1986 (35)",Midfield - Central Midfield,€3.00m,N/A,N/A
Jake Cain,"Sep 2, 2001 (19)",Midfield - Central Midfield,N/A,N/A,N/A
Xherdan Shaqiri,"Oct 10, 1991 (29)",Midfield - Attacking Midfield,€12.00m,N/A,N/A
Ben Woodburn,"Oct 15, 1999 (21)",Midfield - Attacking Midfield,€2.00m,N/A,N/A
Leighton Clarkson,"Oct 19, 2001 (19)",Midfield - Attacking Midfield,€150k,N/A,N/A
Sadio Mané,"Apr 10, 1992 (29)",Attack - Left Winger,€85.00m,N/A,N/A
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,N/A,N/A
Mohamed Salah,"Jun 15, 1992 (29)",Attack - Right Winger,€100.00m,N/A,N/A
Harry Wilson,"Mar 22, 1997 (24)",Attack - Right Winger,€17.00m,N/A,N/A
Sheyi Ojo,"Jun 19, 1997 (24)",Attack - Right Winger,€3.00m,N/A,N/A
Roberto Firmino,"Oct 2, 1991 (29)",Attack - Centre-Forward,€50.00m,N/A,N/A
Diogo Jota,"Dec 4, 1996 (24)",Attack - Centre-Forward,€45.00m,N/A,N/A
Rhian Brewster,"Apr 1, 2000 (21)",Attack - Centre-Forward,€12.00m,N/A,N/A
Divock Origi,"Apr 18, 1995 (26)",Attack - Centre-Forward,€12.00m,N/A,N/A
