Player,Birth,Position,Market Value,Contract,Joined
Freddie Woodman,"Mar 4, 1997 (24)",Goalkeeper,€10.00m,N/A,N/A
Martin Dúbravka,"Jan 15, 1989 (32)",Goalkeeper,€5.00m,N/A,N/A
Karl Darlow,"Oct 8, 1990 (30)",Goalkeeper,€3.00m,N/A,N/A
Mark Gillespie,"Mar 27, 1992 (29)",Goalkeeper,€400k,N/A,N/A
Dan Langley,"Dec 28, 2000 (20)",Goalkeeper,€250k,N/A,N/A
Jamaal Lascelles,"Nov 11, 1993 (27)",Defender - Centre-Back,€13.00m,N/A,N/A
Fabian Schär,"Dec 20, 1991 (29)",Defender - Centre-Back,€9.00m,N/A,N/A
Ciaran Clark,"Sep 26, 1989 (31)",Defender - Centre-Back,€3.00m,N/A,N/A
Federico Fernández,"Feb 21, 1989 (32)",Defender - Centre-Back,€3.00m,N/A,N/A
Jamal Lewis,"Jan 25, 1998 (23)",Defender - Left-Back,€15.00m,N/A,N/A
Paul Dummett,"Sep 26, 1991 (29)",Defender - Left-Back,€3.00m,N/A,N/A
DeAndre Yedlin,"Jul 9, 1993 (27)",Defender - Right-Back,€5.00m,N/A,N/A
Emil Krafth,"Aug 2, 1994 (26)",Defender - Right-Back,€3.50m,N/A,N/A
Javier Manquillo,"May 5, 1994 (27)",N/A,€3.00m,N/A,N/A
Isaac Hayden,"Mar 22, 1995 (26)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Dan Barlaser,"Jan 18, 1997 (24)",Midfield - Defensive Midfield,€1.20m,N/A,N/A
Joelinton,"Aug 14, 1996 (24)",Midfield - Central Midfield,€17.00m,N/A,N/A
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,N/A,N/A
Sean Longstaff,"Oct 30, 1997 (23)",Midfield - Central Midfield,€15.00m,N/A,N/A
Jonjo Shelvey,"Feb 27, 1992 (29)",Midfield - Central Midfield,€13.00m,N/A,N/A
Jeff Hendrick,"Jan 31, 1992 (29)",Midfield - Central Midfield,€9.00m,N/A,N/A
Matty Longstaff,"Mar 21, 2000 (21)",Midfield - Central Midfield,€5.00m,N/A,N/A
Elliot Anderson,"Nov 6, 2002 (18)",Midfield - Central Midfield,€200k,N/A,N/A
Matt Ritchie,"Sep 10, 1989 (31)",Midfield - Right Midfield,€3.00m,N/A,N/A
Henri Saivet,"Oct 26, 1990 (30)",Midfield - Attacking Midfield,€800k,N/A,N/A
Allan Saint-Maximin,"Mar 12, 1997 (24)",Attack - Left Winger,€30.00m,N/A,N/A
Ryan Fraser,"Feb 24, 1994 (27)",Attack - Left Winger,€10.00m,N/A,N/A
Christian Atsu,"Jan 10, 1992 (29)",Attack - Left Winger,€1.50m,N/A,N/A
Miguel Almirón,"Feb 10, 1994 (27)",Attack - Right Winger,€16.00m,N/A,N/A
Jacob Murphy,"Feb 24, 1995 (26)",Attack - Right Winger,€4.00m,N/A,N/A
Callum Wilson,"Feb 27, 1992 (29)",Attack - Centre-Forward,€22.00m,N/A,N/A
Dwight Gayle,"Oct 17, 1989 (31)",Attack - Centre-Forward,€4.00m,N/A,N/A
Andy Carroll,"Jan 6, 1989 (32)",Attack - Centre-Forward,€1.50m,N/A,N/A
