Player,Birth,Position,Market Value,Contract,Joined
Aaron Ramsdale,"May 14, 1998 (23)",Goalkeeper,€12.00m,N/A,N/A
Michael Verrips,"Dec 3, 1996 (24)",Goalkeeper,€900k,N/A,N/A
Wes Foderingham,"Jan 14, 1991 (30)",Goalkeeper,€400k,N/A,N/A
Simon Moore,"May 19, 1990 (31)",Goalkeeper,€400k,N/A,N/A
Jake Eastwood,"Oct 3, 1996 (24)",Goalkeeper,€100k,N/A,N/A
John Egan,"Oct 20, 1992 (28)",Defender - Centre-Back,€9.00m,N/A,N/A
Jack O'Connell,"Mar 29, 1994 (27)",Defender - Centre-Back,€5.00m,N/A,N/A
Chris Basham,"Jul 20, 1988 (32)",Defender - Centre-Back,€2.00m,N/A,N/A
Jack Robinson,"Sep 1, 1993 (27)",Defender - Centre-Back,€2.00m,N/A,N/A
Kean Bryan,"Nov 1, 1996 (24)",Defender - Centre-Back,€2.00m,N/A,N/A
Jack Rodwell,"Mar 11, 1991 (30)",Defender - Centre-Back,€800k,N/A,N/A
Phil Jagielka,"Aug 17, 1982 (38)",Defender - Centre-Back,€250k,N/A,N/A
Kyron Gordon,"May 24, 2002 (19)",Defender - Centre-Back,€250k,N/A,N/A
Enda Stevens,"Jul 9, 1990 (30)",Defender - Left-Back,€3.50m,N/A,N/A
Max Lowe,"May 11, 1997 (24)",Defender - Left-Back,€3.00m,N/A,N/A
Rhys Norrington-Davies,"Apr 22, 1999 (22)",Defender - Left-Back,€1.50m,N/A,N/A
Harry Boyes,"Nov 2, 2001 (19)",Defender - Left-Back,N/A,N/A,N/A
Jayden Bogle,"Jul 27, 2000 (20)",Defender - Right-Back,€7.00m,N/A,N/A
George Baldock,"Mar 9, 1993 (28)",Defender - Right-Back,€5.00m,N/A,N/A
Femi Seriki,"Apr 28, 2002 (19)",Defender - Right-Back,€200k,N/A,N/A
Sander Berge,"Feb 14, 1998 (23)",Midfield - Defensive Midfield,€18.00m,N/A,N/A
Ethan Ampadu,"Sep 14, 2000 (20)",Midfield - Defensive Midfield,€15.00m,N/A,N/A
John Lundstram,"Feb 18, 1994 (27)",Midfield - Central Midfield,€7.00m,N/A,N/A
John Fleck,"Aug 24, 1991 (29)",Midfield - Central Midfield,€5.00m,N/A,N/A
Oliver Norwood,"Apr 12, 1991 (30)",Midfield - Central Midfield,€5.00m,N/A,N/A
Ben Osborn,"Aug 5, 1994 (26)",Midfield - Central Midfield,€2.00m,N/A,N/A
Regan Slater,"Sep 11, 1999 (21)",Midfield - Central Midfield,N/A,N/A,N/A
Frankie Maguire,"Jul 29, 2003 (17)",Midfield - Central Midfield,N/A,N/A,N/A
Luke Freeman,"Mar 22, 1992 (29)",Midfield - Attacking Midfield,€2.00m,N/A,N/A
Zak Brunt,"Nov 17, 2001 (19)",Attack - Left Winger,€250k,N/A,N/A
Iliman Ndiaye,"Mar 6, 2000 (21)",Attack - Left Winger,€200k,N/A,N/A
Rhian Brewster,"Apr 1, 2000 (21)",Attack - Centre-Forward,€12.00m,N/A,N/A
Oli McBurnie,"Jun 4, 1996 (25)",Attack - Centre-Forward,€10.00m,N/A,N/A
Lys Mousset,"Feb 8, 1996 (25)",Attack - Centre-Forward,€9.00m,N/A,N/A
Oliver Burke,"Apr 7, 1997 (24)",Attack - Centre-Forward,€6.00m,N/A,N/A
David McGoldrick,"Nov 29, 1987 (33)",Attack - Centre-Forward,€1.50m,N/A,N/A
Daniel Jebbison,"Jul 11, 2003 (17)",Attack - Centre-Forward,€1.00m,N/A,N/A
Billy Sharp,"Feb 5, 1986 (35)",Attack - Centre-Forward,€500k,N/A,N/A
Antwoine Hackford,"Mar 20, 2004 (17)",Attack - Centre-Forward,€100k,N/A,N/A
William Osula,"Aug 4, 2003 (17)",Attack - Centre-Forward,N/A,N/A,N/A
