Player,Birth,Position,Market Value,Contract,Joined
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,N/A,N/A
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,N/A,N/A
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,N/A,N/A
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,N/A,N/A
Brandon Austin,"Jan 8, 1999 (22)",Goalkeeper,€250k,N/A,N/A
Davinson Sánchez,"Jun 12, 1996 (25)",Defender - Centre-Back,€32.00m,N/A,N/A
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,N/A,N/A
Ben Davies,"Apr 24, 1993 (28)",Defender - Centre-Back,€16.00m,N/A,N/A
Toby Alderweireld,"Mar 2, 1989 (32)",Defender - Centre-Back,€11.00m,N/A,N/A
Joe Rodon,"Oct 22, 1997 (23)",Defender - Centre-Back,€10.00m,N/A,N/A
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,N/A,N/A
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,N/A,N/A
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,N/A,N/A
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,N/A,N/A
Danny Rose,"Jul 2, 1990 (30)",Defender - Left-Back,€3.00m,N/A,N/A
Dennis Cirkin,"Apr 6, 2002 (19)",Defender - Left-Back,N/A,N/A,N/A
Serge Aurier,"Dec 24, 1992 (28)",Defender - Right-Back,€20.00m,N/A,N/A
Matt Doherty,"Jan 16, 1992 (29)",Defender - Right-Back,€16.00m,N/A,N/A
Marcel Lavinier,"Dec 16, 2000 (20)",Defender - Right-Back,€200k,N/A,N/A
Pierre-Emile Højbjerg,"Aug 5, 1995 (25)",Midfield - Defensive Midfield,€35.00m,N/A,N/A
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,N/A,N/A
Oliver Skipp,"Sep 16, 2000 (20)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Harvey White,"Sep 19, 2001 (19)",Midfield - Defensive Midfield,€600k,N/A,N/A
Jamie Bowden,"Jul 9, 2001 (19)",Midfield - Defensive Midfield,N/A,N/A,N/A
Tanguy Ndombélé,"Dec 28, 1996 (24)",Midfield - Central Midfield,€50.00m,N/A,N/A
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,N/A,N/A
Gedson Fernandes,"Jan 9, 1999 (22)",Midfield - Central Midfield,€12.50m,N/A,N/A
Moussa Sissoko,"Aug 16, 1989 (31)",Midfield - Central Midfield,€10.00m,N/A,N/A
Nile John,"Mar 6, 2003 (18)",Midfield - Central Midfield,€200k,N/A,N/A
Dele Alli,"Apr 11, 1996 (25)",Midfield - Attacking Midfield,€30.00m,N/A,N/A
Alfie Devine,"Aug 1, 2004 (16)",Midfield - Attacking Midfield,€500k,N/A,N/A
Heung-min Son,"Jul 8, 1992 (28)",Attack - Left Winger,€85.00m,N/A,N/A
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,N/A,N/A
Jack Clarke,"Nov 23, 2000 (20)",Attack - Left Winger,€5.00m,N/A,N/A
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,N/A,N/A
Gareth Bale,"Jul 16, 1989 (31)",Attack - Right Winger,€18.00m,N/A,N/A
Erik Lamela,"Mar 4, 1992 (29)",Attack - Right Winger,€16.00m,N/A,N/A
Dilan Markanday,"Aug 20, 2001 (19)",Attack - Right Winger,N/A,N/A,N/A
Harry Kane,"Jul 28, 1993 (27)",Attack - Centre-Forward,€120.00m,N/A,N/A
Carlos Vinícius,"Mar 25, 1995 (26)",Attack - Centre-Forward,€18.00m,N/A,N/A
Dane Scarlett,"Mar 24, 2004 (17)",Attack - Centre-Forward,€250k,N/A,N/A
