Player,Birth,Position,Market Value,Contract,Joined
Lukasz Fabianski,"Apr 18, 1985 (36)",Goalkeeper,€1.50m,N/A,N/A
Darren Randolph,"May 12, 1987 (34)",Goalkeeper,€1.50m,N/A,N/A
David Martin,"Jan 22, 1986 (35)",Goalkeeper,€250k,N/A,N/A
Nathan Trott,"Nov 21, 1998 (22)",Goalkeeper,€250k,N/A,N/A
Issa Diop,"Jan 9, 1997 (24)",Defender - Centre-Back,€18.00m,N/A,N/A
Fabián Balbuena,"Aug 23, 1991 (29)",Defender - Centre-Back,€5.00m,N/A,N/A
Craig Dawson,"May 6, 1990 (31)",Defender - Centre-Back,€3.00m,N/A,N/A
Angelo Ogbonna,"May 23, 1988 (33)",Defender - Centre-Back,€2.50m,N/A,N/A
Winston Reid,"Jul 3, 1988 (32)",Defender - Centre-Back,€1.50m,N/A,N/A
Frederik Alves,"Nov 8, 1999 (21)",Defender - Centre-Back,€1.00m,N/A,N/A
Jamal Baptiste,"Nov 11, 2003 (17)",Defender - Centre-Back,€200k,N/A,N/A
Aji Alese,"Jan 17, 2001 (20)",Defender - Centre-Back,N/A,N/A,N/A
Arthur Masuaku,"Nov 7, 1993 (27)",Defender - Left-Back,€7.00m,N/A,N/A
Aaron Cresswell,"Dec 15, 1989 (31)",Defender - Left-Back,€5.00m,N/A,N/A
Emmanuel Longelo,"Dec 27, 2000 (20)",Defender - Left-Back,€150k,N/A,N/A
Vladimír Coufal,"Aug 22, 1992 (28)",Defender - Right-Back,€12.00m,N/A,N/A
Ben Johnson,"Jan 24, 2000 (21)",Defender - Right-Back,€3.00m,N/A,N/A
Ryan Fredericks,"Oct 10, 1992 (28)",Defender - Right-Back,€2.50m,N/A,N/A
Harrison Ashby,"Nov 14, 2001 (19)",Defender - Right-Back,€300k,N/A,N/A
Tomas Soucek,"Feb 27, 1995 (26)",Midfield - Defensive Midfield,€40.00m,N/A,N/A
Josh Cullen,"Apr 7, 1996 (25)",Midfield - Defensive Midfield,€3.00m,N/A,N/A
Conor Coventry,"Mar 25, 2000 (21)",Midfield - Defensive Midfield,€200k,N/A,N/A
Declan Rice,"Jan 14, 1999 (22)",Midfield - Central Midfield,€65.00m,N/A,N/A
Jack Wilshere,"Jan 1, 1992 (29)",Midfield - Central Midfield,€2.50m,N/A,N/A
Mark Noble,"May 8, 1987 (34)",Midfield - Central Midfield,€2.00m,N/A,N/A
Jesse Lingard,"Dec 15, 1992 (28)",Midfield - Attacking Midfield,€22.00m,N/A,N/A
Pablo Fornals,"Feb 22, 1996 (25)",Midfield - Attacking Midfield,€18.00m,N/A,N/A
Manuel Lanzini,"Feb 15, 1993 (28)",Midfield - Attacking Midfield,€10.00m,N/A,N/A
Saïd Benrahma,"Aug 10, 1995 (25)",Attack - Left Winger,€22.00m,N/A,N/A
Felipe Anderson,"Apr 15, 1993 (28)",Attack - Left Winger,€10.00m,N/A,N/A
Xande Silva,"Mar 16, 1997 (24)",Attack - Left Winger,€800k,N/A,N/A
Nathan Holland,"Jun 19, 1998 (23)",Attack - Left Winger,N/A,N/A,N/A
Jarrod Bowen,"Dec 20, 1996 (24)",Attack - Right Winger,€30.00m,N/A,N/A
Andriy Yarmolenko,"Oct 23, 1989 (31)",Attack - Right Winger,€4.00m,N/A,N/A
Robert Snodgrass,"Sep 7, 1987 (33)",Attack - Right Winger,€1.50m,N/A,N/A
Oladapo Afolayan,"Sep 11, 1997 (23)",Attack - Right Winger,N/A,N/A,N/A
Sébastien Haller,"Jun 22, 1994 (27)",Attack - Centre-Forward,€27.00m,N/A,N/A
Michail Antonio,"Mar 28, 1990 (31)",Attack - Centre-Forward,€12.00m,N/A,N/A
Mipo Odubeko,"Oct 21, 2002 (18)",Attack - Centre-Forward,€250k,N/A,N/A
