Player,Birth,Position,Market Value,Contract,Joined
Rui Patrício,"Feb 15, 1988 (33)",Goalkeeper,€10.00m,N/A,N/A
John Ruddy,"Oct 24, 1986 (34)",Goalkeeper,€800k,N/A,N/A
Andreas Søndergaard,"Jan 17, 2001 (20)",Goalkeeper,€200k,N/A,N/A
Matija Sarkic,"Jul 23, 1997 (23)",Goalkeeper,€100k,N/A,N/A
Conor Coady,"Feb 25, 1993 (28)",Defender - Centre-Back,€25.00m,N/A,N/A
Willy Boly,"Feb 3, 1991 (30)",Defender - Centre-Back,€14.00m,N/A,N/A
Romain Saïss,"Mar 26, 1990 (31)",Defender - Centre-Back,€10.00m,N/A,N/A
Maximilian Kilman,"May 23, 1997 (24)",Defender - Centre-Back,€4.50m,N/A,N/A
Nigel Lonwijk,"Oct 27, 2002 (18)",Defender - Centre-Back,N/A,N/A,N/A
Christian Marques,"Jan 15, 2003 (18)",Defender - Centre-Back,N/A,N/A,N/A
Rayan Aït-Nouri,"Jun 6, 2001 (20)",Defender - Left-Back,€18.00m,N/A,N/A
Rúben Vinagre,"Apr 9, 1999 (22)",Defender - Left-Back,€5.00m,N/A,N/A
Marçal,"Feb 19, 1989 (32)",Defender - Left-Back,€1.80m,N/A,N/A
Hugo Bueno,"Sep 18, 2002 (18)",Defender - Left-Back,N/A,N/A,N/A
Nélson Semedo,"Nov 16, 1993 (27)",Defender - Right-Back,€28.00m,N/A,N/A
Jonny Otto,"Mar 3, 1994 (27)",Defender - Right-Back,€15.00m,N/A,N/A
Ki-Jana Hoever,"Jan 18, 2002 (19)",Defender - Right-Back,€7.00m,N/A,N/A
Oskar Buur,"Mar 31, 1998 (23)",Defender - Right-Back,€300k,N/A,N/A
Rúben Neves,"Mar 13, 1997 (24)",Midfield - Defensive Midfield,€45.00m,N/A,N/A
Leander Dendoncker,"Apr 15, 1995 (26)",Midfield - Defensive Midfield,€30.00m,N/A,N/A
Owen Otasowie,"Jan 6, 2001 (20)",Midfield - Defensive Midfield,€1.50m,N/A,N/A
Vitinha,"Feb 13, 2000 (21)",Midfield - Central Midfield,€7.00m,N/A,N/A
João Moutinho,"Sep 8, 1986 (34)",Midfield - Central Midfield,€4.00m,N/A,N/A
Taylor Perry,"Jul 15, 2001 (19)",Midfield - Central Midfield,N/A,N/A,N/A
Luke Cundle,"Apr 26, 2002 (19)",Midfield - Central Midfield,N/A,N/A,N/A
Lewis Richards,"Oct 15, 2001 (19)",Midfield - Left Midfield,N/A,N/A,N/A
Morgan Gibbs-White,"Jan 27, 2000 (21)",Midfield - Attacking Midfield,€7.00m,N/A,N/A
Meritan Shabani,"Mar 15, 1999 (22)",Midfield - Attacking Midfield,€300k,N/A,N/A
Pedro Neto,"Mar 9, 2000 (21)",Attack - Right Winger,€35.00m,N/A,N/A
Adama Traoré,"Jan 25, 1996 (25)",Attack - Right Winger,€30.00m,N/A,N/A
Daniel Podence,"Oct 21, 1995 (25)",Attack - Right Winger,€25.00m,N/A,N/A
Theo Corbeanu,"May 17, 2002 (19)",Attack - Right Winger,€500k,N/A,N/A
Diogo Jota,"Dec 4, 1996 (24)",Attack - Centre-Forward,€45.00m,N/A,N/A
Raúl Jiménez,"May 5, 1991 (30)",Attack - Centre-Forward,€28.00m,N/A,N/A
Fábio Silva,"Jul 19, 2002 (18)",Attack - Centre-Forward,€25.00m,N/A,N/A
Willian José,"Nov 23, 1991 (29)",Attack - Centre-Forward,€18.00m,N/A,N/A
Patrick Cutrone,"Jan 3, 1998 (23)",Attack - Centre-Forward,€9.00m,N/A,N/A
Renat Dadashov,"May 17, 1999 (22)",Attack - Centre-Forward,€300k,N/A,N/A
