Player,Birth,Market Value,Citizenship,Foot,Contract,Joined,Transfer
Hyeon-mu Kang,"Mar 13, 1995 (30)",€550k,"Korea, South",N/A,-,"Jul 31, 2024",1
Jong-beom Baek,"Jan 21, 2001 (24)",€400k,"Korea, South",right,-,"Jan 4, 2019",0
Cheol-won Choi,"Jul 23, 1994 (30)",€225k,"Korea, South",N/A,-,"Jan 1, 2023",0
Joon-seob Im,"Aug 22, 2003 (21)",€50k,"Korea, South",N/A,-,"Jan 17, 2025",0
Ki-wook Yun,"Oct 10, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Ju-sung Kim,"Dec 12, 2000 (24)",€850k,"Korea, South",left,"Dec 31, 2025","Jan 4, 2019",0
Yazan Al-Arab,"Jan 31, 1996 (29)",€700k,Jordan,left,-,"Jul 16, 2024",1
Han-do Lee,"Mar 16, 1994 (31)",€450k,"Korea, South",N/A,-,"Jan 17, 2025",0
Sang-min Lee,"Jan 1, 1998 (27)",€350k,"Korea, South",right,"Dec 31, 2025","Jan 24, 2022",0
Seong-hun Park,"Jan 27, 2003 (22)",€250k,"Korea, South",right,-,"Jan 1, 2022",0
Jun-yeong Choi,"Jul 16, 2005 (19)",€150k,"Korea, South",left,-,"Jan 5, 2024",0
Hyeon-deok Kim,"Nov 5, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 2, 2023",0
Jin-ya Kim,"Jun 30, 1998 (26)",€450k,"Korea, South",right,-,"Jan 3, 2020",0
Jin-su Kim,"Jun 13, 1992 (32)",€450k,"Korea, South",left,-,"Jan 17, 2025",0
Jae-min Ahn,"Jan 23, 2003 (22)",€175k,"Korea, South",right,-,"Jan 1, 2023",0
Hyun-seo Bae,"Feb 16, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 5, 2024",0
Jun Choi,"Apr 17, 1999 (25)",€700k,"Korea, South",right,-,"Jan 5, 2024",0
Si-young Lee,"Apr 21, 1997 (27)",€350k,"Korea, South",right,-,"Jan 1, 2023",0
Young-kwang Cho,"Mar 11, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 2, 2023",1
Sung-yueng Ki,"Jan 24, 1989 (36)",€500k,"Korea, South",right,"Dec 31, 2025","Jul 20, 2020",0
Jae-moon Ryu,"Nov 8, 1993 (31)",€450k,"Korea, South",right,-,"Jan 4, 2024",1
Dong-min Her,"Mar 9, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 5, 2024",0
Seung-mo Lee,"Mar 30, 1998 (26)",€600k,"Korea, South",right,"Dec 31, 2026","Jun 23, 2023",0
Do-yoon Hwang,"Apr 9, 2003 (21)",€200k,"Korea, South",N/A,-,"Jan 1, 2023",0
Jesse Lingard,"Dec 15, 1992 (32)",€4.00m,England,right,"Dec 31, 2025","Feb 8, 2024",1
Ji-hoon Min,"Mar 31, 2005 (19)",N/A,"Korea, South",right,"Dec 31, 2025","Jan 5, 2024",0
Jang Han-gyeol Park,"Feb 15, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 1, 2022",0
Willyan,"Feb 17, 1994 (31)",€600k,Brazil,right,-,"Jan 1, 2024",1
Seon-min Moon,"Jun 9, 1992 (32)",€550k,"Korea, South",right,-,"Jan 17, 2025",0
Ju-hyeok Kang,"Aug 27, 2006 (18)",€150k,"Korea, South",left,-,"May 31, 2024",0
Seung-beom Son,"May 4, 2004 (20)",€125k,"Korea, South",N/A,-,"Jan 1, 2023",0
Gbato Seloh Samuel,"Aug 1, 2006 (18)",N/A,Cote d'Ivoire,left,-,"Jan 17, 2025",0
Lucas Silva,"Aug 27, 1999 (25)",€900k,Brazil,right,-,"Jul 24, 2024",1
Seung-won Jeong,"Feb 27, 1997 (28)",€650k,"Korea, South",right,-,"Jan 17, 2025",0
Seong-jin Kang,"Mar 26, 2003 (21)",€375k,"Korea, South",left,"Dec 31, 2026","Feb 25, 2021",0
Marko Dugandzic,"Apr 7, 1994 (30)",€1.20m,Croatia,left,-,"Feb 27, 2025",0
Young-wook Cho,"Feb 5, 1999 (26)",€650k,"Korea, South",right,-,"Jan 1, 2018",0
Shin-jin Kim,"Jul 13, 2001 (23)",€275k,"Korea, South",right,-,"Jan 1, 2022",0
Han-min Jung,"Jan 8, 2001 (24)",€200k,"Korea, South",right,"Dec 31, 2025","Jan 3, 2020",1
