Player,Birth,Market Value
Hyeon-mu Kang,"Mar 13, 1995 (30)",€550k
Jong-beom Baek,"Jan 21, 2001 (24)",€400k
Cheol-won Choi,"Jul 23, 1994 (30)",€225k
Joon-seob Im,"Aug 22, 2003 (21)",€50k
Ki-wook Yun,"Oct 10, 2006 (18)",N/A
Ju-sung Kim,"Dec 12, 2000 (24)",€850k
Yazan Al-Arab,"Jan 31, 1996 (29)",€700k
Han-do Lee,"Mar 16, 1994 (31)",€450k
Sang-min Lee,"Jan 1, 1998 (27)",€350k
Seong-hun Park,"Jan 27, 2003 (22)",€250k
Jun-yeong Choi,"Jul 16, 2005 (19)",€150k
Hyeon-deok Kim,"Nov 5, 2004 (20)",N/A
Jin-ya Kim,"Jun 30, 1998 (26)",€450k
Jin-su Kim,"Jun 13, 1992 (32)",€450k
Jae-min Ahn,"Jan 23, 2003 (22)",€175k
Hyun-seo Bae,"Feb 16, 2005 (20)",N/A
Jun Choi,"Apr 17, 1999 (25)",€700k
Si-young Lee,"Apr 21, 1997 (27)",€350k
Young-kwang Cho,"Mar 11, 2004 (21)",N/A
Sung-yueng Ki,"Jan 24, 1989 (36)",€500k
Jae-moon Ryu,"Nov 8, 1993 (31)",€450k
Dong-min Her,"Mar 9, 2004 (21)",N/A
Seung-mo Lee,"Mar 30, 1998 (26)",€600k
Do-yoon Hwang,"Apr 9, 2003 (21)",€200k
Jesse Lingard,"Dec 15, 1992 (32)",€4.00m
Ji-hoon Min,"Mar 31, 2005 (19)",N/A
Jang Han-gyeol Park,"Feb 15, 2004 (21)",N/A
Willyan,"Feb 17, 1994 (31)",€600k
Seon-min Moon,"Jun 9, 1992 (32)",€550k
Ju-hyeok Kang,"Aug 27, 2006 (18)",€150k
Seung-beom Son,"May 4, 2004 (20)",€125k
Gbato Seloh Samuel,"Aug 1, 2006 (18)",N/A
Lucas Silva,"Aug 27, 1999 (25)",€900k
Seung-won Jeong,"Feb 27, 1997 (28)",€650k
Seong-jin Kang,"Mar 26, 2003 (21)",€375k
Marko Dugandzic,"Apr 7, 1994 (30)",€1.20m
Young-wook Cho,"Feb 5, 1999 (26)",€650k
Shin-jin Kim,"Jul 13, 2001 (23)",€275k
Han-min Jung,"Jan 8, 2001 (24)",€200k
