Player,Birth,Market Value,Citizenship,Foot,Contract,Joined,Transfer
Jun-su Ahn,"Jan 28, 1998 (27)",€400k,"Korea, South",N/A,-,"Jan 5, 2024",1
Bae-jong Park,"Oct 23, 1989 (35)",€100k,"Korea, South",N/A,-,"Jan 1, 2012",0
Jae-yun Hwang,"Mar 18, 2003 (22)",€50k,"Korea, South",N/A,-,"Jan 17, 2025",0
Seung-min Baek,"Apr 15, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Ho-yeon Joo,"Jan 23, 2003 (22)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Do-yeong Kwon,"Mar 5, 2003 (22)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Eun-gyeom Kim,"Apr 14, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Tae-han Kim,"Feb 24, 1996 (29)",€400k,"Korea, South",right,"Dec 31, 2025","Jan 3, 2024",0
Kyu-baek Choi,"Jan 23, 1994 (31)",€275k,"Korea, South",right,-,"Jan 17, 2024",0
Ji-sol Lee,"Jul 9, 1999 (25)",€225k,"Korea, South",right,-,"Jan 17, 2025",0
Hyeon-yong Lee,"Dec 29, 2003 (21)",€125k,"Korea, South",N/A,-,"Jan 20, 2023",0
Dae-hyun Kim,"Jun 1, 2002 (22)",N/A,"Korea, South",N/A,-,"Jan 6, 2024",0
Sang-kyu Han,"Aug 5, 2005 (19)",N/A,"Korea, South",N/A,"Dec 31, 2028","Jan 6, 2024",0
Leroy Abanda,"Jun 7, 2000 (24)",€600k,"France
  Cameroon",left,-,"Jan 27, 2025",0
Cheol-woo Park,"Oct 21, 1997 (27)",€350k,"Korea, South",left,-,"Jan 5, 2022",0
Jae-min Seo,"Dec 4, 1997 (27)",€350k,"Korea, South",left,-,"Jan 17, 2025",0
Taek-geun Lee,"Dec 15, 2001 (23)",€175k,"Korea, South",right,-,"Jan 17, 2025",0
In-taek Hwang,"Apr 1, 2003 (21)",€25k,"Korea, South",left,"Dec 31, 2026","Jan 17, 2025",1
Jae-sung Kim,"Jul 15, 1999 (25)",€275k,"Korea, South",N/A,"Dec 31, 2026","Jan 17, 2025",0
Yong Lee,"Dec 24, 1986 (38)",€250k,"Korea, South",right,-,"Mar 3, 2023",0
Young-woo Jang,"Aug 21, 2002 (22)",€225k,"Korea, South",right,-,"Jan 5, 2024",0
Ju-yeop Kim,"Apr 5, 2000 (24)",€200k,"Korea, South",N/A,"Dec 31, 2025","Jan 4, 2019",0
Il-yeon Sin,"Jul 17, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 5, 2024",0
Si-myeong Lee,"Jun 21, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Do-hyeon Yeom,"May 8, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
U-jin Yang,"Nov 29, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Bit-garam Yoon,"May 7, 1990 (34)",€600k,"Korea, South",right,-,"Jan 4, 2023",0
Jae-won Lee,"Feb 21, 1997 (28)",€375k,"Korea, South",right,-,"Jan 11, 2024",0
Yun-ho Jang,"Aug 25, 1996 (28)",€175k,"Korea, South",right,-,"Jan 17, 2025",0
Jun-hyun Jo,"Feb 4, 2004 (21)",€100k,"Korea, South",N/A,-,"Jan 5, 2024",0
Yun-gun Lee,"Feb 27, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 5, 2024",0
One-hyung Kim,"Mar 21, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 6, 2024",0
Joseph Lee,"Mar 28, 2000 (24)",N/A,"Korea, South",N/A,-,"Feb 5, 2024",0
Luan Dias,"Jul 31, 1997 (27)",€450k,Brazil,left,-,"Feb 25, 2025",1
Kyung-ho Roh,"Jul 5, 2000 (24)",€300k,"Korea, South",right,-,"Jul 12, 2024",0
Do-yoon Kim,"May 18, 2005 (19)",€100k,"Korea, South",N/A,-,"Jul 21, 2023",0
San Choi,"May 15, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Anderson Oliveira,"Jul 16, 1998 (26)",€750k,Brazil,right,-,"Mar 1, 2024",1
Mohamed Ofkir,"Aug 4, 1996 (28)",€400k,Norway,right,-,"Jan 27, 2025",1
Joon-suk Lee,"Apr 7, 2000 (24)",€250k,"Korea, South",right,-,"Jan 12, 2024",1
Min-sung Kang,"Mar 22, 2005 (19)",€50k,"Korea, South",N/A,"Dec 31, 2026","Jul 22, 2023",0
Yong-hui Park,"Mar 29, 2002 (22)",€175k,"Korea, South",N/A,-,"Jan 17, 2025",0
Pablo Sabbag,"Jun 11, 1997 (27)",€750k,"Syria
  Colombia",left,-,"Jan 28, 2025",1
Dong-won Ji,"May 28, 1991 (33)",€175k,"Korea, South",right,"Dec 31, 2026","Jan 26, 2024",1
Seung-bae Jung,"Nov 9, 2003 (21)",€125k,"Korea, South",right,-,"Jan 1, 2024",0
Dae-kwang Lee,"Feb 23, 2003 (22)",€100k,"Korea, South",N/A,-,"Jan 20, 2023",0
Gi-hyun Kwon,"May 14, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Chi-ung Choi,"Jul 24, 2001 (23)",N/A,"Korea, South",right,-,"Jan 20, 2023",0
Kyeong Baek,"Apr 12, 2007 (17)",N/A,"Korea, South",N/A,"Dec 31, 2025","Jan 17, 2025",0
