Player,Birth,Market Value
Jun-su Ahn,"Jan 28, 1998 (27)",€400k
Bae-jong Park,"Oct 23, 1989 (35)",€100k
Jae-yun Hwang,"Mar 18, 2003 (22)",€50k
Seung-min Baek,"Apr 15, 2003 (21)",N/A
Ho-yeon Joo,"Jan 23, 2003 (22)",N/A
Do-yeong Kwon,"Mar 5, 2003 (22)",N/A
Eun-gyeom Kim,"Apr 14, 2004 (20)",N/A
Tae-han Kim,"Feb 24, 1996 (29)",€400k
Kyu-baek Choi,"Jan 23, 1994 (31)",€275k
Ji-sol Lee,"Jul 9, 1999 (25)",€225k
Hyeon-yong Lee,"Dec 29, 2003 (21)",€125k
Dae-hyun Kim,"Jun 1, 2002 (22)",N/A
Sang-kyu Han,"Aug 5, 2005 (19)",N/A
Leroy Abanda,"Jun 7, 2000 (24)",€600k
Cheol-woo Park,"Oct 21, 1997 (27)",€350k
Jae-min Seo,"Dec 4, 1997 (27)",€350k
Taek-geun Lee,"Dec 15, 2001 (23)",€175k
In-taek Hwang,"Apr 1, 2003 (21)",€25k
Jae-sung Kim,"Jul 15, 1999 (25)",€275k
Yong Lee,"Dec 24, 1986 (38)",€250k
Young-woo Jang,"Aug 21, 2002 (22)",€225k
Ju-yeop Kim,"Apr 5, 2000 (24)",€200k
Il-yeon Sin,"Jul 17, 2005 (19)",N/A
Si-myeong Lee,"Jun 21, 2006 (18)",N/A
Do-hyeon Yeom,"May 8, 2006 (18)",N/A
U-jin Yang,"Nov 29, 2006 (18)",N/A
Bit-garam Yoon,"May 7, 1990 (34)",€600k
Jae-won Lee,"Feb 21, 1997 (28)",€375k
Yun-ho Jang,"Aug 25, 1996 (28)",€175k
Jun-hyun Jo,"Feb 4, 2004 (21)",€100k
Yun-gun Lee,"Feb 27, 2005 (20)",N/A
One-hyung Kim,"Mar 21, 2005 (19)",N/A
Joseph Lee,"Mar 28, 2000 (24)",N/A
Luan Dias,"Jul 31, 1997 (27)",€450k
Kyung-ho Roh,"Jul 5, 2000 (24)",€300k
Do-yoon Kim,"May 18, 2005 (19)",€100k
San Choi,"May 15, 2006 (18)",N/A
Anderson Oliveira,"Jul 16, 1998 (26)",€750k
Mohamed Ofkir,"Aug 4, 1996 (28)",€400k
Joon-suk Lee,"Apr 7, 2000 (24)",€250k
Min-sung Kang,"Mar 22, 2005 (19)",€50k
Yong-hui Park,"Mar 29, 2002 (22)",€175k
Pablo Sabbag,"Jun 11, 1997 (27)",€750k
Dong-won Ji,"May 28, 1991 (33)",€175k
Seung-bae Jung,"Nov 9, 2003 (21)",€125k
Dae-kwang Lee,"Feb 23, 2003 (22)",€100k
Gi-hyun Kwon,"May 14, 2004 (20)",N/A
Chi-ung Choi,"Jul 24, 2001 (23)",N/A
Kyeong Baek,"Apr 12, 2007 (17)",N/A
