Player,Birth,Market Value
Hyeon-woo Jo,"Sep 25, 1991 (33)",€850k
Jung-in Moon,"Mar 16, 1998 (26)",€300k
Hyeon-ho Moon,"May 13, 2003 (21)",€75k
Seong-min Ryu,"Jan 3, 2004 (21)",N/A
Young-gwon Kim,"Feb 27, 1990 (35)",€400k
Myeong-kwan Seo,"Nov 23, 2002 (22)",€325k
Jae-ik Lee,"May 21, 1999 (25)",€300k
Min-woo Kang,"Mar 2, 2006 (19)",€225k
Seok-ho Hwang,"Jun 27, 1989 (35)",€175k
Seok-hyeon Choi,"Jan 13, 2003 (22)",€125k
Seong-bin Jung,"May 12, 2007 (17)",N/A
Sang-woo Kang,"Oct 7, 1993 (31)",€800k
Min-seo Park,"Sep 15, 2000 (24)",€400k
Sang-min Sim,"May 21, 1993 (31)",€400k
Jong-gyu Yoon,"Mar 20, 1998 (26)",€550k
Woo-young Jung,"Dec 14, 1989 (35)",€350k
Darijan Bojanic,"Dec 28, 1994 (30)",€1.20m
Seung-beom Ko,"Apr 24, 1994 (30)",€900k
Kang-min Choi,"Apr 24, 2002 (22)",€250k
Sang-jun Park,"Nov 19, 2003 (21)",€50k
Jae-wook Lee,"Mar 9, 2001 (24)",€50k
Giorgi Arabidze,"Mar 4, 1998 (27)",€850k
Gyu-sung Lee,"May 10, 1994 (30)",€700k
Jin-hyun Lee,"Aug 26, 1997 (27)",€400k
Min-hyuk Kim,"Aug 16, 1992 (32)",€350k
Min-woo Kim,"Feb 25, 1990 (35)",€175k
In-woo Back,"Nov 29, 2006 (18)",N/A
Gustav Ludwigson,"Oct 20, 1993 (31)",€1.30m
Won-sang Um,"Jan 6, 1999 (26)",€1.20m
Matías Lacava,"Oct 24, 2002 (22)",€700k
Chung-yong Lee,"Jul 2, 1988 (36)",€300k
See-young Jang,"Mar 31, 2002 (22)",€225k
Jae-seok Yoon,"Oct 22, 2003 (21)",€225k
Hui-gyun Lee,"Apr 29, 1998 (26)",€375k
Erick Farias,"Jan 3, 1997 (28)",€1.50m
Yago Cariello,"Jul 27, 1999 (25)",€600k
Yool Heo,"Apr 12, 2001 (23)",€450k
